Auvergnat	Auvergnat	probability
ˈɪ̃	ˈi	1.0
ˈɛ	ˈɛ	1.0
ˈɔ̃	n	1.0
ˈɔ_s	sː	1.0
ˈɔ_m	nː	1.0
ˈœ	ˈɔ	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈu_ʎ	ˈɔ_cː	1.0
ˈĩ	ˈi	1.0
ˈe_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_w	ˈa_w	1.0
ˈa_l	ˈi_l	1.0
ʃ	ɕ	1.0
ʀ_ə	ɾ_ʊ	1.0
ʀ_ɔ	a	1.0
ɡʲ	-	1.0
œ	-	1.0
ŋ_d	nː_ɪ	1.0
w_ˈɔ̃	ˈo	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈẽ	ˈu	1.0
vʲ	v	1.0
v	v	1.0
ũ	u	1.0
s_#>	ʊ_#>	1.0
pʲ	p	1.0
p_l	c	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m_#>	m_ɪ_#>	1.0
lː	z_ʊ	1.0
l_ˈa	l_ˈa	1.0
l_w	ˈi	1.0
j_ʀ	ɽ	1.0
ĩ	i	1.0
i	-	1.0
fʲ	f	1.0
f_l	ç	1.0
e	ɪ	1.0
d_ɔ	t_a	1.0
a	a	1.0
<#_ˈã	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_j	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_ʐ	1.0
<#_ɒ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
f	f	0.938
ɔ	a	0.923
m	m	0.895
ˈɪ	ˈi	0.85
k	k	0.783
ˈi	ˈi	0.75
ˈa	ˈa	0.75
ɪ	ʃ	0.75
ɡ	ɡ	0.75
ɒ	a	0.727
ʧ	k	0.72
ˈu	ˈu	0.714
ˈe	ˈɛ	0.703
ˈũ	ˈu	0.667
ˈẽ	ˈɛ	0.667
ɲ	ɲː	0.667
u	u	0.667
#>	ʊ_#>	0.663
z	-	0.6
b	b	0.55
l	ɖː	0.542
s	s	0.529
ʀ	ɾ	0.52
ˈɔ	ɾ	0.5
d	t	0.5
d	-	0.5
ə	ɪ	0.486
ʎ	ɟː	0.467
<#	<#_n	0.429
t	t	0.421
z	ɕ	0.4
s	ɕ	0.382
w	ˈɔ	0.37
ʤ	-	0.357
ˈũ	-	0.333
ˈẽ	ˈi	0.333
u	o	0.333
ŋ	n	0.324
ˈɔ	ˈɔ	0.3
ʤ	ʤ	0.286
<#	<#_j	0.286
<#	<#_a	0.286
ɒ	i	0.273
ʎ	cː	0.267
ˈi	ɪ	0.25
ɪ	a_s	0.25
ɡ	w	0.25
b	p	0.25
#>	ɪ_#>	0.25
ɲ	n	0.222
j	j	0.222
ʀ	r	0.22
t	tː	0.211
l	l	0.208
ˈɔ	-	0.2
ˈu	ˈu_ɾ	0.19
ə	ʊ	0.189
ŋ	n_ɪ	0.189
ŋ	n_t	0.189
j	ɪ	0.167
j	-	0.167
ŋ	ŋ	0.162
ˈɪ	-	0.15
w	ˈu	0.148
ʤ	ɕ	0.143
ʤ	j	0.143
ə	i	0.135
ə	-	0.135
ʎ	ʊ	0.133
ʎ	-	0.133
k	k_w	0.13
ˈa	ˈa_ɾ	0.125
l	l_ɪ	0.125
l	-	0.125
ʧ	t	0.12
ɲ	ɲ	0.111
w	v_ɪ	0.111
w	v	0.111
w	-	0.111
j	ʊ	0.111
j	ɾ	0.111
j	tː_ʊ	0.111
j	tː_ɪ	0.111
ˈe	-	0.108
t	ʈ	0.105
t	s_t	0.105
t	-	0.105
m	-	0.105
b	p_ɪ	0.1
b	-	0.1
ˈu	ˈu_tː	0.095
s	ʦː	0.088
k	ɡ_ʊ	0.087
#>	r_ɪ_#>	0.087
ˈe	ˈi	0.081
ŋ	ɪ	0.081
ʧ	ɕ	0.08
ʧ	kː	0.08
ɔ	-	0.077
ˈa	-	0.075
w	ɪ	0.074
w	w	0.074
ʤ	ɟ	0.071
f	fː	0.062
ʀ	ɾ_n	0.06
ˈe	ˈa_ʈ	0.054
ˈe	ˈa	0.054
ə	ɽ_ʊ	0.054
ŋ	nː	0.054
t	ʈː	0.053
