Swabian	Old English	probability
ˈɪ	ˈi	1.0
ˈɔə̯	ˈoː	1.0
ˈɔ	ˈo	1.0
ˈuː	ˈoː	1.0
ˈiə̯	ˈeːo̯	1.0
ˈeə̯	-	1.0
ˈe	ˈi	1.0
ʕ_n	r_n	1.0
ʕ	r	1.0
ʋ	w	1.0
ʃ_d	s_t	1.0
ʁ_ˈae̯	r	1.0
ʁ	r	1.0
ɪ	i	1.0
ç	x	1.0
t	d	1.0
m_ˈi	m	1.0
l_d	ɫ_d	1.0
kʰ	ʧ	1.0
i	i_ŋ	1.0
h	h	1.0
eə̯	iːy̯	1.0
e	-	1.0
d_ʁ	d_r	1.0
b̥͡f	-	1.0
m	m	0.783
ŋ	ŋ_ɡ	0.777
ˈuə̯	ˈoː	0.75
a	ɑ_n	0.722
n	n	0.719
f	f	0.7
ˈəi̯	ˈiː	0.692
ˈoː	ˈæːɑ̯	0.683
ˈao̯	ˈuː	0.677
ˈo	ˈu	0.668
ˈɔe̯	ˈɑː	0.666
b	b	0.642
ʦ	t	0.614
ʃ	ʃ	0.614
s	s	0.545
l	l	0.545
ˈeː	-	0.541
d	d	0.523
ˈiː	-	0.511
ˈaː	ˈæ	0.503
ˈɛː	ˈe	0.5
ˈɛː	-	0.5
ˈiː	ˈeːo̯	0.489
ˈi	ˈi	0.457
ʌ	e_r	0.433
l	ɫ	0.412
ˈɔː	ˈæː	0.41
ˈa	ˈɑ	0.403
ˈae̯	ˈɑː	0.395
ʦ	tː	0.386
ʃ	s	0.386
ˈɛ	ˈe	0.382
s	t	0.378
b	v	0.358
ˈae̯	-	0.348
ˈu	ˈy	0.333
ˈu	ˈu	0.333
ˈu	-	0.333
ˈao̯	ˈæːɑ̯	0.323
ˈoː	ˈu	0.317
x	x	0.3
f	p	0.3
ˈa	ˈæɑ̯	0.299
ˈɔː	ˈæːɑ̯	0.295
ˈɔː	-	0.295
d	θ	0.284
ʌ	o_r	0.276
ɡ	j	0.275
ˈeː	ˈiːy̯	0.271
ˈɛ	ˈeo̯	0.26
ˈae̯	ˈeːo̯	0.257
ˈaː	ˈɑ	0.252
ˈuə̯	ˈeː	0.25
x	ʧ	0.25
ˈaː	ˈoː	0.245
x	ç	0.233
ŋ	ŋ	0.223
x	xː	0.218
ˈo	ˈo	0.215
ˈi	ˈeːo̯	0.215
ɡ	ɣ	0.202
ˈɔe̯	ˈɑː_n	0.2
ˈeː	ˈe	0.188
ʌ	r	0.186
ɡ	ɡ	0.185
a	n	0.173
n	nː	0.17
ˈəi̯	ˈeːo̯	0.154
ˈəi̯	-	0.154
ˈa	ˈæ	0.15
m	-	0.138
ˈɔe̯	ˈæː	0.134
ˈɛ	ˈɛ	0.119
ˈɛ	ˈi	0.119
ˈɛ	-	0.119
ˈo	-	0.117
ɡ	-	0.115
ˈi	-	0.112
ɡ	k	0.11
ˈi	ˈeː	0.108
ˈi	ˈo	0.107
ʌ	e	0.105
ˈa	-	0.092
m	mː	0.079
d	t	0.079
s	z	0.077
n	ˈoː	0.071
a	-	0.063
ˈa	ˈiy̯	0.056
d	ð	0.053
