English	Old West Norse	probability
ˈʊ	ˈoː	1.0
ˈɜː	r	1.0
ˈɒ_t	t_r̥	1.0
ˈɒ	ˈɑ	1.0
ʧ	cː	1.0
ʤ	ɡː	1.0
ɡ	ɡ	1.0
ɜː	r_ˈe	1.0
əʊ̯	-	1.0
ə_n	n	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
z	-	1.0
w_ˈʊ	ˈu	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
m	m	1.0
j	ɡ	1.0
f	f	1.0
b	b	1.0
s	s	0.93
p	p	0.919
h	h	0.914
ɹ	r	0.828
l	l	0.813
v	v	0.74
t	t	0.73
θ	θ	0.676
kʰ	kʰ	0.676
n	n	0.65
ˈɐ	ˈu	0.617
ɪ	-	0.604
ˈɑː	ˈɑ_r	0.601
ɫ	l	0.58
ˈɛ	ˈe	0.578
ʃ	s_c	0.566
k	k	0.565
ˈaʊ̯	ˈuː	0.542
ˈuː	ˈɑː	0.533
ð	ð	0.528
ˈəʊ̯	ˈɛi̯	0.517
d	ð	0.486
ˈaɪ̯	ˈiː	0.479
ˈeɪ̯	ˈɑ	0.475
ð	ð_i	0.472
ˈɔː	ˈo_r	0.449
ˈæ	ˈɑ	0.446
ʃ	s_k	0.434
ˈɛ	-	0.422
ɪ	i	0.396
ˈe	-	0.384
ˈɪ	ˈi	0.378
w	x_w	0.334
kʰ	cʰ	0.324
ˈuː	ˈoː	0.322
w	v	0.315
d	d	0.315
ˈaʊ̯	ˈu	0.303
ɫ	lː	0.294
ˈeɪ̯	ˈɑː	0.277
k	kː	0.272
t	tː	0.27
ə	r̥ː	0.268
v	v_ɑ	0.26
ˈaɪ̯	ˈi	0.25
ˈeɪ̯	ˈɑ_ɣ	0.249
ˈiː	-	0.248
ˈɑː	ˈɑ	0.24
ə	r̥	0.235
θ	ð	0.22
ˈæ	ˈa	0.216
ˈɔː	-	0.212
n	nː	0.2
ˈɔː	r	0.197
ˈəʊ̯	-	0.193
ˈiː	ˈøː	0.191
w	v_ˈɑ	0.18
w	-	0.171
ˈæ	ˈɛ	0.169
ˈæ	ˈɔ	0.169
ˈɪ	-	0.163
k	-	0.163
ˈɑː	ˈɑ_l	0.16
ˈɐ	ˈo	0.159
ˈaʊ̯	ˈyː	0.155
ˈiː	ˈeː	0.154
ˈe	u	0.154
ɹ	r̥	0.154
ˈəʊ̯	ˈɑː	0.146
ˈɪ	ˈy	0.145
ˈuː	ˈɔː	0.145
ˈəʊ̯	ˈɑ	0.144
ˈɔː	ˈe_r	0.142
ˈe	ˈɛ	0.138
ə	r_ɑ	0.134
l	l_j	0.132
ə	ɑ	0.127
ˈɐ	-	0.126
ɫ	ˈɑ_l	0.126
ə	i_r̥	0.126
ˈiː	ˈɑu̯	0.125
ˈaɪ̯	ˈɑː	0.118
ˈɪ	ˈe	0.117
ə	r_i	0.109
θ	nː	0.104
ˈe	ˈɑu̯	0.102
d	ð_ɑ	0.101
ˈɐ	ˈoː	0.099
d	-	0.098
ˈiː	j_ˈoː	0.095
ˈe	ˈe	0.093
h	ç	0.086
p	pː	0.081
ˈaɪ̯	ˈuː	0.077
ˈaɪ̯	ˈeː	0.077
ˈɪ	ˈyː	0.073
ˈɪ	j	0.073
s	sː	0.07
ˈiː	ˈɑː	0.069
ˈe	ˈɒu̯	0.064
ˈe	j	0.064
ˈiː	j	0.06
ˈiː	ɑː	0.057
l	l̥	0.055
n	u	0.054
n	-	0.054
ˈɪ	ˈøy̯	0.052
