Saterland Frisian	Yiddish	probability
ˈœː	ˈɛ	1.0
ˈøː	ˈɔɪ̯	1.0
ˈyː	ˈaɪ̯	1.0
ˈu	-	1.0
ˈoːu̯_d	ˈɔ	1.0
ˈiːu̯	ˈɛ	1.0
ˈiː_r	ˈɔ_ʀ	1.0
ˈiː_d	ˈaɪ̯_t	1.0
ˈeːu̯	ˈɛ	1.0
ˈaːu̯	-	1.0
ɪ	ɪ	1.0
x	χ	1.0
w	-	1.0
s_ˈɛ	z_ˈɛ	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
m	m	1.0
l	ɫ	1.0
k_ə	χ	1.0
k	k	1.0
j_ˈoː	ˈɪ	1.0
j_ə	n	1.0
i	ˈaɪ̯_ʦ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
n	n	0.975
r	ʀ	0.949
ɣ	ɡ	0.891
ˈɪ	ˈɪ	0.85
v	v	0.799
t_ə	s_n	0.695
ˈiː	ˈɪ	0.691
ˈa	ˈɛ	0.674
ˈeː	ˈɛɪ̯	0.629
ˈɔ	ˈa	0.626
ˈɛ	ˈɔ	0.6
p	f	0.596
ˈɛː	ˈɪ	0.595
ˈaː	ˈa	0.592
ŋ	ŋ	0.584
z	z	0.577
ˈi	ˈaɪ̯	0.556
ˈɔː	ˈa	0.552
d	t	0.552
ˈʊ	ˈʊ	0.517
ˈaːi̯	ˈɛ	0.5
ˈaːi̯	ˈɔ_ɡ	0.5
s	ʃ	0.489
d	d	0.448
ˈoː	ˈɔɪ̯	0.436
ˈoːu̯	ˈʊ	0.428
ˈuː	ˈʊ	0.424
z	-	0.423
ˈɛɪ̯	ˈɪ	0.422
ŋ	ŋ_ɡ	0.416
ˈaː	ˈɛɪ̯	0.408
ˈɛː	ˈa	0.405
p	p	0.404
s	z	0.402
ˈɛ	-	0.4
j	ˈɪ	0.382
ˈɔ	ˈɔ	0.374
ˈeː	ˈɛ	0.371
ə	-	0.357
ˈa	ˈa	0.326
t	s	0.326
ˈʊ	-	0.315
ˈuː	ə	0.315
t	t	0.314
ˈiː	ˈɛ	0.309
t_ə	s	0.305
ˈoːu̯	ˈa	0.303
t	ʦ	0.295
ˈoːu̯	ˈɔ	0.269
ˈoː	-	0.269
ˈi	ˈɛ	0.263
ə	n	0.263
ˈuː	ˈɔɪ̯	0.262
ˈɛɪ̯	ˈɔ	0.243
ˈɔː	ˈɔ	0.228
ə	ə	0.195
j	ˈaɪ̯	0.186
ˈi	ˈɪ	0.181
ˈɛɪ̯	ˈɛ_ʀ	0.175
j	ɡ	0.172
ˈʊ	ˈɔ	0.168
ˈɛɪ̯	-	0.161
ˈoː	ˈa	0.154
ˈɪ	-	0.15
j	j	0.137
j	-	0.123
ˈɔː	ˈʊ	0.11
ˈɔː	-	0.11
ɣ	-	0.109
v	b	0.109
ˈoː	ˈɔ	0.096
v	-	0.092
s	k	0.087
ə	ə_n	0.082
t	ʀ_ʦ	0.066
r	ə_ʀ	0.051
