East Frisian Low Saxon	Standard German	probability
ˈʏə̯	ˈʏ	1.0
ˈʊə̯	-	1.0
ˈɪə̯	-	1.0
ˈɛə̯	-	1.0
ˈɔː	ˈaː	1.0
ˈɒːɒ̯	ˈaː	1.0
ˈɒː_n	ˈoː_n	1.0
ˈɑʊ̯	ˈuː	1.0
ˈɑɪ̯	-	1.0
ˈœːy̯	ˈuː	1.0
ˈœy̯	ˈyː	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈuː	1.0
ˈæːɪ̯	-	1.0
ˈæː	ˈiː	1.0
ˈyːʏ̯	ˈʊ_ɐ	1.0
ˈyː	ˈɔʏ̯	1.0
ˈuːu̯	-	1.0
ˈiːi̯	ˈaɪ̯	1.0
ˈiː_d̥	ˈaɪ̯_t	1.0
ˈiː	ˈaɪ̯	1.0
ʊ	ˈʊ	1.0
ɫ	l_ə	1.0
ɡ̊	ɪ	1.0
ə	-	1.0
ɑɪ̯	eː	1.0
ɐ_ɣ̊	ɪ_ç	1.0
ŋ	ŋ	1.0
w	v	1.0
v̥	b̥	1.0
v_ɐ	b_ɐ	1.0
v_n	b_n	1.0
v	v	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s	ʃ	1.0
r	ʁ	1.0
p_n	f_n	1.0
o	ˈa	1.0
l	l	1.0
k_n	k_n	1.0
h	h	1.0
f	f	1.0
d_n	t_n	1.0
b	b	1.0
m	m	0.965
ɐ	ɐ	0.948
ɡ	ɡ	0.893
n	n	0.885
ˈʊ	ˈʊ	0.876
z	z	0.859
ˈɪ	ˈɪ	0.827
ˈɑ	ˈa	0.826
ˈuː	ˈaʊ̯	0.817
ˈɒː	ˈaː	0.758
ˈɑː	ˈa	0.75
ˈæɪ̯	ˈaɪ̯	0.702
p	f	0.684
ɐ_n	ɐ_n	0.67
χ	ç	0.648
ˈɑːɑ̯	ˈa	0.631
ˈɔ	ˈɔ	0.603
ˈɛːɪ̯	ˈeː	0.6
j	-	0.593
z̥	z̥	0.588
ˈɛ	ˈɛ	0.546
ˈʏ	ˈʏ	0.545
t	s	0.539
ˈœ	-	0.512
ˈeːe̯	ˈɛ	0.5
ˈeːe̯	-	0.5
ˈeː	ˈɛ	0.5
ˈœ	ˈɔ	0.488
d	d	0.478
k	kʰ	0.466
ˈʏ	-	0.455
d	tʰ	0.45
d̥	t	0.432
d̥	d̥	0.432
z̥	z_ə	0.412
j	j	0.407
ɣ̊	ɡ̊	0.403
ˈɛːɪ̯	ˈaɪ̯	0.4
ˈøː	-	0.38
ˈɑːɑ̯	-	0.369
χ	x	0.352
k	ç	0.332
ɐ_n	n	0.33
ˈoː	ˈoː	0.326
p	p͡f	0.316
ˈoː	ˈɔ	0.315
t	t	0.314
ˈeː	ˈeː	0.3
ˈæɪ̯	ˈiː	0.298
ˈoː	ˈaʊ̯	0.276
ˈɛ	ˈɪ	0.268
ˈɑː	ˈɛ	0.25
ˈɒː	ˈa	0.242
ˈøː	ˈoː	0.233
ˈøː	ˈøː	0.229
ɣ̊	k_ə	0.213
ɣ̊	k_n	0.213
ˈɔ	ˈʊ	0.201
ˈeː	-	0.2
ˈɔ	ˈa	0.196
ˈɛ	ˈaː	0.186
ˈuː	-	0.183
ɣ̊	ɡ_ə	0.17
ˈøː	ˈyː	0.159
k	x	0.151
t	ʦ	0.147
z	-	0.141
d̥	-	0.136
ˈɪ	-	0.128
ˈʊ	ˈɔ	0.124
ˈɑ	ˈaː	0.108
ɡ	-	0.107
ˈoː	-	0.084
n	n_d	0.079
ˈɑ	-	0.066
ɐ	d_ɐ	0.052
k	x_ə	0.051
