Xiang	Xiang	probability
⁴¹	⁵³	1.0
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʂ	ʦ	1.0
ɥ_e	ɛ	1.0
ɥ	-	1.0
ŋ	ɡ	1.0
æ	w̃	1.0
z̩	i	1.0
y	u	1.0
w_⁴⁵	¹¹	1.0
w_⁴¹	⁵³	1.0
u	u	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
p	p	1.0
õ	w_ã	1.0
nʲ	l	1.0
m	b	1.0
l̃	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ẽ	ĩ	1.0
e_j	e	1.0
e	e_ʔ	1.0
a_n	ŋ̍	1.0
<#_ɕ	<#	1.0
<#_ŋ	<#	1.0
<#_w	<#	1.0
¹³	²⁴	0.938
³³	⁴⁴	0.938
²¹	³³	0.909
a_j	a_j	0.8
x	h	0.714
t	t	0.714
⁴⁵	¹¹	0.667
s	ɕ	0.667
l	l	0.667
w	w	0.632
i	i	0.615
ʨʰ	ʦʰ	0.6
²⁴	³²	0.565
ɸ	p	0.5
ɕ	ɕ	0.5
ɕ	s	0.5
ɒ	o	0.5
ɒ	a	0.5
j	-	0.462
ɤ	l_i	0.429
<#	<#_h	0.429
ʨʰ	kʰ	0.4
j	j	0.385
n	ŋ	0.382
o	o_ʔ	0.375
o	-	0.375
ə	a	0.37
ʦ	t	0.357
a	e	0.35
⁴⁵	³³	0.333
s	s	0.333
l	l_j	0.333
²⁴	⁴	0.304
ɸ	h	0.3
a	a	0.3
ɤ	ɪ_k̚	0.286
ɤ	e_ʔ	0.286
x	-	0.286
t	tʰ	0.286
<#	<#_ɡ	0.286
<#	<#_l	0.286
n	n	0.265
w	k̚	0.263
a	w	0.25
i	j	0.231
ʦ	ʨ	0.214
ʦ	ʦ	0.214
ʦ	-	0.214
ɸ	h_w	0.2
a_j	j̃	0.2
ə	ɔ	0.185
j	i	0.154
i	w_e	0.154
ə	i	0.148
n	m	0.147
n	ã	0.147
o	ɤ	0.125
o	ɔ̃	0.125
ə	ɪ	0.111
ə	u	0.111
w	m	0.105
a	u	0.1
²¹	²²	0.091
²⁴	ʔ_³²	0.087
ə	-	0.074
³³	³³	0.062
n	ŋ̍	0.059
