Provençal	Provençal	probability
ˈɔ	-	1.0
ˈỹ	ˈu	1.0
ˈy_m	nː	1.0
ˈy	ˈu	1.0
ˈũ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈe_s	sː	1.0
ˈã	ˈa	1.0
ˈa_w	ˈa_w	1.0
ˈa_j	ˈa_ʈ	1.0
ʧ	tː	1.0
ɾ_e	ɾ_ʊ	1.0
ɥ_ˈe	ˈɔ	1.0
ɥ	ˈɔ	1.0
ɡ_l	ɟ	1.0
ŋ_d	nː_ɪ	1.0
y	-	1.0
w_ˈe	ˈɔ	1.0
w_#>	ʊ_#>	1.0
v	v	1.0
ũ	u	1.0
t_ɾ	ɽ	1.0
s_ˈe	s_ˈi	1.0
s_#>	ʊ_#>	1.0
p_l	c	1.0
p	p	1.0
n	n	1.0
k_ɔ	kː_a	1.0
j_ˈɛ	ˈɛ	1.0
j_s	ʃː_ɪ	1.0
ĩ	i	1.0
f_l	ç	1.0
e_s	ʃ	1.0
e_j	ɪ	1.0
d_ɔ	t_a	1.0
a_l	a_l	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_ʐ	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_s	<#_ɕ	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
ɔ	a	0.964
f	f	0.952
k	k	0.949
m	m	0.926
#>	ʊ_#>	0.906
ɲ	ɲː	0.875
ˈu	ˈu	0.76
l	l	0.758
t	t	0.75
ˈa	ˈa	0.738
ˈɛ	ˈɛ	0.724
i	i	0.714
ˈi	ˈi	0.706
s	s	0.69
ɾ	ɾ	0.677
d	t	0.667
ˈẽ	ˈɛ	0.6
ŋ	n	0.595
z	-	0.571
b	b	0.565
u	u	0.545
w_ˈẽ	ˈɔ_n	0.5
w_ˈẽ	ˈo	0.5
j_ˈe	ˈɛ	0.5
j_ˈe	ˈi	0.5
<#	<#_n	0.5
<#	<#_j	0.5
ˈe	ˈi	0.469
ʀ	ɾ	0.444
z	ɕ	0.429
ˈẽ	ˈi	0.4
ʤ	j	0.389
e	ɪ	0.364
ɡ	ɡ_w	0.333
ɡ	w	0.333
ɡ	-	0.333
b	p	0.304
i	-	0.286
ʤ	-	0.278
u	o	0.273
j	ɟː	0.273
w	ɖː_ʊ	0.242
s	ɕ	0.241
e	i	0.227
ʤ	ʤ	0.222
w	ˈɔ	0.212
ˈɛ	ˈi	0.207
ɾ	r	0.194
u	-	0.182
l	ɖː	0.182
j	j	0.182
j	-	0.182
ˈi	ɪ	0.176
ʀ	ɾ_n	0.167
ʀ	r	0.167
d	ɪ	0.167
d	-	0.167
ˈu	ˈu_ɾ	0.16
e	ʊ	0.159
ŋ	ŋ	0.143
j	ɪ	0.136
j	cː_ʊ	0.136
ɾ	ɽ	0.129
ˈe	ʊ	0.125
ˈe	-	0.125
ɲ	ɲ	0.125
t	ʈ	0.125
t	tː_ɪ	0.125
w	l_ʊ	0.121
w	-	0.121
ˈa	ˈa_r	0.119
ŋ	n_t	0.119
ˈi	-	0.118
ʤ	ɕ	0.111
ʀ	ʐː	0.111
ʀ	t_ɪ	0.111
ˈa	ˈa_ɾ	0.095
ˈe	ɾ	0.094
#>	t_ɪ_#>	0.094
w	v_ɪ	0.091
w	l_ɪ	0.091
j	ˈɛ	0.091
e	a	0.091
e	-	0.091
b	-	0.087
ˈu	ˈɔ	0.08
m	-	0.074
ˈɛ	ˈɛ_ɾ	0.069
s	ʦː	0.069
e	ɾ_ɪ	0.068
ˈe	ˈɛ	0.062
ˈe	ɾ_p	0.062
ˈe	r	0.062
w	ɪ	0.061
w	w	0.061
l	ˈi	0.061
k	ɡ_ʊ	0.051
