Québécois French	French	probability
aœ̯	œ	1.0
ã	ɑ̃	1.0
b	b	1.0
f	f	1.0
i	i	1.0
k	k	1.0
n	n	1.0
oʊ̯	o	1.0
p	p	1.0
t	t	1.0
u	u	1.0
v	v	1.0
z	z	1.0
œ̃ʏ̯̃	ɛ̃	1.0
ɑ	a	1.0
ɑɔ̯	ɔ	1.0
ɒ̃ʊ̯̃	ɔ̃	1.0
ɛɪ̯	ɛ	1.0
ɪ	i	1.0
ɲ	ɲ	1.0
ʁ	ʁ	1.0
ʃ	ʃ	1.0
ʊ	u	1.0
ʣ	d	1.0
ʦ	t	1.0
æɛ̯	ɛ	0.901
œ	œ	0.41
ɥ	-	0.111
ʏ	y	0.661
o	o	0.982
øʏ̯	j	0.062
ʒ	ʒ	0.942
ẽɪ̯̃	ɛ̃	0.983
m	m	0.943
j	j	0.984
l	l	0.984
œ	ə	0.514
ɛ	a	0.714
d	d	0.965
a	a	0.946
e	e	0.976
ɔ	ɔ	0.96
ɛ	ɛ	0.256
w	w	0.967
y	y	0.967
øʏ̯	ø	0.938
ʒ	-	0.058
s	s	0.959
æɛ̯	-	0.099
ɡ	ɡ	0.989
ɥ	ɥ	0.889
ʏ	ɛ	0.339
