Czech	Polish	probability
a	a	1.0
b	b	1.0
f	f	1.0
j	j	1.0
k	k	1.0
m̩	ɛ_m	1.0
o	ɔ	1.0
r	r	1.0
r̝	ʐ	1.0
r̝̊	ʂ	1.0
ɟ	ʥ	1.0
ɦ	ɡ	1.0
ɪ	ɨ	1.0
ʒ	ʐ	1.0
ʦ	ʦ	1.0
ʧ	ʈ͡ʂ	1.0
ˈou̯	ˈu	1.0
ˈɛː	ˈɛ	1.0
n	ɲ	0.271
p	p_j	0.111
t	t	0.531
x	k	0.191
z	ʑ	0.641
ɲ	ɲ	0.541
ˈo	ɔ	0.061
ˈuː	ˈu	0.561
v	f	0.142
z	z	0.272
ˈa	ˈa	0.492
c	ʨ	0.923
l	l	0.473
s	ɕ	0.423
t	ʨ	0.383
ɛ	ˈɔ	0.193
ˈr̩	ˈɛ_r	0.343
ˈu	ˈɔ	0.283
ˈɪ	ˈi	0.323
d	ʥ	0.234
ɛ	ɛ	0.564
ʃ	w̃_ʂ	0.324
ˈiː	j_ˈa	0.664
iː	i	0.215
iː	ɨ	0.785
m	m	0.965
p	p	0.85
ˈɛ	ˈa	0.175
d	d	0.766
t	ɲ_ʨ	0.086
z	w̃_z	0.086
ʃ	ʂ	0.676
ˈaː	ˈɔ	0.296
ˈiː	ˈɨ	0.336
ˈɛ	ˈɛ	0.706
c	ʈ͡ʂ	0.077
l	w	0.527
s	s	0.577
ɛ	j_ɛ	0.087
ˈaː	ˈu	0.327
ˈaː	ˈa	0.377
ˈr̩	ˈa_r	0.657
ˈu	ˈu	0.717
ˈɪ	ˈɨ	0.677
v	v	0.858
ɛ	ɛ_ɲ	0.078
ɛ	ˈa	0.078
ˈa	ˈɔ	0.508
n	n	0.729
x	x	0.809
ɲ	j	0.459
ˈo	ˈu	0.09
ˈo	ˈɔ	0.849
ˈuː	ˈɔ	0.439
ˈɛ	ɛ	0.119
