Old French	Old French	probability
θ	-	1.0
ˈɛ_f_#>	v_#>	1.0
ˈɔ_r	ˈɔə̯_r	1.0
ˈy_j	ˈɔ	1.0
ˈũ_n	ˈõũ̯	1.0
ˈi_l	ˈɛ_l	1.0
ˈe_r_#>	ˈeə̯_#>	1.0
ˈã	ˈʌ̃	1.0
ɲ	ɲ	1.0
ɛ	ɐ	1.0
ə_n	n	1.0
ə_#>	#>	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
z	z	1.0
y	-	1.0
w_ˈɛ	ˈɔ	1.0
w_#>	ɡ_#>	1.0
ũ	-	1.0
u	u	1.0
t_#>	d_#>	1.0
s_#>	#>	1.0
r_ˈã	r_ˈʌ̃	1.0
r_ə	ɐ_r	1.0
r_#>	#>	1.0
p_l	p_j	1.0
p	p	1.0
n_#>	#>	1.0
l_ˈa	ˈaː	1.0
l_ə	ɐ	1.0
l_#>	l_#>	1.0
k_r	k_r	1.0
k_l	ʧ	1.0
j_ˈẽ	ˈɛ̃	1.0
j_#>	ð_#>	1.0
ĩ	i	1.0
i	i	1.0
e_s	s	1.0
e	-	1.0
d	d	1.0
b	b	1.0
ã	ɐ	1.0
<#_ˈã	<#_ˈʌ̃	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
t	t	0.946
m	m	0.941
n	n	0.921
k	k	0.909
ʧ	k	0.905
f	f	0.889
s	s	0.868
ə	ɐ	0.857
r	r	0.843
v	v	0.818
ʦ	θ	0.765
ʤ	ð	0.75
ˈĩ	ˈẽ	0.714
j	-	0.711
l	l	0.7
o	-	0.667
j_s	z	0.667
a	ɐ	0.625
ˈỹ	ˈo	0.6
ˈi	ˈi	0.6
ɡ	ɡ	0.6
j_ˈɛ	ˈeə̯	0.6
ˈe	-	0.583
ʎ	j	0.556
#>	ɐ_#>	0.542
ˈy	ˈu	0.5
ˈũ	ˈo	0.5
ˈa	ˈeə̯	0.455
ˈa	ˈa	0.455
ʎ	ʧ	0.444
ˈu	ˈou̯	0.429
ˈẽ	ˈɛ	0.429
ˈỹ	-	0.4
ɡ	ʤ	0.4
j_ˈɛ	ˈeː	0.4
ˈɛ	ˈɛə̯	0.389
ˈɔ_j	ˈeː	0.385
w	v	0.385
a	-	0.375
ˈẽ	ˈẽ	0.357
ˈũ	ˈou̯	0.333
ˈe	ˈeə̯	0.333
o	e	0.333
j_s	θ	0.333
ˈɔ_j	ˈɛ	0.308
w	ˈɔə̯	0.308
w	-	0.308
ˈy	-	0.3
l	j	0.3
ˈu	ˈo	0.286
ˈĩ	-	0.286
ˈɔ	ˈɔə̯	0.267
ˈɔ	ˈɔ	0.267
ʤ	-	0.25
ʦ	-	0.235
ˈẽ	-	0.214
ˈɔ	ˈou̯	0.2
ˈy	ˈou̯	0.2
ˈɛ	ˈɛ	0.194
v	-	0.182
ˈũ	-	0.167
ˈi	-	0.16
ˈɔ_j	ˈi	0.154
ˈɔ_j	ˈeː_d	0.154
ˈu	u_j	0.143
ˈu	-	0.143
ˈɔ	ˈo	0.133
ˈɔ	-	0.133
#>	l_#>	0.125
ˈi	ˈɛ	0.12
ˈi	ˈi_ɡ	0.12
r	-	0.118
f	v	0.111
ʧ	-	0.095
ˈa	ɐ	0.091
k	ɡ	0.091
j	ˈi	0.089
ə	-	0.086
ˈɛ	ˈeː	0.083
ˈɛ	ˈeə̯	0.083
ˈɛ	ˈa	0.083
ˈe	ˈe	0.083
#>	ˈɛ_#>	0.083
#>	ɡ_#>	0.083
#>	v_#>	0.083
#>	k_#>	0.083
s	z	0.079
n	j̃	0.079
j	ɡ	0.067
m	-	0.059
ˈɛ	ˈu	0.056
ˈɛ	ˈeə̯_d	0.056
ˈɛ	-	0.056
t	-	0.054
s	ˈeː_t	0.053
