Shanghainese	Shanghainese	probability
⁵⁵	²⁴	1.0
⁵	²⁴	1.0
ʨʰ	ʦʰ	1.0
ʦʰ	ʦʰ	1.0
ʥ	k	1.0
ʔ	ʔ	1.0
ʑ	ʦ_w	1.0
ɯ	-	1.0
ɪ_ʔ	ʔ	1.0
ɥ	o	1.0
ɤ	w	1.0
ɡ	k	1.0
ɕ	s	1.0
¹²	⁵	1.0
z̩	i	1.0
w	-	1.0
v	-	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	pʰ	1.0
p	p	1.0
n	ŋ	1.0
l	l̃	1.0
kʰ	kʰ	1.0
k	k	1.0
h	h	1.0
b	p	1.0
ã	ɛ	1.0
<#_ɦ	<#	1.0
<#_n	<#_nˡ	1.0
⁵³	⁵⁵	0.943
m	m	0.778
nʲ	nˡ	0.75
s	s	0.714
³⁴	³³	0.692
²³	⁵³	0.643
ø	a_ŋ	0.6
d	t	0.6
ʦ	ʦ	0.545
ɦ	h	0.545
ʨ	k_j	0.5
ʨ	k	0.5
ɜ	e_w	0.5
ɜ	a_w	0.5
ŋ	ɥ_ŋ	0.5
ŋ	ŋ	0.5
y	u	0.5
y	-	0.5
<#	<#_ʦʰ	0.5
<#	<#_ŋ	0.5
ʦ	t	0.455
ɦ	w	0.455
j	j	0.455
ɑ̃	o_ŋ	0.444
f	h	0.429
e	j	0.429
a	ɑ	0.417
d	tʰ	0.4
j	-	0.364
ɔ	w	0.333
ɔ	o	0.333
ɔ	e_w	0.333
ɑ̃	ŋ	0.333
z	s_w	0.333
z	s_j	0.333
z	-	0.333
a	a	0.333
³⁴	²¹³	0.308
u	o	0.308
s	ʦ	0.286
f	p_w	0.286
f	p_u	0.286
e	a_j	0.286
e	a	0.286
i	i	0.261
ə	u	0.25
ə	o_w	0.25
nʲ	-	0.25
a	-	0.25
²³	²⁴²	0.232
u	ɑ	0.231
ɑ̃	w_ŋ	0.222
m	-	0.222
o	ø	0.208
ø	ɑ_ŋ	0.2
ø	ŋ	0.2
j	ɛ	0.182
i	ɛ_j	0.174
i	j	0.174
ə	o	0.167
ə	a_j	0.167
ə	a	0.167
o	ɔ	0.167
o	-	0.167
u	w	0.154
u	u	0.154
u	o_w	0.154
i	ɛ	0.13
²³	³³	0.125
o	ø_ɥ	0.125
i	o_ŋ	0.087
i	e_ŋ	0.087
i	a	0.087
o	w	0.083
o	o_w	0.083
o	o	0.083
o	a	0.083
⁵³	ŋ_⁵⁵	0.057
