Ripuarian	Westphalian	probability
b	b	0.957
d	d	0.934
d	-	0.066
e	aɪ̯	1.0
f	f	0.715
f	v	0.11
f	p	0.11
f	ʋ	0.058
h	h	0.954
j	x	0.76
j	ɡ	0.125
j	j	0.084
k	k	0.629
k	d	0.14
k	t	0.111
k	ç	0.052
l	l	0.948
m	m	0.937
m	-	0.063
n	n	0.944
p	p	1.0
s	t	0.543
s	s	0.424
t	t	0.545
t	d	0.403
t	-	0.052
v	v	0.973
x	x	0.813
x	k	0.147
z	s	0.951
ŋ	n	0.624
ŋ	ŋ	0.3
ŋ	ɣ	0.065
ɐ	ɐ	0.873
ɐ	-	0.127
ɕ	k	0.458
ɕ	ç	0.376
ɕ	-	0.077
ɕ	ɡ	0.077
ə	n	0.795
ə	-	0.141
ɣ	ɡ	1.0
ɪ	ɪ	0.67
ɪ	-	0.33
ʀ	r	0.921
ʀ	-	0.073
ʃ	ʃ	0.983
ʋ	v	0.718
ʋ	ʋ	0.282
ʦ	t	1.0
ˈa	ˈa	0.574
ˈa	ˈɪ	0.128
ˈa	ˈaʊ̯	0.11
ˈa	ˈɔ	0.089
ˈa	ˈɛ	0.073
ˈaʊ̯	ˈuː	0.566
ˈaʊ̯	ˈaʊ̯	0.357
ˈaʊ̯	ˈɔ	0.077
ˈaː	ˈa	0.316
ˈaː	ˈaː	0.188
ˈaː	ˈɔː	0.118
ˈaː	ˈɒː	0.106
ˈaː	ˈɛː	0.106
ˈaː	ˈɛ	0.083
ˈaː	ˈɪə̯	0.083
ˈe	ˈɪ	0.824
ˈe	ˈiː	0.094
ˈeɪ̯	ˈeː	0.675
ˈeɪ̯	ˈaɪ̯	0.158
ˈeɪ̯	ˈiː	0.112
ˈeɪ̯	ˈɪ	0.054
ˈeː	ˈaɪ̯	0.487
ˈeː	ˈeː	0.267
ˈeː	ˈiɛ̯	0.086
ˈeː	ˈiː	0.051
ˈiː	ˈiː	0.47
ˈiː	ˈeː	0.174
ˈiː	ˈɪɛ̯	0.163
ˈiː	ˈɪ	0.149
ˈo	ˈʊ	0.737
ˈo	ˈoː	0.112
ˈo	ˈɔː	0.08
ˈoʊ̯	ˈuə̯	0.67
ˈoʊ̯	ˈaʊ̯	0.33
ˈoː	ˈɔː	0.287
ˈoː	ˈoː	0.209
ˈoː	ˈaʊ̯	0.198
ˈoː	ˈœː	0.12
ˈoː	ˈuːə̯	0.098
ˈu	ˈa	0.462
ˈu	ˈuə̯	0.462
ˈu	ˈɔ	0.075
ˈuː	ˈaʊ̯	0.404
ˈuː	ˈʊ	0.29
ˈuː	ˈuː	0.243
ˈuː	ˈɔː	0.063
ˈyː	ˈyː	0.318
ˈyː	ˈøː	0.216
ˈyː	ˈœː	0.194
ˈyː	ˈiɛ̯	0.181
ˈyː	ˈuː	0.091
ˈøʏ̯	ˈiː	1.0
ˈøː	ˈøː	0.791
ˈøː	ˈiɛ̯	0.09
ˈøː	ˈɔː	0.062
ˈœ	ˈʏ	0.289
ˈœ	ˈiː	0.271
ˈœ	ˈø	0.271
ˈœ	ˈyə̯	0.168
ˈɔ	ˈʊ	0.506
ˈɔ	ˈuːə̯	0.291
ˈɔ	ˈɔ	0.085
ˈɔ	ˈɔː	0.08
ˈɛ	ˈɛ	0.369
ˈɛ	ˈɪɛ̯	0.229
ˈɛ	ˈɪ	0.1
ˈɛ	ˈiɛ̯	0.066
ˈɛ	ˈɪə̯	0.055
ˈɛ	ˈa	0.051
ˈɛ	ˈiː	0.051
ˈɛː	ˈɪɛ̯	0.414
ˈɛː	ˈɛː	0.244
ˈɛː	ˈa	0.131
ˈɛː	ˈɛ	0.1
ˈɛː	ˈaː	0.066
ˈɪ	ˈɪ	0.652
ˈɪ	ˈiː	0.261
ˈɪ	ˈɛ	0.053
ˈʊ	ˈʊ	0.587
ˈʊ	ˈuː	0.297
ˈʊ	ˈuːə̯	0.115
ˈʏ	ˈɪə̯	0.385
ˈʏ	ˈʏ	0.385
ˈʏ	ˈyːœ̯	0.104
ˈʏ	ˈaɪ̯	0.081
