Ladin	Sicilian	probability
a	a	0.91
b	b	0.852
b	v	0.109
d	t	0.408
d	-	0.252
d	d	0.186
d	cː	0.08
e	ɪ	0.546
e	i	0.173
e	-	0.156
e	a	0.067
f	f	0.883
f	p	0.085
i	i	0.409
i	ɪ	0.272
i	a	0.167
i	-	0.153
j	-	0.566
j	i	0.162
j	ɪ	0.094
j	ɟː	0.078
j	ɾ_i	0.054
k	k	0.948
l	l	0.465
l	ɖː	0.266
l	-	0.203
m	m	0.722
m	mː	0.141
m	ʤ	0.114
n	n	0.873
n	nː	0.109
o	u	0.222
o	ˈɔ	0.184
o	a	0.171
o	ʊ	0.127
o	-	0.122
o	o	0.079
o	ɪ	0.05
p	p	0.955
r	ɾ	0.643
r	r	0.102
r	ʈ_ɽ	0.075
r	ʐː	0.056
r	ʐ	0.051
s	s	0.75
s	ʃː	0.095
s	-	0.082
t	t	0.546
t	tː	0.232
t	ʈː	0.053
u	u	0.77
u	a	0.23
v	v	0.802
v	p	0.163
w	ˈɔ	0.652
w	w	0.147
w	-	0.098
w	r	0.052
w	ʊ	0.051
ŋ	ŋ	0.925
ŋ	nː	0.075
ɡ	ɡ	0.289
ɡ	-	0.188
ɡ	kː	0.176
ɡ	w	0.176
ɡ	k	0.086
ɡ	ɟ	0.058
ɲ	ɲː	0.8
ɲ	ɲ	0.178
ʃ	ʃ	0.329
ʃ	ʃː	0.253
ʃ	s	0.158
ʃ	ʦː	0.141
ʃ	ɕ	0.118
ʒ	j	0.358
ʒ	ʤ	0.222
ʒ	z	0.164
ʒ	ɕ	0.125
ʒ	v	0.071
ʒ	d	0.059
ʤ	ʤː	1.0
ʥ	k	0.411
ʥ	ɡ	0.411
ʥ	ʤː	0.155
ʦ	ʦː	0.694
ʦ	ɕ	0.193
ʦ	s	0.113
ʧ	ɕ	0.831
ʧ	r	0.169
ʨ	k	0.502
ʨ	ɕ	0.241
ʨ	kː	0.116
ʨ	ʧː	0.078
ˈa	ˈa	0.978
ˈe	ˈi	0.638
ˈe	ˈa	0.222
ˈe	-	0.058
ˈi	ˈi	0.89
ˈi	r	0.052
ˈo	ˈu	0.809
ˈo	ˈo	0.159
ˈu	ˈu	0.93
ˈɔ	ˈɔ	0.722
ˈɔ	u	0.093
ˈɔ	w	0.057
ˈɔ	ˈo	0.054
ˈɛ	ˈɛ	0.532
ˈɛ	ˈa	0.211
ˈɛ	-	0.116
ˈɛ	ˈi	0.072
ˈɛ	ˈɔ	0.07
