Gascon	Gascon	probability
ˈɛ_ʦ	ˈɛ_w	1.0
ˈɛ_w	ˈɛ_l	1.0
ˈɛ_j	ˈe	1.0
ˈɔ	ˈɔ	1.0
ˈy_#>	ˈu_#>	1.0
ˈu_ʦ	ˈɛ_w	1.0
ˈu_n	ˈɔ_n	1.0
ˈo	ˈɔ_l	1.0
ˈe_w	w	1.0
ˈa_w	ˈɔ	1.0
ˈa_m	ˈa_m	1.0
ˈa_k	ˈa_k	1.0
ˈa_j	ˈa_ɾ	1.0
ˈa	ˈa	1.0
ʦ_#>	#>	1.0
ʤ	ʤ	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʃ	ʃ	1.0
ɾ_ˈe	ɾ_ˈɛ	1.0
ɾ_ɔ	ʎ_ə	1.0
ɲ	ɲ	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ŋ_k	ŋ	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
y	-	1.0
w_ˈe	ˈu	1.0
w_t	l_t	1.0
w_#>	l_#>	1.0
t_ɔ	t_ə	1.0
t_#>	ʎ_#>	1.0
t	t	1.0
s_k	s_k	1.0
s_e	s_ə	1.0
s	s	1.0
r_#>	ə_#>	1.0
r	r	1.0
p	p	1.0
nː	b_r	1.0
n_ˈa	n_ˈɔ	1.0
n_#>	n_#>	1.0
mː	mː	1.0
m_#>	m_#>	1.0
m	m	1.0
lː	ʎː	1.0
l_ɔ	l_ə	1.0
l_#>	l_#>	1.0
k_ˈu	k_ˈu	1.0
k_a	k_ə	1.0
k	k	1.0
j_ˈɛ	ˈi	1.0
i_#>	#>	1.0
h	f	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a_ɾ	ə_ɾ	1.0
a_n	ə_n	1.0
a	ə	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈe	<#_ˈe	1.0
<#_t	<#_t	1.0
<#_a_w	<#_u	1.0
#>	n_#>	1.0
ɔ	ə	0.95
n	n	0.913
β	β	0.895
u	u	0.895
ˈi	ˈi	0.882
ɾ	ɾ	0.844
<#_e	<#_ə	0.818
ˈu	ˈo	0.8
<#_ˈa	<#_ˈa	0.778
i	i	0.75
ˈɛ	ˈe	0.727
e	ə	0.725
ˈy	ˈu	0.714
<#_a	<#	0.667
ð	ð	0.643
w	w	0.571
ˈe	ˈɛ	0.556
z	-	0.545
j	-	0.545
ˈe_j	ˈi	0.5
ˈe_j	ʧ	0.5
l	ʎ	0.5
l	l	0.5
j_#>	j_#>	0.5
j_#>	#>	0.5
e_#>	ˈi_#>	0.5
e_#>	#>	0.5
z	z	0.455
j	j	0.455
ˈe	ˈe	0.389
<#_a	<#_ə	0.333
ˈɛ	ˈɛ	0.273
i	ə	0.25
w	ˈɔ	0.238
<#_ˈa	<#	0.222
ð	w_ɾ	0.214
ˈu	ˈɔ	0.2
e	ɾ_ə	0.2
ˈy	ˈo	0.19
<#_e	<#	0.182
ɾ	-	0.156
ð	-	0.143
β	w_ɾ	0.105
u	-	0.105
ˈy	ˈu_j	0.095
w	u	0.095
w	l	0.095
n	ɲ	0.087
e	i	0.075
ˈi	ˈi_n	0.059
ˈi	ˈe	0.059
ˈe	ɾ	0.056
