Bavarian	Bavarian	probability
ˈɒː_ŋ	ˈeɪ̯	1.0
ˈɑ	ˈæ	1.0
ˈou̯	ˈe	1.0
ˈo_ɐ	ˈɔː	1.0
ˈiː	ˈɪ	1.0
ˈai̯_#>	ˈiː_#>	1.0
ˈa	-	1.0
ʋ	w	1.0
ʃ_ʋ	s	1.0
ʃ_d̥	s_t	1.0
ɡ̊_s	k_s	1.0
ɡ̊_l	ɫ	1.0
ɡ̊_a_#>	#>	1.0
ɡ̊_a	ʤ	1.0
ɡ̊_#>	#>	1.0
ə	-	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
ç	ʧ	1.0
x_d̥	t	1.0
x	k	1.0
s_n	t	1.0
s_a	t_ə	1.0
r_ˈai̯	ɜː	1.0
n_s	s	1.0
n_a	n	1.0
l_ˈɑ	l	1.0
l	l	1.0
i	-	1.0
h	h	1.0
f_ə	v	1.0
f_a	p	1.0
f_#>	p_#>	1.0
f	f	1.0
eɐ̯	ˈiː_n	1.0
d̥_n	d	1.0
b̥͡v̥	pʰ	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
<#_ˈɑ	<#_ˈeɪ̯	1.0
<#_ˈi	<#	1.0
<#_ˈe	<#	1.0
<#_n	<#_n	1.0
r	ɹ	0.917
m	m	0.8
ˈau̯	ˈaʊ̯	0.778
kʰ	kʰ	0.75
j	ɫ	0.722
ˈoː	-	0.667
ˈai̯	ˈaɪ̯	0.667
ʃ	ʃ	0.647
ˈi	ˈɪ	0.64
d̥	d	0.606
ˈaː	ˈiː	0.6
s	s	0.6
ˈoɐ̯	ˈəʊ̯	0.583
n	n	0.579
ˈɑː	-	0.571
ˈiɐ̯	ˈiː	0.556
ɡ̊	ɡ	0.55
ʦ	tʰ	0.533
a	ə	0.514
β	v	0.5
β	f	0.5
ˈɒː	ˈɑː	0.5
ˈɒː	-	0.5
#>	n_#>	0.5
ˈu	ˈɐ	0.478
ˈo	-	0.474
ʦ	t	0.467
ˈiɐ̯	ˈaɪ̯	0.444
ˈe	ˈe	0.444
ˈɑː	ˈeɪ̯	0.429
ˈoɐ̯	-	0.417
n	-	0.368
ʃ	s	0.353
s	t	0.343
a	-	0.343
ˈoː	ˈɐ	0.333
ɐ	ˈɜː	0.308
ɐ	ə	0.308
ˈu	-	0.304
ˈuɐ̯	ˈʊ	0.273
ˈuɐ̯	ˈɐ	0.273
ˈuɐ̯	-	0.273
d̥	θ	0.273
ˈeː	ˈɪ	0.25
ˈeː	ˈe	0.25
ɡ̊	k	0.25
kʰ	ʧ	0.25
ˈi	ˈaɪ̯	0.24
ɐ	ˈɔː	0.231
ˈau̯	ˈaɪ̯	0.222
ˈai̯	-	0.222
ˈo	ˈəʊ̯	0.211
ˈaː	ˈɐ	0.2
ˈaː	-	0.2
ˈeː	ˈəʊ̯	0.188
ˈeː	ˈiː	0.188
ˈuɐ̯	ˈiː	0.182
ˈe	ˈɑː	0.167
ˈe	-	0.167
j	-	0.167
#>	ˈuː_#>	0.167
#>	ˈiː_#>	0.167
#>	f_#>	0.167
ˈo	ˈʊ	0.158
ˈo	ˈɔː	0.158
ɐ	-	0.154
m	v	0.133
ˈu	ˈɪ	0.13
ˈeː	-	0.125
ˈi	-	0.12
ˈe	ˈɛ	0.111
ˈe	ˈæ	0.111
ˈai̯	ˈe	0.111
j	ˈɑː	0.111
ɡ̊	ʤ	0.1
ɡ̊	ɪ	0.1
d̥	ð	0.091
ˈu	ˈaʊ̯	0.087
a	n	0.086
r	-	0.083
m	-	0.067
s	z	0.057
a	ɡ_ə	0.057
n	ˈæ_n	0.053
