Ligurian	Franco-Provençal	probability
b	b	1.0
f	f	1.0
o	ˈø	1.0
sː	ʃ	1.0
y	y	1.0
a	-	0.171
a	a	0.601
d	-	0.201
e	o	0.051
i	o	0.061
j	l	0.11
k	t	0.091
n	m	0.091
ʒ	ˈɛ_ʃ	0.151
ʒ	ʁ	0.181
ʤ	b	0.081
ʧ	k	0.081
ˈe	ˈɔ	0.061
ˈe	ˈɛ̃	0.261
ˈeː	ð_ˈi	0.1
ˈiː	ˈɛ	0.171
ˈuː	ˈø	0.211
ˈy	ˈɔ̃	0.141
ˈøː	ˈoː	0.261
ˈøː	w	0.461
ˈɔː	w	0.131
ˈɛː	ˈeː	0.161
d	ð	0.22
e	ˈɛ	0.122
m	-	0.12
r	-	0.112
ɔː	u	0.672
ɲ	ɲ	0.352
ˈaː	i	0.052
ˈi	ˈe	0.102
ˈiː	ˈo	0.062
ˈu	w	0.092
ˈyː	ˈoː	0.282
ˈɔ	a	0.122
ˈɔ	ˈo	0.222
ˈɛ	ˈe	0.382
ˈɛː	ˈɛ	0.402
i	-	0.433
n	ɲ	0.053
ŋ	ˈĩ	0.083
ʃ	f	0.173
ʤ	ð	0.103
ˈa	ˈɑ̃	0.53
ˈaː	ˈoː	0.213
ˈe	-	0.063
ˈeː	j	0.203
ˈi	ˈi	0.223
ˈiː	ˈi	0.583
ˈy	j	0.093
ˈyː	ˈu	0.283
ˈø	ˈu	0.143
ˈø	ˈoː	0.143
ˈøː	ˈɔ	0.213
ˈɛ	ˈeː	0.313
i	i	0.144
m	b	0.064
r	j	0.054
r	ʁ	0.834
u	o	0.24
v	-	0.134
ŋ	ˈɔ̃	0.094
ŋ	n	0.284
ŋ	-	0.384
ɡ	ɡ	0.264
ʃ	-	0.14
ʤ	ʒ	0.114
ˈaː	l_ˈa	0.104
ˈy	ˈɔ	0.094
ˈy	w	0.314
ˈø	ˈø	0.174
ˈø	w	0.54
ˈɔ	ˈoː	0.164
e	e	0.05
e	j_ˈɛ	0.05
e	-	0.075
e	ə	0.355
i	ə	0.085
k	-	0.065
m	m	0.815
t	s	0.055
t	-	0.425
t	t	0.5
u	-	0.675
ɡ	-	0.635
ɲ	n	0.45
ˈaː	ˈa	0.175
ˈe	ˈɛ	0.175
ˈy	ˈe	0.095
ˈyː	ˈi	0.155
ˈɔ	ˈa	0.225
ˈɛ	ˈɛ	0.305
e	ʁ_ə	0.196
j	ˈi	0.116
j	ʁ	0.366
k	k	0.326
v	f	0.056
w	ˈa	0.056
z	-	0.186
ŋ	ˈɛ̃	0.126
ʃ	s	0.46
ʒ	v	0.066
ˈaː	j_ˈɛ	0.076
ˈaː	ˈɔ	0.146
ˈe	ˈeː	0.426
ˈeː	ˈo	0.076
ˈeː	ˈeː	0.176
ˈi	-	0.06
ˈøː	ˈo	0.066
ˈɔː	ˈø	0.336
l	-	0.067
n	n	0.757
p	p	0.947
s	s	0.637
w	o	0.167
w	-	0.507
ɲ	ˈɛ̃	0.197
ʃ	t	0.227
ʒ	ʃ	0.237
ʧ	p	0.27
ˈaː	ˈɛ	0.137
ˈi	ˈoː	0.107
ˈi	l	0.107
ˈi	ˈĩ	0.387
ˈuː	ˈy	0.207
ˈuː	w	0.27
ˈy	ˈo	0.057
ˈy	u	0.137
ˈɔ	ˈu	0.267
ˈɛː	ˈɔ	0.347
i	ĩ	0.128
i	j	0.148
j	-	0.308
n	-	0.098
v	v	0.748
w	ɔ	0.068
ɔː	oː	0.328
ʒ	z	0.328
ˈeː	ˈɛ	0.208
ˈiː	ˈu	0.088
ˈu	ˈɔ	0.158
ˈu	ˈɔ̃	0.698
ˈyː	ˈo	0.28
ˈɔː	ˈoː	0.48
a	ə	0.179
d	d	0.579
k	ʃ	0.519
l	l	0.89
s	-	0.319
w	w	0.159
z	s	0.19
z	ð	0.529
ʤ	ʎ	0.639
ʧ	j	0.649
ˈa	ˈa	0.249
ˈaː	ˈeː	0.09
ˈeː	ˈi	0.199
ˈiː	j	0.069
ˈuː	ˈoː	0.259
