Min Bei	Min Bei	probability
⁵⁵_#>	#>	1.0
⁵⁵	-	1.0
⁵⁴_#>	#>	1.0
⁴²	-	1.0
ɥ	u	1.0
ɔ_²⁴	w	1.0
œ_ɥ	u	1.0
ŋ_⁵⁴	m	1.0
ŋ_³³_#>	m_#>	1.0
³³	-	1.0
²⁴_#>	#>	1.0
²¹_#>	#>	1.0
y_⁴²	o	1.0
x_w	hʷ	1.0
u_²⁴	ɯ	1.0
pʰ	pʰ	1.0
n_j	ŋʷ	1.0
kʰ_y	kʰʷ	1.0
kʰ	kʰ	1.0
k_o	kʷ	1.0
j_ŋ	n	1.0
i_⁵⁴	e	1.0
e_²¹	oː	1.0
e_j	r_ɯ	1.0
<#_w	<#	1.0
<#_s	<#_s	1.0
<#_l	<#_r	1.0
ŋ	ŋ	0.788
n	n	0.75
m	m	0.75
ʦ	ʔ_s	0.667
ŋ_⁵⁵	n_s	0.667
ŋ_²¹	n_ʔ	0.6
a_j	ɯː	0.6
²⁴	-	0.556
p	p	0.545
ʦʰ	sʰ	0.5
œ	ɢ	0.5
œ	j	0.5
tʰ	lʼ	0.5
s	h_l	0.5
s	h	0.5
k	ɡ	0.5
k	k	0.5
e	i	0.5
e	-	0.5
p	b	0.455
i	i	0.455
x	p	0.429
t	t	0.429
j	i	0.421
ɛ	ɯː	0.4
ŋ_²¹	m_ʔ	0.4
a_j	eː	0.4
#>	ɡ_#>	0.393
#>	s_#>	0.393
<#	<#_q	0.364
ʦ	z	0.333
ɛ	l	0.333
ŋ_⁵⁵	ŋ_s	0.333
tʰ	l̥ʰ	0.333
a_w	uː_ʔ	0.333
a_w	u	0.333
a_w	e_u	0.333
x	ɢʷ	0.286
x	h_m	0.286
t	ʔ_lʼ	0.286
t	d	0.286
ɔ	oː	0.278
ɔ	aː	0.278
i	ɯ	0.273
i	iː	0.273
<#	<#_ɡ	0.273
a	a	0.263
ʦʰ	kʰ_l	0.25
w	ɡʷ	0.25
w	l	0.25
w	aː	0.25
w	-	0.25
n	n_i	0.25
m	m_r	0.25
y	-	0.235
u	ɯ	0.231
u	u	0.231
u	aː	0.231
²⁴	ɯː_ɡ	0.222
²⁴	aː_ɡ	0.222
#>	ʔ_#>	0.214
ŋ	n	0.212
j	o	0.211
j	eː	0.211
a	r_aː	0.211
<#	<#_ŋ	0.182
<#	<#_m	0.182
y	o	0.176
y	i	0.176
y	a_ʔ	0.176
tʰ	r̥ʰ	0.167
j	e	0.158
a	uː	0.158
a	r	0.158
u	aː_ʔ	0.154
u	-	0.154
ɛ	e_d	0.133
ɛ	d	0.133
ʦʰ	ʦʰ	0.125
ʦʰ	tʰ	0.125
y	ɯ	0.118
y	a	0.118
ɔ	ɯː	0.111
ɔ	u	0.111
ɔ	a	0.111
ɔ	-	0.111
a	eː	0.105
a	aː	0.105
