Aromanian	Corsican	probability
a	-	0.613
a	a	0.231
a	ˈa	0.124
b	b	0.721
b	v	0.122
b	m	0.083
d	d	1.0
e	e	0.82
e	-	0.18
e̯a	-	1.0
e̯ˈa	ˈɛ	0.6
e̯ˈa	ˈa	0.129
e̯ˈa	ˈe	0.119
e̯ˈa	-	0.09
e̯ˈa	j	0.061
f	f	0.894
f	t	0.053
f	ʧ	0.053
i	e	0.343
i	-	0.3
i	a	0.127
i	u	0.113
i	i	0.088
j	v	0.623
j	-	0.172
j	j	0.074
j	ˈɛ	0.064
j	a	0.057
k	k	0.754
k	p	0.154
k	-	0.051
l	l	0.655
l	j	0.209
l	-	0.096
m	m	0.749
m	-	0.093
m	n	0.072
m	ɲ	0.051
n	n	0.721
n	-	0.15
n	ŋ	0.066
o̯ˈa	ˈɔ	0.509
o̯ˈa	ˈo	0.256
o̯ˈa	ˈa	0.114
o̯ˈa	ˈu	0.069
o̯ˈa	-	0.052
p	p	0.658
p	t	0.17
p	k_w	0.063
r	r	0.549
r	-	0.268
r	l	0.081
r	l_u	0.055
s	s	0.847
s	-	0.088
t	t	0.805
t	-	0.059
t	ʃ	0.057
u	u	0.729
u	o	0.091
u	ˈɔ	0.082
u	ˈu	0.06
v	v	0.772
v	-	0.228
w	j	0.275
w	v	0.259
w	v_u	0.184
w	l	0.161
w	u	0.12
z	-	1.0
ç	f	1.0
ŋ	-	0.519
ŋ	ŋ	0.481
ə	a	0.712
ə	e	0.098
ə	-	0.07
ɡ	b	0.304
ɡ	-	0.283
ɡ	ɡ	0.207
ɡ	ɟ	0.118
ɡ	p	0.088
ɨ	ˈa	0.379
ɨ	ˈɔ	0.253
ɨ	ˈɛ	0.216
ɨ	u	0.151
ɲ	m	0.571
ɲ	ɲ	0.312
ɲ	-	0.116
ʃ	s	0.353
ʃ	ʃ	0.346
ʃ	-	0.222
ʃ	ʒ	0.051
ʎ	-	0.294
ʎ	ˈa	0.294
ʎ	l	0.216
ʎ	ʎ_u	0.179
ʣ	ɟ	0.411
ʣ	d	0.293
ʣ	-	0.134
ʣ	ʤ	0.126
ʤ	ɟ	0.798
ʤ	-	0.103
ʤ	ɡ	0.099
ʦ	ʧ	0.464
ʦ	-	0.26
ʦ	t	0.102
ʦ	k	0.058
ʧ	p	0.557
ʧ	d	0.29
ʧ	ʧ	0.153
ˈa	ˈa	0.707
ˈa	ˈe	0.086
ˈa	-	0.081
ˈa	ˈɛ	0.059
ˈe	ˈɛ	0.719
ˈe	ˈe	0.207
ˈi	ˈɛ	0.344
ˈi	ˈi	0.289
ˈi	-	0.249
ˈi	ˈi_v	0.071
ˈo	ˈɔ	0.461
ˈo	ˈo	0.269
ˈo	e	0.196
ˈo	u	0.075
ˈu	ˈɔ	0.382
ˈu	ˈu	0.368
ˈu	ˈo	0.151
ˈu	ˈi	0.055
ˈə	ˈi	1.0
ˈɨ	ˈa	0.803
ˈɨ	ˈɛ	0.088
ˈɨ	ʎ	0.086
