French	Occitan	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɔ	<#_ˈɔ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʁ	<#_r	1.0
<#_ʃ	<#_k	1.0
<#_ʒ	<#_ʤ	1.0
a_s	a_s	1.0
b	β	1.0
d_ʁ	d_ɾ	1.0
e_#>	ˈa_#>	1.0
f_#>	w_#>	1.0
i_l	ˈi_l	1.0
i_ʁ_#>	ˈi_#>	1.0
j_#>	ʎ_ɔ	1.0
j_e_#>	ˈɛ_#>	1.0
j_ɛ	ˈɛ	1.0
l_#>	l_#>	1.0
l_œ_ʁ	l_ˈu	1.0
m	m	1.0
n	n	1.0
n_#>	#>	1.0
o_#>	ˈɛ_l	1.0
p	s_p	1.0
s_#>	s_#>	1.0
t_ʁ	t_ɾ	1.0
v	β	1.0
w_ɛ̃	ˈy_ɲ	1.0
y	ˈy	1.0
y_#>	ˈi_w	1.0
z	z	1.0
ø_#>	ˈɛ_l	1.0
ɑ̃_#>	n_#>	1.0
ɔ_ʁ	ˈɔ_r	1.0
ɔ̃_#>	ˈu_#>	1.0
ə	e	1.0
ə_v	a_β	1.0
ɛ_#>	ˈa_ʦ	1.0
ɛ_j	ˈɛ_l	1.0
ɲ	ɲ_ɔ	1.0
ʒ	ʤ	1.0
#>	e_#>	0.201
<#	<#_k	0.261
i	i	0.1
l	l	0.931
w	ˈu	0.571
w_a	ˈe_j	0.091
e	ˈa	0.692
œ	ɥ_ˈɔ	0.222
ɑ̃	n	0.2
ɑ̃	ŋ	0.2
ɛ	ˈa_j	0.122
ɛ̃	n	0.222
ɛ̃	ˈe_#>	0.222
ɛ̃	ˈa	0.222
ɛ̃_#>	ˈi_#>	0.2
ɛ̃_#>	n_#>	0.2
#>	k_#>	0.063
<#_a	<#_ˈa	0.333
i_#>	ˈɛ_ʦ	0.333
o	ˈɔ_s	0.333
o	ˈa_w	0.333
œ	ˈu	0.333
ɑ̃	m	0.133
ɔ	ˈɔ	0.133
ɔ	u	0.333
ɔ̃	ˈu_n	0.333
ɔ̃	u	0.333
ɔ̃	ŋ	0.333
ɛ	-	0.073
ɛ_ʁ	e_r	0.333
ɛ̃	ˈi	0.333
ɛ̃_#>	ɲ_#>	0.133
#>	t_#>	0.094
#>	s_#>	0.094
#>	ɔ_#>	0.434
a_#>	j_#>	0.4
e	ˈi	0.154
e	-	0.154
s	s	0.714
ø	ˈu	0.4
œ	ˈɔ	0.444
ɛ	ˈe	0.244
ʁ_#>	e_#>	0.364
ʃ	k	0.714
a	ˈa	0.615
j	j	0.375
j	-	0.625
k	-	0.5
k	s_k	0.5
t	s	0.125
u	ˈu_t	0.105
u_#>	p_#>	0.5
u_#>	ˈu_l	0.5
ɡ	ɣ	0.5
ɡ	ɡ	0.5
ɥ	ˈy	0.375
ɥ	ɥ_ˈɛ	0.625
a_#>	ʦ_#>	0.6
s	-	0.286
u	ˈu	0.526
w_a	e	0.136
w_a	w	0.136
w_a	ˈe	0.636
ø	ˈɔ_k	0.6
ɛ	ˈa	0.366
ʁ_#>	r_#>	0.636
ʃ	ˈa	0.286
<#	<#_ɡ	0.087
<#	<#_ˈy	0.087
<#	<#_a	0.217
<#_a	<#_a	0.667
a	-	0.077
i	ˈe	0.067
i	j_ˈɛ	0.167
i	ˈi	0.667
i_#>	ʧ	0.667
o	ˈa_l	0.167
o	w	0.167
ɑ̃	ˈɛ_n	0.467
ɔ	ˈu	0.267
ɔ	w	0.267
ɛ_ʁ	ˈɛ_r	0.667
ɛ̃_#>	ˈa_#>	0.467
<#	<#_ˈa	0.348
a	a	0.308
t	s_t	0.188
t	t	0.688
u	u	0.368
ɛ	ˈɛ	0.098
ʁ	r	0.138
ʁ	-	0.138
l	lː	0.069
w	ˈe	0.429
ʁ	ɾ	0.69
