Bavarian	Ripuarian	probability
a	ɐ	0.678
a	ə	0.234
a	-	0.079
b̥	b	0.678
b̥	f	0.138
b̥	v	0.102
b̥	-	0.07
d̥	d	0.418
d̥	t	0.357
d̥	k	0.139
d̥	-	0.071
f	f	0.954
f	p	0.035
f	v	0.032
h	h	0.929
h	k	0.071
i	l	0.392
i	ɪ	0.22
i	ə	0.22
j	l	0.835
j	j	0.095
j	-	0.06
k	k	0.784
k	-	0.123
kʰ	k	0.883
kʰ	-	0.116
l	l	0.866
l	-	0.067
l	t	0.067
m	m	0.841
m	n	0.066
m	v	0.051
m	-	0.046
n	n	0.437
n	ə	0.333
n	ŋ	0.169
n	-	0.054
p	p	0.488
p_t	p	1.0
p͡f	p	1.0
r	ʀ	0.849
r	-	0.073
r	ɐ	0.072
s	s	0.668
s	z	0.292
s	t	0.037
t	t	0.6
t	k	0.19
t	d	0.13
t	-	0.053
x	x	0.502
x	ɕ	0.324
x	-	0.13
x_t	x	1.0
ç	ɕ	1.0
ŋ	ŋ	0.544
ŋ	n	0.24
ŋ	ɣ	0.12
ŋ	j	0.086
ɐ	ɐ	0.623
ɐ	-	0.145
ɐ	ʀ	0.108
ɐ	ˈeː	0.078
ə	-	0.768
ə	m	0.101
ə	ə	0.101
ɡ̊	j	0.357
ɡ̊	k	0.23
ɡ̊	ɕ	0.147
ɡ̊	x	0.103
ɡ̊	ɣ	0.089
ʃ	ʃ	1.0
ʃ_ʋ	z	1.0
ʋ	ʋ	0.96
ʋ	v	0.046
ʦ	ʦ	1.0
ˈa	ˈa	0.75
ˈa	ˈɛː	0.106
ˈa	ˈaʊ̯	0.106
ˈai̯	ˈiː	0.255
ˈai̯	ˈyː	0.137
ˈai̯	ˈɛ	0.137
ˈai̯	ˈœ	0.079
ˈai̯	ˈeɪ̯	0.076
ˈau̯	ˈuː	0.492
ˈau̯	ˈaʊ̯	0.23
ˈau̯	ˈɔ	0.132
ˈau̯	ˈoː	0.132
ˈaː	ˈaʊ̯	0.295
ˈaː	ˈoː	0.295
ˈaː	ˈɔ	0.194
ˈaː	ˈaː	0.194
ˈe	ˈɛ	0.4
ˈe	ˈyː	0.17
ˈe	ˈeː	0.17
ˈe	ˈɛː	0.109
ˈe	ˈe	0.109
ˈe_ɐ	ˈɛː	0.488
ˈeɐ̯	ˈɪ	0.173
ˈeɐ̯	ˈiː	0.173
ˈeɐ̯	ˈoː	0.173
ˈeɐ̯	ˈeɪ̯	0.173
ˈeɐ̯	ˈøː	0.067
ˈeː	ˈɛ	0.325
ˈeː	ˈeː	0.214
ˈeː	ˈyː	0.163
ˈeː	ˈɛː	0.163
ˈeː	ˈiː	0.109
ˈi	ˈe	0.326
ˈi	ˈiː	0.147
ˈi	ˈɛ	0.107
ˈi	ˈɪ	0.093
ˈi	ˈɪ_ɕ	0.092
ˈiɐ̯	ˈeː	0.631
ˈiɐ̯	ˈøː	0.354
ˈiː	ˈeː	0.699
ˈiː	ˈe	0.077
ˈiː	ˈɪ	0.071
ˈo	ˈa	0.462
ˈo	ˈɔ	0.295
ˈo	ˈaː	0.148
ˈo	ˈo	0.072
ˈou̯	ˈuː	1.0
ˈoɐ̯	ˈeː_n	0.22
ˈoɐ̯	ɐ	0.203
ˈoɐ̯	ˈeː	0.203
ˈoɐ̯	ˈuː	0.138
ˈoɐ̯	ˈa	0.08
ˈoː	ˈaː	0.523
ˈoː	ˈu	0.159
ˈoː	ˈoː	0.159
ˈoː	ˈa	0.072
ˈoː	ˈɔ	0.055
ˈu	ˈo	0.331
ˈu	ˈœ	0.171
ˈu	ˈøː	0.113
ˈu	ˈeː	0.083
ˈu	ˈʊ	0.081
ˈuɐ̯	ˈoː	1.0
ˈy	ˈʏ	1.0
ˈɑː	ˈiː	0.488
ˈɒ	ˈaː	0.517
ˈɒ	ˈa	0.341
ˈɒ	ˈɛ	0.071
ˈɒː	ˈa	0.517
ˈɒː	ˈoː	0.45
ˈɔ	ˈɔ	0.341
ˈɔ	ˈaː	0.22
ˈɔ	ˈoː	0.153
ˈɔ	ˈaʊ̯	0.126
ˈɔ	ˈa	0.093
ˈɛ	ˈɛː	0.327
ˈɛ	ˈɛ	0.309
ˈɛ	ˈœ	0.121
ˈɛ	ˈu	0.121
ˈɛ	ˈɪ	0.085
ˈɛː	ˈiː	0.361
ˈɛː	ˈoː	0.274
ˈʏ	ˈʏ	1.0
