Bavarian	Ripuarian	probability
h	h	1.0
k	k	1.0
kʰ	k	1.0
p	p	1.0
p͡f	p	1.0
ç	ɕ	1.0
ʃ	ʃ	1.0
ʦ	ʦ	1.0
ˈou̯	ˈuː	1.0
ˈoː	ˈaː	1.0
ˈuɐ̯	ˈoː	1.0
ˈɒ	ˈaː	1.0
ˈʏ	ˈœ	1.0
r	-	0.091
ˈai̯	ˈyː	0.201
ˈau̯	ˈuː	0.651
ˈiː	ˈɪ	0.881
ˈoɐ̯	ˈeː	0.111
ˈoɐ̯	ˈeː_n	0.211
m	m	0.882
ŋ	n	0.072
ŋ	ŋ	0.612
ɡ̊	k	0.112
ɡ̊	ɕ	0.172
ˈaː	ˈoː	0.372
ˈaː	ˈɔ	0.442
ˈɒː	ˈa	0.662
ˈɔ	ˈaː	0.162
l	l	0.993
t	d̥	0.413
ɡ̊	x	0.063
ɡ̊	j	0.593
ʋ	ʋ	0.903
ˈa	ˈa	0.723
ˈai̯	ˈʏ	0.163
ˈai̯	ˈiː	0.33
ˈeː	ˈɛ	0.573
ˈi	ˈe	0.503
ˈo	ˈɔ	0.193
ˈo	ˈaː	0.213
ˈoɐ̯	ˈeɪ̯	0.243
d̥	d	0.594
f	f	0.854
j	l	0.974
t	d	0.134
ɐ	ɐ	0.694
ˈa	n_#>	0.14
ˈai̯	ˈɛ	0.124
ˈai̯	ˈeɪ̯	0.144
ˈe	ˈɛ	0.744
ˈiɐ̯	ˈeː	0.624
ˈu	ˈeː	0.104
ˈɔ	ˈɔ	0.374
ˈɛ	ˈɛː	0.624
a	ɐ	0.635
n	ə	0.335
s	z	0.355
s	s	0.645
t	t	0.405
x	ɕ	0.455
x	x	0.545
ŋ	-	0.315
ˈo	ˈa	0.505
ˈɔ	ˈoː	0.465
f	p	0.056
ɐ	-	0.306
ˈaː	ˈaʊ̯	0.186
ˈe	ˈɛː	0.256
ˈiɐ̯	ˈøː	0.376
ˈoɐ̯	ˈuː	0.216
ˈɛ	ˈɛ	0.376
a	-	0.167
b̥	v̥	0.117
b̥	v	0.137
d̥	d̥	0.307
ʋ	-	0.097
ˈu	ˈœ	0.187
ˈu	ˈo	0.527
a	ə	0.198
m	-	0.118
ˈeː	ˈiː	0.108
ˈi	ˈɛ	0.088
ˈɒː	ˈoː	0.338
b̥	b	0.719
d̥	ɡ̊	0.099
f	ə_f	0.09
n	ŋ	0.179
n	n	0.459
r	ʀ	0.909
ˈa	ŋ_#>	0.109
ˈau̯	ˈaʊ̯	0.349
ˈeː	ˈyː	0.319
ˈi	ˈiː	0.169
ˈi	ˈɪ	0.239
ˈiː	ˈeː	0.119
ˈo	ˈo	0.09
ˈoɐ̯	ɐ	0.219
ˈu	ˈɔ	0.139
