Ripuarian	Ripuarian	probability
ˈʏ	ˈiu̯	1.0
ˈʊ	-	1.0
ˈɔː	ˈɔ	1.0
ˈɔʊ̯	ˈɔː	1.0
ˈœ	ˈi	1.0
ˈøʏ̯	ˈiu̯_j	1.0
ˈyː	ˈɔː	1.0
ˈo_ŋ	h	1.0
ˈaː	ˈa	1.0
ʦ	t	1.0
ʀ	r	1.0
ɫ_d̥	l_d	1.0
ɪ	-	1.0
ɣ̊	-	1.0
z̥	s	1.0
v	β	1.0
t	t	1.0
p	p	1.0
m	m	1.0
l	l	1.0
k	k	1.0
h	h	1.0
d̥_#>	t_#>	1.0
b	b	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_z	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_ɡ	1.0
<#_d	<#_θ	1.0
<#	<#_h	1.0
ˈa	ˈa	0.895
ʋ	w	0.895
ˈe	ˈi	0.857
ɫ	l	0.824
s	t	0.818
f	f	0.81
ˈɪ	ˈi	0.778
ˈo	ˈu	0.75
ˈɔ	ˈu	0.714
ˈiː	ˈiː	0.714
n	n	0.692
ˈɛː	ˈɛ	0.6
ɐ_#>	r_#>	0.6
v̥	f_s	0.6
#>	s_#>	0.597
d	d	0.571
ʃ	s	0.533
ə	a	0.533
ˈuː	ˈɔː	0.5
ˈeɪ̯	ˈɛː	0.5
ˈeɪ̯	ˈiː_s	0.5
x	h_t	0.5
x	h	0.5
j	ɣ	0.5
j	j	0.5
ʃ	s_k	0.467
ˈoː	ˈoː	0.429
ˈeː	-	0.429
ɡ̊	ɡ_s	0.429
ŋ	ŋ	0.412
ŋ	n	0.412
ˈɛː	ˈi	0.4
ɐ_#>	#>	0.4
v̥	b	0.4
d̥	θ	0.4
ˈɛ	ˈa	0.385
ɕ	k	0.385
ˈoː	-	0.357
ˈeː	ˈiu̯	0.357
ɐ	r	0.353
d̥	θ_s	0.333
ˈɛ	ˈɛ	0.308
ˈɛ	ˈi	0.308
#>	n_#>	0.299
ɐ	a_r	0.294
ˈɔ	-	0.286
ˈiː	ˈɛː_w	0.286
ɡ̊	u_s	0.286
ɡ̊	d_s	0.286
ˈuː	ˈɔ	0.25
ˈuː	ˈuː	0.25
ˈo	-	0.25
ˈɪ	-	0.222
ˈoː	ˈeː	0.214
ˈeː	ˈɛː	0.214
f	p	0.19
s	s	0.182
ɫ	lː	0.176
ŋ	n_d	0.176
ə	j_a	0.167
ɕ	ɡ_s	0.154
ɕ	x_s	0.154
ɕ	s	0.154
ɕ	k_s	0.154
ˈe	-	0.143
d	θ_ˈuː	0.143
d	θ	0.143
d	ð	0.143
ə	-	0.133
d̥	θ_iː	0.133
d̥	d	0.133
ɐ	r_u	0.118
ɐ	oː	0.118
ɐ	a	0.118
n	r_n	0.115
n	nː	0.115
ˈa	n	0.105
ʋ	ʍ	0.105
#>	a_#>	0.104
ə	n	0.1
n	-	0.077
ə	i	0.067
