Eastern Lombard	Sicilian	probability
w	w	1.0
ʋ	v	1.0
ʤ	-	1.0
d	-	0.411
k	k_ʊ	0.151
l	ɖː	0.121
l	l	0.531
ʧ	tː_ɪ	0.141
ˈa	ʊ_#>	0.1
ˈe	ˈɛ_n	0.121
ˈi	ɪ	0.201
ˈɔ	ˈɔ	0.771
e	ʊ	0.112
k	k	0.752
l	l_ʊ	0.062
o	o	0.192
t	t	0.592
z	ɕ	0.122
ˈe	v_ˈi	0.052
ˈo	ˈɔ	0.192
ˈø	ˈɔ	0.662
b	b	0.693
f	f	0.913
i	i	0.863
p	p	0.993
r	ɾ_ʊ	0.183
ˈu	ˈu	0.723
ˈɔ	ˈu	0.123
a	a	0.984
j	ˈi_ɟː	0.084
j	-	0.514
m	m	0.944
o	u	0.334
r	ɾ	0.494
s	ʃ	0.104
s	ɕ_ɪ	0.14
ŋ	ŋ	0.894
ɡ	-	0.154
ɡ	ɡ	0.54
ˈa	ˈa	0.554
ˈi	ˈi	0.714
ˈy	ˈu	0.944
d	ʈ_ɽ	0.155
e	ɪ	0.545
s	ʃː	0.075
ɲ	ɲː_ʊ	0.295
ɲ	ɲː	0.705
ˈe	ˈi	0.5
j	ɟː	0.286
l	ɖː_ʊ	0.196
s	ɕ	0.156
t	t_ʊ	0.076
t	t_ɪ	0.116
z	ʤ	0.206
ŋ	nː	0.106
ɡ	k	0.306
ˈa	ˈa_r	0.076
ˈa	ɪ_#>	0.146
ˈy	ˈu_n	0.056
ˈɔ	ˈa_w	0.106
d	t	0.127
e	i	0.267
i	v_i	0.137
j	j	0.117
k	kː	0.097
o	ʊ	0.127
o	a	0.347
t	-	0.087
z	j	0.637
ˈa	ˈa_n	0.057
ˈe	ˈɛ	0.327
ˈɛ	ˈi	0.37
b	v	0.138
d	d	0.308
f	v_ɪ	0.058
t	tː_ʊ	0.098
ˈi	ˈi_n	0.078
ˈu	ˈɔ	0.218
ˈø	ˈu	0.338
ˈɛ	ˈɛ	0.58
b	-	0.169
n	n	0.939
r	ɾ_ɪ	0.089
r	r	0.139
s	s	0.39
ʧ	cː_ʊ	0.859
ˈo	ˈa	0.089
ˈo	ˈu	0.689
