Bokmål Norwegian	Dutch	probability
b	b	0.964
d	d	0.723
d	t	0.226
e	ˈɑu̯	1.0
f	v	0.98
h	ɦ	0.968
i	ə	1.0
j	χ	0.419
j	-	0.272
j	ɦ	0.171
j	ˈeː	0.118
k	k	0.784
k	-	0.115
k	χ	0.101
kʰ	k	0.887
kʰ	v	0.057
kʰ	-	0.056
kː	ŋ_k	0.763
kː	k	0.237
l	ɫ	0.996
lː	ɫ	0.702
lː	ˈɑu̯	0.13
lː	k	0.085
lː	ɾ	0.083
m	m	0.935
m	f	0.065
mː	m	1.0
n	n	0.942
nː	n	0.934
nː	-	0.066
p	p	1.0
pʰ	p	1.0
pː	p	1.0
s	s	0.488
s	z	0.473
sː	s	1.0
t	t	1.0
tʰ	d	0.658
tʰ	t	0.273
tʰ	b	0.069
tː	χ_t	0.541
tː	t	0.459
ŋ	n	0.404
ŋ	ŋ	0.404
ŋ	ɪ	0.191
ŋː	ŋ	1.0
ɕ	k	0.969
ə	ə	0.892
ə	-	0.098
ɡ	χ	0.939
ɡ	-	0.061
ɡː	χ	0.896
ɡː	-	0.104
ɪ	ə	0.5
ɪ	ɪ	0.5
ɳ	ɾ	1.0
ɾ	ɾ	0.909
ɾ	-	0.091
ʂ	z	0.734
ʂ	m	0.266
ʃ	s	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	ʋ	0.611
ʋ	v	0.172
ʋ	f	0.167
ʋ	-	0.051
ˈeː	ˈi	0.351
ˈeː	ˈeː	0.346
ˈeː	ˈoː	0.091
ˈeː	ˈøː	0.072
ˈeː	j	0.07
ˈiː	ˈɛi̯	0.507
ˈiː	ˈeː	0.225
ˈiː	ˈɪ	0.145
ˈiː	ˈi	0.123
ˈoː	ˈaː	0.827
ˈoː	ˈeː	0.074
ˈoː	ˈoː	0.058
ˈuː	ˈu	0.433
ˈuː	ˈoː	0.34
ˈuː	ˈaː	0.148
ˈyː	ˈi	0.635
ˈyː	ˈyː	0.273
ˈyː	ˈɪ	0.093
ˈæ	ˈɛ	0.785
ˈæ	ˈɪ	0.215
ˈæɪ̯	ˈeː	0.477
ˈæɪ̯	ˈɛi̯	0.435
ˈæɪ̯	ˈɛ	0.073
ˈæː	ˈeː	0.548
ˈæː	ˈi	0.313
ˈæː	ˈɛ	0.139
ˈøː	ˈoː	0.601
ˈøː	ˈu	0.134
ˈøː	ˈeː	0.082
ˈøː	-	0.063
ˈøː	ˈɛ	0.063
ˈøː	w	0.057
ˈœ	ˈoː	0.604
ˈœ	ˈu	0.151
ˈœ	ˈɛ	0.127
ˈœ	ˈɔ	0.076
ˈœʏ̯	ˈoː	1.0
ˈɑ	ˈɑ	0.829
ˈɑ	ˈaː	0.053
ˈɑː	ˈaː	0.706
ˈɑː	ˈɑ	0.252
ˈɔ	ˈoː	0.513
ˈɔ	ˈɔ	0.253
ˈɔ	ˈɑ	0.134
ˈɔ	ˈɪ	0.061
ˈɛ	ˈɛ	0.411
ˈɛ	ˈɑ	0.276
ˈɛ	ˈɛi̯	0.115
ˈɛ	-	0.112
ˈɛ	ˈi	0.061
ˈɛː	ˈaː	1.0
ˈɪ	ˈɪ	0.79
ˈɪ	ˈɛ	0.107
ˈɪ	-	0.084
ˈʉ	ˈɔ	0.527
ˈʉ	ʋ_ˈɔ	0.177
ˈʉ	ˈʏ	0.132
ˈʉ	ˈœy̯	0.131
ˈʉː	ˈœy̯	0.433
ˈʉː	ˈi	0.159
ˈʉː	ˈeː	0.125
ˈʉː	ˈu	0.095
ˈʉː	ˈyː	0.086
ˈʉː	ˈɔ	0.058
ˈʊ	ˈoː	0.795
ˈʊ	ˈɔ	0.205
ˈʏ	ˈʏ	0.575
ˈʏ	ˈœy̯	0.186
ˈʏ	-	0.123
ˈʏ	ˈɪ	0.117
