Bokmål Norwegian	Dutch	probability
b	b	0.963
b	-	0.051
d	d	0.658
d	t	0.316
d	p	0.041
e	ˈɑu̯	0.519
f	v	1.0
h	ɦ	0.977
h	k	0.047
i	ə	1.0
j	χ	0.374
j	ˈeː	0.215
j	-	0.198
j	ɦ	0.105
j	k	0.085
k	k	0.772
k	χ	0.213
k_s	s	1.0
kʰ	k	0.782
kʰ	v	0.177
kː	ŋ_k	0.644
kː	k	0.254
l	ɫ	0.842
l	l	0.136
lː	ɫ	0.564
lː	ˈɑu̯	0.186
lː	-	0.099
lː	k	0.099
m	m	0.946
m	f	0.054
mː	m	1.0
n	n	0.86
n	ɾ	0.062
n	-	0.045
n	m	0.044
nː	n_t	0.412
nː	n	0.364
nː	n_d	0.104
nː	-	0.06
nː	ɫ	0.06
p	p	1.0
pʰ	p	1.0
s	z	0.488
s	s	0.482
s	χ	0.038
s_k	s	1.0
sː	s	1.0
t	t	1.0
tʰ	d	0.696
tʰ	t	0.301
tː	χ_t	0.712
tː	t	0.273
ç	k	0.644
ç	d	0.254
ŋ	ɪ	0.488
ŋ	n	0.151
ŋ	ŋ	0.151
ŋː	ŋ	1.0
ə	ə	0.52
ə	-	0.457
ɡ	χ	0.897
ɡ	-	0.103
ɡː	χ	0.776
ɡː	-	0.181
ɪ	ə	0.204
ɪ	ɪ	0.204
ɳ	ɾ	0.57
ɳ	ɾ_n	0.422
ɾ	ɾ	0.94
ɾ	-	0.058
ʂ	z	0.343
ʂ	m	0.178
ʃ	s	0.27
ʈ	t	1.0
ʈː	t	1.0
ʋ	ʋ	0.558
ʋ	v	0.161
ʋ	f	0.132
ʋ	-	0.106
ʋ	ɾ	0.044
ˈeː	ˈeː	0.578
ˈeː	ˈi	0.311
ˈeː	ˈøː	0.08
ˈiː	ˈɛi̯	0.574
ˈiː	ˈɪ	0.168
ˈiː	ˈi	0.155
ˈiː	ˈeː	0.084
ˈoː	ˈaː	0.749
ˈoː	ˈoː	0.15
ˈoː	ˈɑ	0.09
ˈuː	ˈu	0.44
ˈuː	ˈoː	0.336
ˈuː	ˈu_d	0.131
ˈuː	-	0.06
ˈuː	ˈaː	0.046
ˈyː	ˈi	0.665
ˈyː	ˈyː	0.225
ˈyː	ˈɪ	0.099
ˈæ	ˈɛ	0.343
ˈæ	ˈɪ	0.343
ˈæɪ̯	ˈɛi̯	0.446
ˈæɪ̯	ˈeː	0.265
ˈæɪ̯	ˈaː	0.125
ˈæɪ̯	ˈɛ	0.125
ˈæː	ˈɛ	0.316
ˈæː	ˈi	0.143
ˈæː	ˈeː	0.092
ˈæː	-	0.085
ˈøː	ˈoː	0.47
ˈøː	ˈoː_t	0.156
ˈøː	ˈeː	0.099
ˈøː	w	0.076
ˈøː	ˈɛ	0.076
ˈœ	ˈoː	0.301
ˈœ	ˈɔ	0.165
ˈœ	ˈɛ	0.165
ˈœ	ˈu	0.116
ˈœ	-	0.109
ˈœʏ̯	ˈoː	1.0
ˈɑ	ˈɑ	0.804
ˈɑ	ˈɑu̯	0.066
ˈɑ	ˈaː	0.053
ˈɑ	ˈɔ	0.052
ˈɑ	ˈɛ	0.048
ˈɑː	ˈaː	0.498
ˈɑː	ˈɑ	0.498
ˈɔ	ˈɔ	0.425
ˈɔ	ˈoː	0.322
ˈɔ	ˈɑ	0.192
ˈɛ	ˈɛ	0.381
ˈɛ	ˈɑ	0.265
ˈɛ	ˈɛi̯	0.178
ˈɛ	-	0.064
ˈɛ	ˈɪ	0.064
ˈɛː	ˈaː	1.0
ˈɪ	ˈɪ	0.793
ˈɪ	ˈɛ	0.085
ˈɪ	ˈɑu̯	0.083
ˈɪ	-	0.054
ˈʉ	ˈɔ	0.533
ˈʉ	-	0.132
ˈʉ	ˈœy̯	0.106
ˈʉ	ˈɪ	0.104
ˈʉ	ˈʏ	0.094
ˈʉː	ˈœy̯	0.573
ˈʉː	ˈu	0.114
ˈʉː	ˈɔ	0.092
ˈʉː	ˈeː	0.076
ˈʉː	ˈoː	0.074
ˈʊ	ˈoː	0.306
ˈʊ	ˈɔ	0.266
ˈʊ	j	0.202
ˈʊ	ˈœy̯	0.202
ˈʏ	ˈʏ	0.496
ˈʏ	ˈœy̯	0.223
ˈʏ	ˈɪ	0.133
ˈʏ	-	0.095
