Westphalian	Westphalian	probability
ˈɛː	j_ˈœ	1.0
ˈɔ	ˈa	1.0
ˈɒː	ˈɛː_r	1.0
ˈyːœ̯	ˈi	1.0
ˈyː_k	i	1.0
ˈyː	-	1.0
ˈyə̯	ˈʏ	1.0
ˈuː_s	sː	1.0
ɪ	ɑu̯	1.0
ŋ_k	ʰk	1.0
ç_#>	#>	1.0
z̥_#>	s_#>	1.0
z	s	1.0
x_t	ʰt	1.0
v	v	1.0
t_ɐ	ʰt͡n̥	1.0
s	s	1.0
r	r	1.0
n_n	nː_a	1.0
n_#>	#>	1.0
k_ə	k	1.0
j	-	1.0
f	f	1.0
d_n	ð_a	1.0
aɪ̯	aːu̯	1.0
<#_x	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
b	b̥	0.913
#>	r̥_#>	0.849
ˈiː	ˈiː	0.846
d̥	ð	0.789
ˈoː	ˈoːu̯	0.778
p	p	0.778
h	h	0.778
m	m	0.773
ˈuː	ˈuː	0.75
<#_r	<#_r	0.714
<#_k	<#_kʰ	0.714
ˈaʊ̯	ˈœːy̯	0.7
ʃ	s	0.696
ˈʏ	ˈɪ	0.667
ˈøː	ˈaːi̯	0.667
ˈuːə̯	ˈɔ	0.667
t	t	0.645
ˈɪə̯	-	0.6
ˈiɛ̯	-	0.6
ˈaː	ˈaː	0.6
ŋ	ŋ_ɡ̊	0.6
ç	r̥	0.6
d̥_#>	#>	0.571
l	l	0.556
ə	a	0.529
k	k	0.529
ˈʊ	ˈʏ	0.5
ˈɪɛ̯	-	0.5
ˈuə̯	ˈɔː	0.5
ˈuə̯	-	0.5
ʋ	v	0.5
<#	<#_kʰ	0.5
<#	<#_j	0.5
d	θ	0.467
ɡ	-	0.429
x	ɟ̊	0.429
d̥_#>	d̥_#>	0.429
ˈɛ	ˈɛ	0.417
ˈɛ	-	0.417
ˈɔː	ˈɑːu̯	0.417
ˈɔː	-	0.417
ˈɪə̯	ˈɛː	0.4
ˈiɛ̯	ˈɛː	0.4
ˈeː	ˈɛːi̯	0.4
ˈaː	ˈa	0.4
ç	-	0.4
d	d̥	0.4
ˈɪ	ˈɪ	0.348
ˈa	ˈa	0.346
n	a	0.339
ˈʏ	-	0.333
ˈøː	-	0.333
ˈuːə̯	-	0.333
ʋ	v_ʏ	0.333
ˈaɪ̯	j_ˈuː	0.308
ˈaɪ̯	j_ˈoːu̯	0.308
ˈɪɛ̯	ˈɛ	0.3
ˈeː	ˈɛi̯	0.3
ˈeː	-	0.3
ˈaʊ̯	-	0.3
ˈʊ	ˈu	0.286
ɡ	ɡ̊	0.286
ɡ	ɟ̊ː	0.286
x	ɡ̊	0.286
x	r̥	0.286
<#_r	<#_r̥	0.286
<#_k	<#	0.286
ɐ	ɪ_r̥	0.273
ɐ	r̥	0.273
n	n	0.271
ˈuː	ˈʏ	0.25
l	t͡l̥	0.25
ə	ʏ	0.235
ə	-	0.235
ˈoː	-	0.222
p	ʰp	0.222
h	ç	0.222
ˈʊ	ˈuː	0.214
d̥	d̥_ʏ	0.211
ˈɪɛ̯	ˈɛː	0.2
ŋ	ŋ	0.2
ŋ	-	0.2
t	t_ʏ	0.194
l	l̥	0.194
ˈa	ˈɑu̯	0.192
k	ʰk	0.176
k	c	0.176
ˈɪ	ˈɛ	0.174
ˈɪ	ˈi	0.174
ʃ	s_c	0.174
ˈɛ	j	0.167
ˈɔː	ˈɔː	0.167
ʋ	ˈou̯	0.167
ˈiː	-	0.154
ˈaɪ̯	ˈiː	0.154
ˈaɪ̯	j	0.154
ˈa	ˈaː	0.154
ɐ	ʏ	0.152
#>	a_#>	0.151
m	r_m	0.136
d	ð	0.133
ˈɪ	-	0.13
ʃ	s_k	0.13
ɐ	r	0.121
ˈa	ˈœ	0.115
ˈa	-	0.115
n	t͡n̥	0.102
t	ʰt	0.097
m	-	0.091
ˈɪ	ˈɪː	0.087
ˈɪ	ˈɛː	0.087
b	-	0.087
ˈaɪ̯	ˈeːi̯	0.077
ˈa	ˈɛ	0.077
t	-	0.065
ɐ	ɡ̊_ʏ	0.061
ɐ	r_a	0.061
ɐ	a	0.061
k	ʰc	0.059
k	x	0.059
n	n̥	0.051
n	nː	0.051
n	n_d̥	0.051
n	j_a	0.051
n	-	0.051
