Pennsylvania German	Pennsylvania German	probability
ˈɛː_ɑ	ˈɑː	1.0
ˈɛː	-	1.0
ˈɔː_ɣ	ˈeɪ̯	1.0
ˈɔː_d̥	ˈɑː_θ	1.0
ˈɔɪ̯	ˈe_ɡ	1.0
ˈuː_#>	ˈaʊ̯_#>	1.0
ˈaɪ̯_#>	ˈiː_#>	1.0
ˈa_x	ˈaɪ̯	1.0
ˈa_l	ˈɑː	1.0
ʦ_#>	t_#>	1.0
ɾ_ˈʊ	ɹ	1.0
ɾ_ˈaɪ̯	ɜː	1.0
ɾ_ə	m	1.0
ɪ_ç	ɪ	1.0
ɣ_l	ɫ	1.0
ɡ̊	-	1.0
ɑ_#>	#>	1.0
ŋ	ŋ	1.0
t	t	1.0
s_ˈeː	s_ˈiː	1.0
p	p	1.0
m_ˈoː	m	1.0
m_#>	#>	1.0
m	m	1.0
k_#>	ʤ_#>	1.0
h	h	1.0
f_ˈɔ	f	1.0
eː	ˈiː_n	1.0
d̥_#>	θ_#>	1.0
d̥	d	1.0
b̥_#>	f_#>	1.0
b	b	1.0
<#_ˈʊ	<#_ˈɐ	1.0
<#_ˈɛ	<#	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
ə_#>	#>	0.932
ɾ	ɹ	0.852
ʋ	w	0.806
ʦ	tʰ	0.8
ˈʊ	ˈɐ	0.786
ɡ	ɡ	0.75
ˈaɪ̯	ˈaɪ̯	0.737
n	n	0.692
ɑ	ə	0.679
ˈaʊ̯	ˈaʊ̯	0.667
f	f	0.647
ˈɪ	ˈɪ	0.625
l	l	0.617
ʃ	s	0.613
ˈiː	ˈiː	0.6
ə	-	0.6
x	k	0.571
ç	-	0.556
s	s	0.556
ˈeː	ˈəʊ̯	0.545
ˈɛ	ˈe	0.5
j	j	0.5
j	-	0.5
d	d	0.462
ˈaː	ˈɔː	0.444
ç	k	0.444
s	t	0.444
k	kʰ	0.444
ˈɔ	ˈʊ	0.429
x	-	0.429
ˈoː	ˈiː	0.417
ə	ə_n	0.4
k	k	0.389
ʃ	ʃ	0.387
l	ɫ	0.383
ˈɔː	ˈiː	0.357
ˈɔː	-	0.357
ˈuː	ˈʊ	0.333
ˈoː	ˈe	0.333
ˈaː	ˈɑː	0.333
ˈaʊ̯	-	0.333
d	θ	0.333
ˈa	ˈæ	0.321
ˈɔː	ˈeɪ̯	0.286
ˈɔ	ˈɒ	0.286
ˈɔ	-	0.286
ˈiː	-	0.267
f	p	0.265
ˈɛ	ˈɪ	0.25
ˈoː	-	0.25
ˈeː	ˈe	0.227
ˈuː	ˈuː	0.222
ˈuː	ˈiː	0.222
ˈuː	-	0.222
ˈaː	ˈɜː	0.222
ˈɪ	ˈaɪ̯	0.219
ˈʊ	-	0.214
ʦ	t	0.2
ʋ	v	0.194
ˈa	ˈeɪ̯	0.179
n	-	0.179
k	ʧ	0.167
ˈaɪ̯	-	0.158
d	ð	0.154
ɾ	-	0.148
ˈa	ˈɔː	0.143
ˈeː	ˈiː	0.136
ˈiː	ˈɪ	0.133
ˈɛ	ˈæ	0.125
ˈɛ	-	0.125
ɡ	j	0.125
ɡ	-	0.125
ˈa	ˈɒ	0.107
ˈa	-	0.107
ɑ	d_ə	0.107
ˈaɪ̯	ˈɪ	0.105
ˈɪ	-	0.094
ˈeː	-	0.091
f	v	0.088
n	n_d	0.077
ˈa	ˈəʊ̯	0.071
ˈa	ˈɑː	0.071
ɑ	ɡ_ə	0.071
ɑ	t_ə	0.071
ɑ	-	0.071
ə_#>	ˈaɪ̯_#>	0.068
ˈɪ	ˈe	0.062
n	ˈe_n	0.051
d	-	0.051
