Mainland North Frisian	Mainland North Frisian	probability
ˈʏ_#>	ˈoː_#>	1.0
ˈɔu̯	ˈɔ	1.0
ˈɔ	ˈɔː	1.0
ˈœi̯	-	1.0
ˈu	-	1.0
ˈi_#>	ˈeɪ̯_#>	1.0
ˈaː	-	1.0
ʃ	ʃ	1.0
ʀ_ˈʏ	ʀ_ˈœ	1.0
ʀ_ˈɔu̯	ʀ	1.0
ʀ_t	ʦ	1.0
ʀ_n	n	1.0
ʀ_d̥	d̥	1.0
ʀ_#>	ˈeː_#>	1.0
ɡ	j	1.0
ɛi̯	e	1.0
ə_ʀ	ɐ	1.0
ə_n	ə	1.0
ə_l	ɫ	1.0
ŋ	ŋ	1.0
z̥	d̥	1.0
w	j	1.0
t_ə	t	1.0
s_#>	z̥_#>	1.0
n_#>	f_#>	1.0
m_ˈɔː	m	1.0
m	m	1.0
lʲ	ɫ	1.0
l_ə	ɫ	1.0
l_v	l	1.0
k_#>	ɕ_#>	1.0
j_ˈa	ˈɛː	1.0
h	h	1.0
b	b	1.0
<#_ʀ	<#_ʀ	1.0
<#_n	<#_n	1.0
f	f	0.9
d	d	0.87
ə	ə	0.816
tʲ	s	0.75
nʲ	n	0.75
k	k	0.727
v̥	v̥	0.714
dʲ	d̥	0.714
v	ʋ	0.692
ˈɔː	-	0.667
ˈyː	ˈuː	0.667
ˈai̯	-	0.667
z	-	0.667
n	n	0.655
ˈɛi̯	-	0.625
l	l	0.615
ˈʏ	ˈuː	0.6
x_t	ɕ	0.571
#>	d̥_#>	0.571
ˈiː	ˈeː	0.565
ˈeː	ˈɛ	0.545
ç	ɕ	0.5
ç	-	0.5
s	z	0.5
p	p	0.5
p	f	0.5
i	ɪ	0.5
i	ə_ɕ	0.5
d̥	d̥	0.5
ˈɒ	ˈa	0.444
ʀ	ʀ	0.438
ˈɛ	ˈøː	0.429
ˈœː	ˈyː	0.429
x_t	x	0.429
s	ʃ	0.417
ˈa	-	0.412
ʀ	ɐ	0.406
l	ɫ	0.385
ˈɛː	ˈɛ	0.375
ˈɛː	-	0.375
ˈɛi̯	ˈøː	0.375
ˈɒː	ˈaː	0.375
ˈɒː	ˈa	0.375
ˈʊ	ˈo	0.368
ˈuː	ˈɔʊ̯	0.364
t	ʦ	0.343
ˈɔː	ˈaː	0.333
ˈɒ	ˈaː	0.333
ˈœ	ˈoː	0.333
ˈœ	-	0.333
ˈyː	-	0.333
ˈai̯	ˈøʏ̯	0.333
z	s	0.333
j	j	0.3
j	-	0.3
ˈa	ˈe	0.294
ˈɛ	ˈoː	0.286
ˈɛ	-	0.286
ˈœː	ˈɔʊ̯	0.286
ˈœː	-	0.286
v̥	-	0.286
dʲ	d	0.286
#>	ɕ_#>	0.286
ˈi	ˈiː	0.278
ˈuː	ˈa	0.273
ˈeː	-	0.273
ˈʊ	-	0.263
t	d	0.257
ˈɛː	ˈɛː	0.25
ˈɒː	-	0.25
tʲ	d	0.25
nʲ	ɡ̊	0.25
d̥	ɡ̊	0.25
d̥	-	0.25
n	ŋ	0.241
ˈɒ	ˈeː	0.222
ˈi	ˈɪ	0.222
ˈi	ˈe	0.222
ˈʏ	ˈo	0.2
ˈʏ	-	0.2
ˈœ	ˈa	0.2
j	ɣ	0.2
j	l	0.2
ə	-	0.184
ˈuː	ˈoː	0.182
ˈuː	-	0.182
ˈeː	ˈœ	0.182
k	x	0.182
ˈa	ˈɪ	0.176
ˈiː	ˈiː	0.174
ˈiː	ˈeɪ̯	0.174
t	t	0.171
ˈi	ˈɛ	0.167
ˈʊ	ˈa	0.158
v	v	0.154
t	s	0.143
#>	ə_#>	0.143
ˈœ	ˈa_ŋ	0.133
d	s	0.13
ˈa	ˈɛ	0.118
ˈi	-	0.111
ˈʊ	ˈɔ	0.105
ˈʊ	ˈe	0.105
n	ŋ_ɡ̊	0.103
f	f_ˈɔ	0.1
ʀ	ˈɛ_ɐ	0.094
k	ɕ	0.091
ˈiː	-	0.087
t	-	0.086
s	s	0.083
v	ʋ_ˈe	0.077
v	ʋ_ˈa	0.077
ʀ	-	0.062
