American English	East Low German	probability
b	b	0.953
d	d	0.517
d	t	0.328
d	-	0.136
f	f	0.957
h	h	0.967
i	ɪ	0.765
i	ae̯	0.123
i	-	0.112
j	j	0.834
j	ˈoː	0.121
k	k	0.954
kʰ	kʰ	0.913
kʰ	-	0.087
l	l	1.0
m	m	0.954
n	n	0.935
oʊ̯	-	0.635
oʊ̯	n	0.365
p	p	0.843
p	b	0.157
s	z	0.459
s	s	0.36
s	ʃ	0.181
t	t	1.0
tʰ	tʰ	0.953
tː	t	1.0
v	m	0.666
v	f	0.318
w	v	0.827
w	-	0.087
w	w	0.072
z	s	0.401
z	n	0.388
z	z	0.21
ð	ɾ	0.88
ð	-	0.082
ŋ	ŋ	0.933
ŋ	ɪ	0.067
ə	-	0.925
ə	ˈɛ	0.075
ɚ	æ	0.905
ɚ	-	0.095
ɡ	ɡ	0.618
ɡ	j	0.258
ɡ	-	0.124
ɪ	-	1.0
ɫ	l	0.821
ɫ	ɡ_l	0.144
ɹ	r	0.595
ɹ	æ	0.267
ɹ	-	0.138
ɾ	x	0.566
ɾ	t	0.278
ɾ	ɾ	0.156
ʃ	ʃ	1.0
ʔ	t	0.929
ʤ	ç	0.718
ʤ	k	0.282
ʧ	k	0.529
ʧ	kʰ	0.451
ˈaɪ̯	ˈɪ	0.314
ˈaɪ̯	ˈiː	0.262
ˈaɪ̯	ˈaʊ̯	0.114
ˈaɪ̯	ˈae̯	0.105
ˈaɪ̯	ˈɛː	0.065
ˈaɪ̯	ˈɔʏ̯	0.06
ˈaɪ̯	ˈyː	0.052
ˈaʊ̯	ˈuː	0.566
ˈaʊ̯	ˈʊ	0.238
ˈaʊ̯	ˈɒː	0.085
ˈaʊ̯	ˈaʊ̯	0.067
ˈeɪ̯	ˈɛ	0.366
ˈeɪ̯	ˈa	0.264
ˈeɪ̯	ˈɒː	0.257
ˈeɪ̯	ˈaː	0.065
ˈi	ˈɔʏ̯	0.268
ˈi	ˈiː	0.132
ˈi	ˈae̯	0.113
ˈi	ˈɒː	0.094
ˈi	ˈaʊ̯	0.087
ˈi	ˈuː	0.069
ˈi	ˈoː	0.058
ˈoʊ̯	ˈae̯	0.487
ˈoʊ̯	ˈaʊ̯	0.134
ˈoʊ̯	ˈɔ	0.113
ˈoʊ̯	ˈeː	0.102
ˈoʊ̯	ˈɛː	0.077
ˈu	ˈaʊ̯	0.448
ˈu	ˈae̯	0.162
ˈu	ˈɛː	0.13
ˈu	ˈiː	0.108
ˈu	ˈɒː	0.081
ˈu	ˈuː	0.071
ˈæ	ˈa	0.827
ˈæ	ˈaː	0.134
ˈɑ	ˈɔ	0.262
ˈɑ	ˈaː	0.249
ˈɑ	ˈa	0.155
ˈɑ	-	0.112
ˈɑ	ˈiː	0.076
ˈɑ	ˈɒː	0.076
ˈɔ	ˈuː	0.591
ˈɔ	ˈiː	0.123
ˈɔ	ˈœː	0.119
ˈɔ	ˈa	0.083
ˈɔ	ˈaː	0.083
ˈɛ	ˈɛ	0.253
ˈɛ	ˈɪ	0.128
ˈɛ	ˈae̯	0.12
ˈɛ	ˈaʊ̯	0.094
ˈɛ	ˈʏ	0.068
ˈɛ	ˈoː	0.067
ˈɛ	ˈœ	0.056
ˈɝ	æ	0.34
ˈɝ	ˈoː	0.261
ˈɝ	ˈœ	0.246
ˈɝ	ˈʏ	0.153
ˈɪ	ˈɪ	0.532
ˈɪ	ˈʏ	0.206
ˈɪ	ˈɛ	0.06
ˈɪ	ˈae̯	0.051
ˈɪ	ˈiː	0.051
ˈʊ	ˈʊ	0.535
ˈʊ	ˈaʊ̯	0.465
ˈʌ	ˈʊ	0.371
ˈʌ	ˈɒː	0.164
ˈʌ	ˈɔ	0.133
ˈʌ	ˈœː	0.082
ˈʌ	-	0.066
ˈʌ	ˈaʊ̯	0.052
ˈʌɪ̯	ˈɪ	0.367
ˈʌɪ̯	ˈiː	0.335
ˈʌɪ̯	ˈa	0.193
ˈʌɪ̯	ˈɛ	0.105
θ	d	0.938
θ	-	0.062
