Gothic	Old High German	probability
θ_s	t	1.0
θ	d	1.0
β	b	1.0
ˈɛ	ˈɛ	1.0
ˈuː	ˈuː	1.0
ˈoː	ˈuo̯	1.0
ˈiː	ˈiː	1.0
ˈi_n	ˈi_n	1.0
ʍ	w	1.0
ɣ	ɡ	1.0
ɡʷː	w	1.0
ɡʷ	ɡ	1.0
ɔː	o	1.0
ŋ	ŋ	1.0
x	ɡ	1.0
w_s	o	1.0
w	w	1.0
t_s	s̻	1.0
s_t	s_t	1.0
r_n	r_n	1.0
r	r	1.0
p	f	1.0
nː	nː	1.0
n	n	1.0
m	m	1.0
lː	lː	1.0
l_s	ɑ_l	1.0
l	l	1.0
kʷ	kʰ_w	1.0
k_s	x	1.0
j_a	e	1.0
i	i	1.0
h_t	x	1.0
h_s	x	1.0
f_s	b	1.0
f	f	1.0
e	p͡f_u	1.0
d	t	1.0
b	b	1.0
aː	eː	1.0
ˈɛː	ˈei̯	0.871
ɡ	ɡ	0.854
ˈeː	ˈɑː	0.852
ˈa	ˈɑ	0.811
h	h	0.781
j	-	0.75
ˈu	ˈu	0.749
ˈi	ˈi	0.711
ð	t	0.667
oː	-	0.642
a	ɑ	0.642
ˈiu̯	ˈio̯	0.611
iː	i	0.6
ˈɔː	ˈoː	0.541
u	-	0.511
u	u	0.489
k	k	0.464
s	s	0.455
ˈɔ	ˈo	0.451
s	r	0.437
k	xː	0.402
iː	-	0.4
ˈiu̯	ˈiu̯	0.389
oː	o	0.358
ð	tː	0.333
ˈɔ	ˈu	0.301
t	s̻ː	0.274
ˈu	ˈo	0.251
j	j	0.25
ˈɔ	-	0.249
ˈi	ˈɛ	0.238
t	t	0.228
ˈɔː	-	0.219
h	x	0.219
t	ʦ	0.216
ˈa	ˈe	0.189
a	ə	0.179
t	s̻	0.178
ˈɔː	ˈou̯	0.167
ˈeː	ˈie̯	0.148
ɡ	-	0.146
k	x	0.134
ˈɛː	ˈeː	0.129
a	ɛ	0.118
s	t	0.107
t	ʦː	0.104
ˈɔː	ou̯	0.073
a	e	0.061
ˈi	-	0.051
