Westphalian	North Frisian	probability
aɪ̯	ɛi̯	1.0
b	b	0.952
d	d	0.427
d	dʲ	0.238
d	t	0.188
d	tʲ	0.064
d	-	0.058
f	f	0.932
h	h	1.0
j	ˈiː	0.669
j	j	0.331
k	k	0.844
k	ʃ	0.077
k	-	0.072
l	l	0.88
l	ə_l	0.05
m	m	0.879
m	r_m	0.07
n	n	0.542
n	ə	0.316
n	nʲ	0.097
p	p	0.885
p	d	0.085
r	r	0.957
s	s	0.866
s	r_s	0.076
t	t	0.603
t	tʲ	0.13
t	d	0.098
t	r_t	0.06
t	z	0.051
v	v	0.848
v	f	0.08
v	-	0.072
x	ɡ	0.59
x	x	0.327
z	z	0.535
z	s	0.465
ç	j	0.429
ç	x	0.411
ç	ŋ	0.161
ŋ	ŋ	0.796
ŋ	-	0.158
ɐ	r	0.505
ɐ	ə_r	0.379
ɐ	-	0.067
ə	ə	0.849
ə	w	0.151
ɡ	d	0.521
ɡ	j	0.249
ɡ	w	0.133
ɡ	-	0.097
ɣ	w	1.0
ɪ	i	1.0
ʃ	ʃ	0.61
ʃ	s	0.39
ʋ	v	0.786
ʋ	-	0.214
ˈa	ˈœ	0.301
ˈa	ˈɒ	0.211
ˈa	ˈɔː	0.125
ˈa	ˈʊ	0.099
ˈa	ˈuː	0.072
ˈa	ˈɒː	0.058
ˈa	ˈeː	0.057
ˈaɪ̯	ˈiː	0.837
ˈaɪ̯	ˈɛi̯	0.078
ˈaɪ̯	ˈɔi̯	0.054
ˈaʊ̯	ˈuː	0.573
ˈaʊ̯	ˈyː	0.355
ˈaʊ̯	ˈiː	0.072
ˈaː	ˈɒː	0.447
ˈaː	ˈʊ	0.293
ˈaː	ˈɛː	0.179
ˈaː	ˈɒ	0.08
ˈeː	ˈiː	0.582
ˈeː	ˈuː	0.165
ˈeː	ˈɔu̯	0.071
ˈeː	ˈɒː	0.066
ˈeː	ˈai̯	0.064
ˈiɛ̯	ˈa	0.246
ˈiɛ̯	ˈaː	0.244
ˈiɛ̯	ˈeː	0.244
ˈiɛ̯	j	0.19
ˈiɛ̯	ˈai̯	0.076
ˈiː	ˈi	0.608
ˈiː	ˈeː	0.16
ˈiː	ˈiː	0.139
ˈoː	ˈœ	0.784
ˈoː	ˈœi̯	0.093
ˈoː	ˈɔu̯	0.066
ˈoː	ˈyː	0.057
ˈuə̯	ˈaː	0.681
ˈuə̯	ˈøː	0.284
ˈuː	ˈyː	0.407
ˈuː	ˈøː	0.281
ˈuː	ˈɔu̯	0.179
ˈuː	ˈʏ	0.068
ˈuː	ˈuː	0.064
ˈuːə̯	ˈœ	0.253
ˈuːə̯	ˈaː	0.157
ˈuːə̯	ˈɔ	0.157
ˈuːə̯	ˈɔː	0.127
ˈuːə̯	ˈʊ	0.127
ˈuːə̯	ˈɔu̯	0.098
ˈuːə̯	ˈu	0.083
ˈyə̯	ˈɔː	1.0
ˈyː	ˈʏ	0.481
ˈyː	ˈøː	0.415
ˈyː	lʲ	0.104
ˈyːœ̯	ˈɔu̯	1.0
ˈø	ˈyː	0.572
ˈø	ˈeː	0.428
ˈøː	ˈɛ	0.4
ˈøː	ˈɛi̯	0.383
ˈøː	ˈiː	0.153
ˈøː	ˈɔ	0.064
ˈœː	ˈɔ	0.518
ˈœː	ˈiː	0.482
ˈɒː	ˈɒː	1.0
ˈɔ	ˈɔː	0.545
ˈɔ	ˈɒ	0.198
ˈɔ	ˈyː	0.179
ˈɔ	ˈœ	0.078
ˈɔː	ˈɔu̯	0.237
ˈɔː	ˈɛi̯	0.144
ˈɔː	-	0.123
ˈɔː	ˈʊ	0.118
ˈɔː	ˈɛː	0.083
ˈɔː	ˈuː	0.082
ˈɔː	ˈyː	0.081
ˈɔː	ˈɔː	0.078
ˈɔː	ˈeː	0.054
ˈɛ	ˈʊ	0.27
ˈɛ	ˈa	0.254
ˈɛ	ˈeː	0.251
ˈɛ	ˈɒ	0.115
ˈɛ	ˈɛi̯	0.063
ˈɛː	ˈeː	0.575
ˈɛː	ˈa	0.318
ˈɛː	ˈɔː	0.107
ˈɪ	ˈi	0.207
ˈɪ	ˈai̯	0.188
ˈɪ	ˈʊ	0.139
ˈɪ	ˈa	0.126
ˈɪ	ˈiː	0.108
ˈɪ	ˈɛ	0.094
ˈɪ	ˈu	0.071
ˈɪə̯	ˈyː	0.344
ˈɪə̯	ˈɔː	0.317
ˈɪə̯	ˈaː	0.17
ˈɪə̯	ˈeː	0.17
ˈɪɛ̯	ˈɛː	0.305
ˈɪɛ̯	ˈi	0.211
ˈɪɛ̯	ˈiː	0.108
ˈɪɛ̯	ˈøː	0.108
ˈɪɛ̯	ˈa	0.074
ˈɪɛ̯	ˈœ	0.074
ˈɪɛ̯	ˈɛ	0.064
ˈɪɛ̯	ˈɔː	0.054
ˈʊ	ˈʊ	0.692
ˈʊ	ˈa	0.118
ˈʊ	ˈøː	0.097
ˈʊ	ˈyː	0.093
ˈʏ	ˈa	0.27
ˈʏ	ˈœ	0.243
ˈʏ	ˈʏ	0.227
ˈʏ	ˈʊ	0.158
ˈʏ	ˈeː	0.102
