Romanian	Sicilian	probability
a	a	1.0
f	f	1.0
kʲ	cː_ʊ	1.0
z	-	1.0
ŋ	-	1.0
ʃ	s	1.0
ʒ	j	1.0
ˈau̯	w	1.0
ˈə	ˈi	1.0
ˈɨ	ˈa	1.0
e	i	0.051
n	n_ʊ	0.11
n	-	0.161
n	n	0.641
p	p	0.91
w	-	0.301
ʤ	ɕ	0.111
ʧ	-	0.091
ˈo	ˈu	0.341
e	ʊ	0.082
e̯ˈa	ˈi	0.912
o̯ˈa	ˈɔ	0.562
ʤ	-	0.822
ˈe	ˈi	0.772
ˈu	ˈo	0.062
b	b	0.663
ˈi	ˈa	0.083
i	ɪ	0.304
j	ɲː	0.674
r	r	0.244
t	ʈ	0.064
v	ʊ_#>	0.444
w	ʊ	0.414
ɡ	-	0.704
ʦ	t	0.724
ˈa	ˈa	0.824
ˈu	ˈɔ	0.204
ˈu	ˈu	0.734
l	-	0.465
m	m	0.885
r	ɾ	0.535
s	s_ʊ	0.065
s	ʃ	0.295
t	t_ʊ	0.225
w	v_ʊ	0.285
ə	ɪ	0.115
ʧʲ	t	0.5
ʧʲ	-	0.5
ˈi	ˈɛ	0.255
d	ɾ	0.096
e	ɪ	0.736
i	i	0.696
l	w	0.056
u	i	0.056
v	v	0.556
ə	ʊ	0.066
ɡ	ɡ	0.296
ʦ	ʦː_ʊ	0.276
ˈa	ˈɛ	0.176
d	d	0.707
k	k	0.727
n	nː	0.077
r	-	0.067
t	-	0.07
u	ʊ	0.407
ə	a	0.807
ʤ	ʤ	0.067
b	-	0.098
b	v	0.238
d	-	0.198
e̯ˈa	ˈi_ɖː	0.088
k	kː	0.058
o̯ˈa	ˈu	0.438
r	l_ʊ	0.078
s	s	0.618
t	t	0.588
ˈe	ˈɛ	0.228
e	a	0.099
j	-	0.239
k	k_ʊ	0.189
l	l	0.479
m	-	0.069
p	p_ʊ	0.09
u	u	0.519
ʧ	ɕ	0.909
ˈi	ɪ	0.089
ˈi	ˈi	0.549
ˈo	ˈɔ	0.659
