Lengadocian	Lengadocian	probability
ˈɔ_k	k_u	1.0
ˈy	ˈu	1.0
ˈi_#>	e_#>	1.0
ˈe_j	ˈɛ	1.0
ˈa_w	ˈo	1.0
ˈa_j	ˈa_t	1.0
ˈa_#>	ˈa_#>	1.0
ʎ	ʎ	1.0
ʀ_t	r_t	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɥ	ˈɔ	1.0
ɡ_l	ɟ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð	t	1.0
y	u	1.0
w_ʀ	r_u	1.0
u_l	u_l	1.0
u	u	1.0
s_ˈɛ	ʧ_ˈɛ	1.0
s_ˈe	s_ˈɛ	1.0
p_l	p_j	1.0
p	p	1.0
nː	m_i	1.0
n_d	n	1.0
mː	tː_i	1.0
m_u	m_ˈɔ	1.0
m_b	mː	1.0
m_#>	m_e_#>	1.0
m	m	1.0
lː	-	1.0
k_l	c	1.0
j_ˈɛ	ˈe	1.0
j_ʀ	d	1.0
j_s	ʃː	1.0
i	i	1.0
e_#>	#>	1.0
d	d	1.0
a_w	o	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɥ	<#_ˈo	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
ɔ	a	0.972
f	f	0.957
ˈi	ˈi	0.929
k	k	0.868
ˈɔ	ˈɔ	0.8
ɾ	r	0.8
n	n	0.793
ˈa	ˈa	0.768
ʤ	ɟ	0.75
e_s	s	0.75
t	t	0.731
ʀ	r	0.684
ʦ	ʧ_e	0.667
ˈe	ˈɛ	0.654
s	s	0.651
s_#>	#>	0.625
n_#>	n_t_u_#>	0.625
ɲ	ɲ	0.6
#>	u_#>	0.6
ɾ_e	r_u	0.571
b	v	0.545
ˈu	ˈɔ	0.512
ˈa_t	ˈa_tː	0.5
ˈa_t	ˈa	0.5
ɣ	k	0.5
j	-	0.455
b	b	0.455
ˈɛ	ˈe	0.45
ʧ	tː_u	0.444
l	lː	0.432
ɾ_e	e	0.429
β	v	0.412
ˈɛ	ˈɛ	0.4
ɲ	ɲ_u	0.4
s_#>	i_#>	0.375
n_#>	n_t_e_#>	0.375
e	e	0.357
ʧ	tː	0.333
ʦ	ʦː	0.333
z	ʧ	0.333
z	z	0.333
z	d	0.333
#>	e_#>	0.322
l	l	0.318
ɣ	ɡ	0.3
β	p	0.294
e	i	0.286
j	ˈe	0.273
j	j	0.273
e_s	ʃ	0.25
ʧ	-	0.222
ʀ	r_n	0.211
w	v_e	0.211
ˈɔ	ˈo	0.2
ɣ	-	0.2
β	b	0.176
ˈu	ˈo	0.171
e	u	0.167
w	u	0.158
w	l	0.158
w	j	0.158
ˈe	ˈi	0.154
t	tː	0.154
ˈu	ˈu	0.146
ˈa	ˈa_n	0.143
ɾ	e_r	0.133
ʤ	ʤ	0.125
ʤ	-	0.125
β	bː	0.118
ˈe	ˈe	0.115
l	j	0.114
ʀ	rː	0.105
w	v_u	0.105
w	b_e	0.105
w	-	0.105
n	nː	0.103
n	-	0.103
ˈɛ	-	0.1
k	kː	0.094
s	sː	0.093
ˈe	-	0.077
t	-	0.077
ˈu	ˈɔ_n	0.073
ˈi	ˈu	0.071
e	ˈɛ	0.071
e	-	0.071
s	ʧː	0.07
l	ʎ_u	0.068
l	c	0.068
ɾ	-	0.067
#>	a_#>	0.061
ˈa	ˈɔ	0.054
