Luxembourgish	Old Norse	probability
b	b	0.938
b	tʰ	0.062
d	θ	0.466
d	d	0.296
d	ð	0.198
e	ɑː	0.738
e	u	0.262
f	f	0.601
f	p	0.169
f	v	0.138
h	h	0.897
h	ç	0.103
j	-	0.5
j	ˈu	0.5
k	ɡː	0.257
k	ɡ	0.219
k	cː	0.21
k	ɟː	0.145
k	kː	0.094
k	k	0.075
kʰ	kʰ	0.899
kʰ	-	0.053
l	l	0.788
l	lː	0.132
m	m	0.675
m	v	0.121
m	-	0.103
m	r_m	0.074
n	n	0.534
n	-	0.313
n	nː	0.153
p	pː	0.738
p	v	0.166
p	p	0.096
s	t	0.595
s	s	0.278
s	sː	0.075
t	ð	0.403
t	-	0.232
t	t	0.157
t	d	0.138
v	v	0.702
v	x	0.154
v	-	0.143
w	v	0.846
w	-	0.1
w	tː	0.055
z	s	1.0
ŋ	ŋ	0.602
ŋ	u	0.197
ŋ	n	0.123
ŋ	nː	0.078
ɐ	r	0.528
ɐ	i	0.201
ɐ	rː	0.114
ɕ	k	0.308
ɕ	tː	0.218
ɕ	-	0.104
ɕ	ɡ	0.104
ɕ	c	0.095
ɕ	s	0.093
ɕ	ɣ	0.079
ə	ɑ	0.605
ə	-	0.18
ə	a	0.129
ɡ	ɡ	0.638
ɡ	ɟ	0.342
ʀ	r	0.905
ʀ	ˈoː	0.058
ʃ	s	0.785
ʃ	c	0.151
ʃ	-	0.057
ʑ	ɟ	1.0
ʦ	tʰ	0.618
ʦ	t	0.204
ʦ	tː	0.127
ʦ	ɣ	0.051
ˈaː	ˈɑ	0.532
ˈaː	ˈo	0.128
ˈaː	ˈɑu̯	0.095
ˈaː	ˈeː	0.061
ˈe	ˈiː	0.297
ˈe	ˈy	0.26
ˈe	ˈi	0.196
ˈe	ˈe	0.124
ˈe	ˈøː	0.124
ˈeː	ˈɛi̯	0.704
ˈeː	ˈe	0.196
ˈeː	ˈøy̯	0.064
ˈi	ˈo	0.421
ˈi	ˈøː	0.192
ˈi	ˈɑː	0.148
ˈi	ˈe	0.139
ˈi	ˈy	0.054
ˈiə̯	ˈe	0.37
ˈiə̯	ˈɔ	0.262
ˈiə̯	ˈi	0.158
ˈiə̯	ˈo	0.107
ˈiə̯	ˈu	0.102
ˈiː	ˈeː	0.375
ˈiː	j	0.341
ˈiː	ˈu	0.106
ˈiː	ˈy	0.106
ˈo	ˈu	0.678
ˈo	ˈo	0.141
ˈo	ˈi	0.072
ˈo	ˈɒu̯	0.072
ˈoː	ˈɑː	0.425
ˈoː	ˈɑ	0.192
ˈoː	ˈe	0.144
ˈoː	ˈo	0.144
ˈoː	-	0.095
ˈu	ˈɑ	0.344
ˈu	ˈu	0.196
ˈu	ˈɔː	0.196
ˈu	ˈoː	0.105
ˈu	ˈo	0.067
ˈu	ˈøː	0.067
ˈuə̯	ˈɑː	0.479
ˈuə̯	ˈe	0.277
ˈuə̯	ˈɛ	0.167
ˈuə̯	ˈo	0.077
ˈuː	ˈo	1.0
ˈæ	ˈɑ	0.425
ˈæ	ˈɑː	0.287
ˈæ	ˈɛ	0.287
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.811
ˈæːɪ̯	ˈe	0.136
ˈæːɪ̯	ˈyː	0.052
ˈæːʊ̯	ˈuː	0.936
ˈæːʊ̯	ˈyː	0.064
ˈɑ	ˈi	0.353
ˈɑ	ˈɑ	0.183
ˈɑ	ˈa	0.135
ˈɑ	ˈɔ	0.127
ˈɑ	u	0.078
ˈɑ	ˈy	0.078
ˈɑɪ̯	ˈyː	0.495
ˈɑɪ̯	ˈiː	0.173
ˈɑɪ̯	ˈo	0.125
ˈɑɪ̯	ˈu	0.075
ˈɑɪ̯	ˈeː	0.06
ˈɔ	ˈu	1.0
ˈə	ˈu	0.296
ˈə	ˈi	0.288
ˈə	ˈyː	0.108
ˈə	ˈɔ	0.085
ˈə	ˈɑ	0.056
ˈəʊ̯	ˈɑː	0.476
ˈəʊ̯	ˈɑu̯	0.223
ˈəʊ̯	ˈøy̯	0.117
ˈəʊ̯	ˈoː	0.078
ˈəʊ̯	ˈɒu̯	0.078
ˈɛ	ˈɛ	0.493
ˈɛ	ˈɑ	0.267
ˈɛ	ˈɛi̯	0.149
ˈɛ	ˈe	0.091
ˈɛː	ˈɑ	0.522
ˈɛː	ˈɔ	0.284
ˈɛː	ˈe	0.194
ˈɜɪ̯	j	0.332
ˈɜɪ̯	ˈɑː	0.24
ˈɜɪ̯	ˈɛː	0.069
ˈɜɪ̯	ˈøy̯	0.065
ˈɜɪ̯	ˈɒu̯	0.065
ˈɜɪ̯	ˈøː	0.064
ˈɜɪ̯	ˈu	0.052
ˈʊ	ˈoː	0.695
ˈʊ	-	0.305
ˈʊɪ̯	ˈoː	1.0
χ	k	0.582
χ	tː	0.22
χ	ɣ	0.136
χ	j	0.063
