Icelandic	Icelandic	probability
ˈʏː	-	1.0
ˈɛː_r̥	ˈi_r	1.0
ˈɛi̯	ˈa	1.0
ˈɔː	ˈu	1.0
ˈɔu̯	x	1.0
ˈɔ	v	1.0
ˈɑu̯	ˈɑ	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈu	ˈu	1.0
ˈou̯	-	1.0
ˈeːi̯	ˈɑi̯	1.0
ˈaːu̯	ˈø	1.0
ˈau̯	-	1.0
ˈai̯	-	1.0
ʰt͡n̥	s_ɛ	1.0
ʰp	-	1.0
ɲ	ŋ	1.0
ɪ_#>	#>	1.0
ɣ	ɡ̊	1.0
ɡ̊ː	ˈai̯	1.0
ɡ̊_ʏ	ɡ̊	1.0
ɛ	-	1.0
ɑu̯	-	1.0
ŋ	ŋ	1.0
ç	h	1.0
x	-	1.0
v_ʏ	b̥	1.0
v_a	n	1.0
t͡l̥	w	1.0
tʰ	ʦ	1.0
t_ʏ	s	1.0
sː	n_s	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
s_#>	s_#>	1.0
r̥_#>	#>	1.0
pʰ	f	1.0
m	m	1.0
l̥	w	1.0
l_j	w	1.0
k_ʏ	ç	1.0
k	x	1.0
j_ˈœ	ˈɑ	1.0
h	h	1.0
f	f	1.0
d̥_ʏ	d̥	1.0
cʰ	k	1.0
b̥	b	1.0
aːu̯_n	ɑ	1.0
a_#>	#>	1.0
<#_v	<#_v	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_w	1.0
<#_d̥	<#_t	1.0
<#	<#_v	1.0
a	a	0.92
ɪ	ɛ	0.818
ʏ	-	0.81
ˈuː	ˈɑi̯	0.8
n	n	0.789
ð	t	0.762
θ	d	0.75
l	w	0.737
nː	n	0.714
r	r	0.679
ˈɛː	-	0.667
ˈaː	ˈɔ	0.667
ʰk	-	0.667
t͡n̥	n	0.667
kʰ	k	0.667
c	-	0.667
ˈɪː	-	0.6
ˈɑːu̯	-	0.6
ˈœːy̯	ˈu	0.6
ˈaːi̯	ˈi	0.6
#>	r_#>	0.6
r̥	r	0.593
ˈɪ	ˈɘ̟	0.583
v	v	0.583
p	f	0.571
ˈiː	ˈai̯	0.556
ˈʏ	ˈu	0.538
ˈoːu̯	ˈʏ	0.533
ˈɛːi̯	ˈa	0.5
ˈɛːi̯	-	0.5
ˈi	ˈɘ̟	0.5
ˈi	-	0.5
ˈa	ˈɑ	0.5
ʰt	x_t	0.5
ɡ̊	ɡ	0.5
ɟ̊	ɡ_ˈɑ	0.5
ɟ̊	ɟ	0.5
s	z	0.5
n̥	a	0.5
n̥	-	0.5
d̥	d	0.444
ˈɛ	-	0.429
p	-	0.429
v	-	0.417
t	t	0.412
ˈɪː	ˈɘ̟	0.4
ˈɑːu̯	ˈø	0.4
ˈœːy̯	-	0.4
ˈaːi̯	-	0.4
#>	x_#>	0.4
t	s	0.353
j	-	0.35
ˈɛː	ˈɔ	0.333
ˈaː	ˈɑ	0.333
ʰk	c	0.333
t͡n̥	-	0.333
kʰ	k_ˈɘ̟	0.333
d̥	d̥	0.333
c	ʧ	0.333
s	ʃ	0.294
ˈɛ	ˈɛ	0.286
ˈɛ	ˈa	0.286
nː	n_d	0.286
θ	t	0.25
ˈɪ	-	0.25
ʰt	ʦ	0.25
ʰt	t	0.25
ɡ̊	-	0.25
j	ˈi	0.25
t	ʦ	0.235
ˈʏ	ˈɑi̯	0.231
ˈʏ	-	0.231
ˈiː	ˈɑi̯	0.222
ˈiː	-	0.222
d̥	t	0.222
r	-	0.214
n	-	0.211
ˈuː	-	0.2
ˈoːu̯	-	0.2
j	ˈɑ	0.2
ˈa	ˈɔ	0.188
ˈa	ˈi̯ø	0.188
r̥	-	0.185
ɪ	-	0.182
ˈɪ	ˈei̯	0.167
l	l	0.158
j	n	0.15
r̥	ə	0.148
ʏ	ɛ	0.143
ð	d	0.143
ˈoːu̯	ˈi	0.133
ˈoːu̯	ə	0.133
ˈa	-	0.125
ɡ̊	ɡ̊	0.125
ɡ̊	n	0.125
r	ˈʏ	0.107
l	-	0.105
ð	-	0.095
s	s	0.088
a	ɛ	0.08
r̥	ɛ_r	0.074
s	t	0.059
s	n	0.059
