Northern Low Saxon	Ripuarian	probability
aɪ̯	e	1.0
b	b	0.759
b	f	0.163
b	p	0.078
d	d	0.4
d	s	0.193
d	d̥	0.148
d	ʦ	0.082
d	t	0.074
d	ɡ̊	0.062
f	f	0.711
f	v̥	0.193
f	ə_f	0.054
h	h	1.0
i	ɪ	1.0
k	k	0.648
k	ɕ	0.352
kʰ	k	0.984
l	l	0.97
m	m	0.754
m	v	0.143
m	-	0.073
n	n	0.506
n	ŋ	0.241
n	ə	0.22
p	p	1.0
pʰ	p	1.0
r	ʀ	1.0
s	s	0.695
s	ʃ	0.218
s	z	0.087
t	t	0.405
t	ʦ	0.245
t	d̥	0.206
t	s	0.144
tʰ	ʦ	0.912
tʰ	t	0.088
v	ʋ	0.946
x	x	0.726
x	-	0.168
x	ɕ	0.106
z	z	0.97
ç	ɕ	0.607
ç	k	0.191
ç	ŋ	0.074
ç	-	0.073
ç	ɡ̊	0.055
ŋ	ŋ	0.716
ŋ	j	0.162
ŋ	ɣ	0.07
ŋ	n	0.052
ɐ	ɐ	0.756
ɐ	-	0.219
ə	ə	0.525
ə	ɐ	0.475
ɡ	j	0.351
ɡ	k	0.285
ɡ	ɕ	0.238
ɡ	x	0.055
ɡ	ɣ	0.053
ɪ	ə	0.76
ɪ	ɪ	0.24
ʃ	ʃ	1.0
ʒ	j	0.862
ʒ	-	0.138
ˈa	ˈa	0.785
ˈa	ˈaː	0.144
ˈa	ˈɛ	0.071
ˈaɪ̯	ˈeː	0.621
ˈaɪ̯	ˈeɪ̯	0.158
ˈaɪ̯	ˈiː	0.115
ˈaʊ̯	ˈoː	0.537
ˈaʊ̯	ˈuː	0.207
ˈaʊ̯	ˈɔ	0.06
ˈaʊ̯	ˈa	0.057
ˈaː	ˈa	0.334
ˈaː	ˈɛː	0.334
ˈaː	ɐ	0.332
ˈeɪ̯	ˈeː	0.602
ˈeɪ̯	ˈiː	0.2
ˈeɪ̯	ˈɛː	0.198
ˈeː	ˈɛː	0.318
ˈeː	ˈa	0.276
ˈeː	ˈɛ	0.191
ˈeː	ˈʏ	0.089
ˈeː	ˈe	0.087
ˈiː	ˈiː	0.374
ˈiː	ˈɪ	0.195
ˈiː	ˈøʏ̯	0.096
ˈiː	ˈeɪ̯	0.091
ˈiː	ˈœ	0.081
ˈiː	ˈe	0.071
ˈiː	ˈɛ	0.056
ˈoː	ˈoː	0.417
ˈoː	ˈaː	0.185
ˈoː	ˈɔ	0.102
ˈoː	ˈo	0.07
ˈoː	ˈu	0.068
ˈoː	ˈɛː	0.057
ˈuː	ˈuː	0.517
ˈuː	ˈaʊ̯	0.25
ˈuː	ˈoː	0.095
ˈuː	ˈyː	0.07
ˈyː	ˈyː	0.544
ˈyː	ˈʏ	0.34
ˈyː	ˈeː	0.099
ˈø	ˈɛ	1.0
ˈøː	ˈoː	0.285
ˈøː	ˈɪ	0.285
ˈøː	ˈʏ	0.157
ˈøː	ˈaː	0.116
ˈøː	ˈaʊ̯	0.074
ˈœ	ˈɛ	0.418
ˈœ	ˈoː	0.364
ˈœ	ˈøː	0.217
ˈœː	ˈœ	0.525
ˈœː	ˈe	0.475
ˈɔ	ˈɔ	0.528
ˈɔ	ˈa	0.173
ˈɔ	ˈu	0.115
ˈɔ	ˈaʊ̯	0.11
ˈɔ	ˈo	0.073
ˈɔʏ̯	ˈøː	0.58
ˈɔʏ̯	ˈyː	0.258
ˈɔʏ̯	ˈʏ	0.123
ˈɔː	ˈʊ	1.0
ˈɛ	ˈɛ	0.509
ˈɛ	ˈɛː	0.172
ˈɛ	ˈaː	0.157
ˈɛ	ˈa	0.096
ˈɛ	ˈeː	0.066
ˈɛɪ̯	ˈeː	0.421
ˈɛɪ̯	ˈɛː	0.384
ˈɛɪ̯	ˈiː	0.194
ˈɛː	ˈyː	1.0
ˈɪ	ˈe	0.389
ˈɪ	ˈɪ	0.384
ˈɪ	ˈa	0.116
ˈɪ	ˈeː	0.056
ˈʊ	ˈo	0.748
ˈʊ	ˈɔ	0.186
ˈʏ	ˈœ	0.537
ˈʏ	ˈu	0.174
ˈʏ	ˈʏ	0.106
ˈʏ	ˈʊ	0.085
