Mainland North Frisian	Middle English	probability
ˈɛ_tʲ	ˈeː_t	1.0
ˈɔ	ˈɔ	1.0
ˈɒː_d	ˈaː_t	1.0
ˈɒ_n	ˈɛ_n	1.0
ˈœi̯	ˈoː	1.0
ˈu	-	1.0
ˈiː_tʲ	ˈɔː_t	1.0
ˈaː	ˈu	1.0
ˈa_ʀ	r	1.0
ʃ	ʃ	1.0
ʀ_t	r	1.0
ʀ_n	r_n	1.0
ɡ	ɡ	1.0
ɛi̯	eː	1.0
ç	ə	1.0
z	-	1.0
v_j	w	1.0
s	s	1.0
p	p	1.0
n_ə	n_ə	1.0
n_t	n_t	1.0
m	m	1.0
l_ə	ɫ	1.0
i	iː	1.0
h	h	1.0
d̥	d	1.0
dʲ	d	1.0
b	b	1.0
ʀ	r	0.976
f	f	0.916
k	k	0.849
t	t	0.786
l	l	0.739
x	ç	0.72
ˈai̯	-	0.703
v	w	0.698
ŋ	ŋ	0.696
v̥	f	0.679
j	-	0.67
lʲ	ɫ	0.663
ˈœː	ˈuː	0.661
ˈɔː	-	0.642
ˈi	ˈiː	0.632
ˈɛː	ˈɛ	0.628
nʲ	n	0.625
ˈʏ	ˈuː	0.618
ˈɛ	-	0.539
ˈyː	ˈɛː	0.523
ˈiː	ˈeː	0.515
ˈɔu̯	ˈoː	0.5
ˈuː	ˈɛː	0.494
ˈʊ	ˈu	0.488
ˈyː	-	0.477
ˈɒː	ˈɛː	0.466
ˈɛ	ˈeː	0.461
ˈa	ˈa	0.458
ə	ə	0.458
n	n	0.448
ˈɒː	ˈa	0.409
ˈɒ	ˈa	0.405
ə	ə_n	0.391
nʲ	n_d	0.375
ˈɛː	ˈɛː	0.372
ˈœː	-	0.339
ˈɒ	-	0.338
lʲ	l_d	0.337
d	ð	0.336
j	j	0.33
v̥	v	0.321
ˈuː	-	0.309
ˈɛi̯	ˈɛː	0.307
ˈœ	ˈɔː	0.302
ˈeː	ˈi	0.302
ˈeː	-	0.302
d	d	0.3
ˈiː	ˈɔː	0.299
ˈai̯	ə	0.297
ˈɛi̯	ˈeː	0.292
ˈœ	ˈoː	0.283
ˈa	ˈi	0.28
x	-	0.28
n	n_d	0.268
l	ɫ	0.261
ˈɒ	ˈi	0.257
ˈɔu̯	ˈɔː_v	0.25
ˈɔu̯	-	0.25
ˈeː	ˈɛ	0.238
ˈœ	-	0.231
ˈʏ	-	0.223
t	θ	0.214
ˈɛi̯	-	0.212
d	-	0.2
ˈuː	ˈa	0.197
v	v	0.194
ˈɛi̯	ˈæi̯	0.188
ˈʊ	ˈi	0.187
ˈœ	ˈu	0.184
ŋ	-	0.181
ˈɔː	ˈɛː	0.179
ˈɔː	ˈɔ	0.179
d	θ	0.163
ˈeː	ˈaː	0.159
n	-	0.151
k	ʧ	0.151
ˈa	-	0.136
ˈi	ˈi	0.133
ˈi	-	0.133
n	n_ə	0.133
ˈʊ	-	0.129
ˈiː	ˈiː	0.129
ˈɒː	ˈau̯	0.126
ə	-	0.124
ŋ	n_ɡ	0.124
ˈʏ	ˈu	0.108
v	ʍ	0.108
ˈi	ˈeː	0.101
ˈʊ	ˈa	0.099
ˈʊ	ˈɔː	0.097
f	-	0.084
ˈa	ˈu	0.074
ˈiː	ˈɔu̯	0.057
ˈa	ˈiː	0.052
ˈʏ	i	0.051
