Aromanian	Aromanian	probability
ˈə	o	1.0
ˈu_p	ˈʌu̯_v	1.0
ˈi_r	ˈiː	1.0
ˈa_v	ˈɔː	1.0
ˈa_t	ˈɛ	1.0
ʦ_i	z	1.0
ʎ_i	a	1.0
ʃ_t	s	1.0
ɨ	-	1.0
ə_#>	#>	1.0
ç	f	1.0
z	v	1.0
v	v	1.0
u_#>	#>	1.0
u	u	1.0
t_ˈa	ˈɛ	1.0
s	s	1.0
r_#>	l_#>	1.0
p_t	t	1.0
n_i	e_n	1.0
n_#>	ŋ_#>	1.0
k_ˈu	k_ˈuː	1.0
k_ʎ	ʧ	1.0
k_#>	ɡ_#>	1.0
j_i	v	1.0
i_#>	#>	1.0
f	f	1.0
e̯a	-	1.0
e	-	1.0
d	d	1.0
a	ˈɛ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ʦ	<#_θ	1.0
<#_ʃ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_a_r	<#_r	1.0
<#_a	<#	1.0
#>	a_#>	1.0
ə	a	0.889
p	p	0.867
ɡ	ɡ	0.75
ˈa	ˈɛ	0.742
m	m	0.737
r	r	0.729
k	k	0.714
ʤ	ð	0.667
ɲ	m	0.667
t	t	0.667
i_r	e	0.667
b	b	0.667
ʣ	ð	0.636
ʃ	s	0.6
r_u	e_r	0.6
ˈɨ	ˈa	0.583
w	v	0.571
ˈe	ˈɛ	0.545
l	l	0.545
j	v	0.545
ʎ	ˈɔː_l	0.5
ʎ	j	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
n	ŋ	0.467
n	n	0.467
i	r	0.462
l	j	0.455
j	-	0.455
w	-	0.429
ʃ	-	0.4
r_u	r	0.4
e̯ˈa	ˈa	0.4
ˈu	ˈo	0.381
ʣ	d	0.364
o̯ˈa	ˈʌu̯	0.364
o̯ˈa	ˈɔː	0.364
ʦ	-	0.333
ʤ	-	0.333
ɲ	ɲ	0.333
t	d	0.333
i_r	r	0.333
b	-	0.333
ˈi	ˈe	0.321
ˈo	ˈuː	0.312
ˈe	-	0.273
o̯ˈa	ˈɔ	0.273
ˈɨ	ˈɛ	0.25
ˈo	ˈɔː	0.25
ʦ	θ	0.25
ʦ	t	0.25
ɡ	ʤ	0.25
e̯ˈa	ˈɛ	0.2
e̯ˈa	ˈiː	0.2
e̯ˈa	ˈa_j	0.2
i	-	0.192
ˈu	-	0.19
ˈo	ˈo	0.188
ˈe	ˈa_j	0.182
ˈi	ˈæ	0.179
ˈɨ	ˈaː	0.167
ʦ	k	0.167
m	ŋ	0.158
ˈu	ˈʌu̯	0.143
ˈi	-	0.143
p	k_w	0.133
ˈa	ˈɛː	0.129
ˈa	ˈaː	0.129
ˈo	ˈʌ	0.125
ˈo	ˈɔ	0.125
r	l	0.119
i	i	0.115
ˈi	ˈiː	0.107
ˈi	j	0.107
k	ɡ	0.107
k	p	0.107
m	-	0.105
r	e	0.102
ˈu	ˈʌ	0.095
ˈu	ˈɔ	0.095
ˈu	ˈuː	0.095
i	ˈiː	0.077
i	v	0.077
i	a	0.077
ˈi	ˈi	0.071
ˈi	ˈaː	0.071
k	ʧ	0.071
n	-	0.067
ə	r	0.056
ə	-	0.056
r	r_e	0.051
