Catalan	Catalan	probability
β_ə	b_e	1.0
ˈɛ_w	ˈoː_s	1.0
ˈɛ_#>	ˈeː_#>	1.0
ˈu_#>	ˈuː_r_#>	1.0
ˈi_l	ˈi_l	1.0
ˈe_j	ˈe	1.0
ˈa_ɾ	ˈa_r	1.0
ˈa_#>	ˈaː_#>	1.0
ʧ	s	1.0
ʤ	d	1.0
ʎː	j	1.0
ʎ_#>	l_i_#>	1.0
ʃ	s	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_ə	a_r	1.0
ə_β	a_v	1.0
ə_ð	a_d	1.0
ə_#>	#>	1.0
ð_ə	d_e	1.0
z	-	1.0
w_ə	e	1.0
t_ˈo	d_ˈu	1.0
t_ə	t_e	1.0
t	t	1.0
s_ˈa	s_ˈa	1.0
s_k	s_k	1.0
s_#>	#>	1.0
p_#>	f_#>	1.0
p	p	1.0
mː	e_m	1.0
m	m	1.0
l_s	l_s	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	k_#>	1.0
j_t	t	1.0
j	-	1.0
f	f	1.0
b_ˈɛ	v_j	1.0
b_ə	v_i	1.0
a	s_e	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_r	<#_r	1.0
<#	<#_l	1.0
n	n	0.9
d	d	0.895
ɾ	r	0.838
ɡ	ɡ	0.833
<#_ʎ	<#_l	0.833
r	r	0.818
ˈi	ˈi	0.808
#>	ŋ_#>	0.808
s	s	0.806
ˈo	ˈo	0.8
i	i	0.778
n_#>	n_t_#>	0.75
ˈi_#>	ˈiː_#>	0.714
ˈa	ˈa	0.694
ɲ	ɲ	0.692
ə	e	0.643
w	w	0.636
<#_ə	<#	0.625
β	v	0.6
ð	d	0.6
ə_s	s	0.583
w_#>	#>	0.545
k	c	0.524
ˈi_t	ˈɛ_t	0.5
ˈi_t	t	0.5
ʒ	ʤ	0.5
ɣ	ɡ	0.5
ɣ	-	0.5
ŋ	ŋ_k	0.5
ŋ	ŋ	0.5
w_ɾ	ˈo_d	0.5
w_ɾ	v	0.5
u	o	0.5
b	v	0.467
b	b	0.467
ˈu	ˈu	0.458
ˈɛ	ˈe	0.455
w_#>	f_#>	0.455
k	k	0.429
ʎ	l	0.421
ə_s	i_s	0.417
β	-	0.4
ð	-	0.4
<#_ə	<#_a	0.375
ʎ	ˈɛ_l	0.316
ʒ	j	0.312
ˈa	ˈaː	0.306
ˈi_#>	#>	0.286
ˈe	ˈɛ	0.273
u	u	0.273
ˈu	ˈo	0.25
n_#>	#>	0.25
ˈe	j	0.242
u	-	0.227
i	a	0.222
ə	i	0.194
ʒ	-	0.188
ˈe	ˈi	0.182
w	s	0.182
w	-	0.182
r	ˈɛ_r	0.182
ˈɔ	ˈuː	0.179
ˈu	-	0.167
ɡ	-	0.167
<#_ʎ	<#_j	0.167
ʎ	j	0.158
ˈɔ	ˈɔ	0.154
ˈɔ	ˈo	0.154
ɲ	ŋ	0.154
ɲ	n	0.154
s	ʧ	0.139
ˈɔ	w_ˈɛ	0.128
ˈɔ	w_ˈa	0.128
ˈu	ˈuː	0.125
ˈɛ	ˈiː	0.121
ˈɛ	j	0.121
ˈɛ	-	0.121
ˈe	ˈe	0.121
ˈe	j_ˈɛ	0.121
ˈi	ˈiː	0.115
#>	ʧ_#>	0.115
ə	a	0.112
ʎ	i	0.105
d	-	0.105
ˈo	ˈu	0.1
ˈo	ˈoː_r	0.1
n	ɲ	0.1
ˈɛ	ˈɛ	0.091
ˈɛ	ˈeː	0.091
ˈɔ	w_ˈi	0.077
ˈɔ	w	0.077
ˈɔ	-	0.077
ˈi	ˈɛ	0.077
#>	o_#>	0.077
b	z_v	0.067
ˈe	-	0.061
s	p	0.056
ɾ	z	0.054
ɾ	a_r	0.054
ɾ	-	0.054
