Saterland Frisian	East Low German	probability
a	ˈae̯	0.525
a	n	0.475
b	b	0.972
d	d	0.622
d	t	0.244
d	-	0.134
f	f	1.0
h	h	1.0
i	ae̯	1.0
j	-	0.52
j	j	0.207
j	ˈɛː	0.085
j	ˈyː	0.078
j	ˈaɪ̯	0.058
j	ɡ	0.051
k	k	0.498
k	-	0.271
k	kʰ	0.223
l	l	0.99
m	m	1.0
n	n	0.909
p	p	0.823
p	b	0.105
p	pʰ	0.072
r	r	0.416
r	æ	0.403
r	-	0.116
r	ɾ_æ	0.065
s	ʃ	0.409
s	z	0.328
s	s	0.201
s	kʰ	0.062
t	t	0.741
t	tʰ	0.134
t	d	0.106
v	v	0.782
v	w	0.08
v	-	0.056
w	w	0.577
w	f	0.284
w	-	0.14
x	ç	0.649
x	x	0.262
x	f	0.09
z	s	0.463
z	-	0.266
z	ŋ	0.161
z	z	0.111
ŋ	ŋ	0.954
ə	-	0.927
ə	ɾ	0.069
ɡ	ɡ	1.0
ɣ	ɡ	0.594
ɣ	ŋ	0.126
ɣ	j	0.071
ɣ	ç	0.07
ɣ	ɣ	0.054
ɪ	ɪ	0.569
ɪ	-	0.431
ˈa	ˈɛ	0.536
ˈa	ˈa	0.305
ˈa	ˈʊ	0.158
ˈaː	ˈa	0.589
ˈaː	ˈae̯	0.247
ˈaː	ˈaː	0.165
ˈaːi̯	ˈɒː	0.576
ˈaːi̯	ˈa	0.271
ˈaːi̯	ˈɛ	0.153
ˈaːu̯	ˈiː	0.847
ˈaːu̯	ˈœ	0.153
ˈeː	ˈae̯	0.418
ˈeː	ˈɔʏ̯	0.24
ˈeː	ˈɛ	0.122
ˈeː	ˈeː	0.065
ˈeː	ˈyː	0.062
ˈeː	ˈɛː	0.06
ˈeːu̯	ˈɛː	1.0
ˈi	ˈiː	0.635
ˈi	ˈɛ	0.111
ˈi	ˈɪ	0.088
ˈi	-	0.063
ˈiː	ˈɪ	0.331
ˈiː	ˈiː	0.241
ˈiː	ˈoː	0.225
ˈiː	ˈaː	0.115
ˈoː	ˈaʊ̯	0.316
ˈoː	æ	0.177
ˈoː	ˈae̯	0.122
ˈoː	ˈɒː	0.093
ˈoː	ˈaː	0.062
ˈoː	ˈoː	0.052
ˈoːu̯	ˈaʊ̯	0.336
ˈoːu̯	ˈa	0.286
ˈoːu̯	ˈuː	0.169
ˈoːu̯	ˈɒː	0.147
ˈoːu̯	ˈɔ	0.063
ˈu	ˈaʊ̯	0.57
ˈu	ˈuː	0.169
ˈu	ˈyː	0.167
ˈu	ˈʊ	0.094
ˈuː	-	0.236
ˈuː	ˈuː	0.228
ˈuː	ˈɔ	0.118
ˈuː	ˈœː	0.117
ˈuː	ˈʊ	0.099
ˈuː	ˈaʊ̯	0.081
ˈuː	ˈɒː	0.079
ˈyː	ˈʏ	0.934
ˈyː	ˈyː	0.066
ˈøː	ˈuː	1.0
ˈœː	ˈøː	1.0
ˈɔ	ˈa	0.481
ˈɔ	ˈʏ	0.16
ˈɔ	ˈœː	0.148
ˈɔ	ˈʊ	0.109
ˈɔ	ˈɔ	0.103
ˈɔː	ˈa	0.291
ˈɔː	ˈɒː	0.171
ˈɔː	ˈoː	0.099
ˈɔː	ˈœː	0.095
ˈɔː	ˈɪ	0.075
ˈɔː	ˈuː	0.063
ˈɔː	ˈœ	0.063
ˈɔː	ˈɛ	0.06
ˈɔːɪ̯	ˈae̯	1.0
ˈɛ	ˈɛ	0.209
ˈɛ	ˈa	0.138
ˈɛ	ˈaː	0.138
ˈɛ	ˈœ	0.138
ˈɛ	ˈʊ	0.138
ˈɛ	ˈʏ	0.111
ˈɛ	ˈɒː	0.076
ˈɛ	ˈɪ	0.052
ˈɛɪ̯	ˈɔʏ̯	0.345
ˈɛɪ̯	ˈae̯	0.201
ˈɛɪ̯	ˈiː	0.13
ˈɛɪ̯	ˈɒː	0.129
ˈɛɪ̯	ˈoː	0.102
ˈɛɪ̯	ˈaɪ̯	0.057
ˈɛː	ˈʏ	0.338
ˈɛː	-	0.189
ˈɛː	ˈaː	0.189
ˈɛː	ˈa	0.131
ˈɛː	ˈiː	0.115
ˈɪ	ˈɪ	0.933
ˈɪ	ˈɛ	0.067
ˈʊ	ˈʊ	0.725
ˈʊ	ˈʏ	0.083
ˈʊ	ˈoː	0.056
