Campidanese	Campidanese	probability
β	β	1.0
ˈɛ_u	ˈe_w	1.0
ˈɔ_n	ˈo	1.0
ˈi_n	ˈi_ɲ	1.0
ˈa_m	ˈa_m	1.0
ˈa_i	ˈa_ɾ	1.0
ʧ	-	1.0
ʦ	θ	1.0
ɾ_i	ɾ	1.0
ɾ_a	ɾ_ɐ	1.0
ɲ	ɲ	1.0
ɛ	-	1.0
ŋ	ŋ	1.0
z_ˈa	s_ˈo	1.0
z_ɔ̆_#>	s_#>	1.0
z_ŭ_#>	#>	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_ɛ	w_t	1.0
t_u	ʊ	1.0
p_ˈo	p_o	1.0
p_ɾ	ʧ	1.0
n_ʤ	ɲ	1.0
n_u	ŋ	1.0
n_i	ŋ	1.0
n_a_#>	#>	1.0
n_a	ɐ	1.0
m	m	1.0
l_u	ʊ	1.0
ĭ	-	1.0
i_ɾ	ˈe	1.0
i_n	ɪ	1.0
i_#>	#>	1.0
f_ɾ	ʧ	1.0
f	f	1.0
b_ˈa	b_ˈa	1.0
ă_#>	#>	1.0
a_ð	a_ð	1.0
a_r	r	1.0
<#_ʧ	<#_θ	1.0
<#_ʤ	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_i	<#_e	1.0
<#_a	<#	1.0
#>	ɐ_#>	1.0
k	k	0.947
b	b	0.938
p	p	0.926
<#_s	<#_s	0.895
d	d	0.857
z	s	0.846
ʒ	θ	0.818
ɡ	ɡ	0.8
ɖː	l	0.8
a	ɐ	0.794
n	n	0.778
t	t	0.758
<#_ˈa	<#_ˈa	0.75
u	ʊ	0.699
ɾ	ɾ	0.691
ð	ð	0.688
ˈɛ	ˈɛ	0.667
j	j	0.667
l	-	0.643
ˈɛ_n	ˈe_n	0.625
ɣ	ɣ	0.625
ˈi	ˈi	0.605
ʤ	ʃ	0.6
w	w	0.6
nː	n	0.6
e	e	0.6
ˈa	ˈa	0.596
ɭː	ɟ	0.571
r	r	0.571
o	o	0.571
ɔ	o	0.556
s	s	0.545
ˈɔ	ˈo	0.5
ˈe	ˈɛ	0.5
ʃ	ʃ	0.5
ʃ	-	0.5
ˈu	ˈu	0.474
ˈo	ˈo	0.458
i	ɪ	0.444
ˈɔ	ˈɔ	0.429
ɭː	l	0.429
r	ɾ_n	0.429
o	-	0.429
ʤ	-	0.4
w	-	0.4
nː	ɲ	0.4
e	-	0.4
ˈu	ˈo	0.395
ˈɛ_n	ˈe	0.375
ˈe	ˈe	0.357
l	l	0.357
ˈi	ˈe	0.342
ˈɛ	ˈe	0.333
ɔ	-	0.333
j	-	0.333
s	e_s	0.318
ð	-	0.312
ˈo	ˈɔ	0.292
ɣ	ɟ	0.25
<#_ˈa	<#_a	0.25
n	-	0.222
ɡ	-	0.2
ɖː	-	0.2
ʒ	-	0.182
t	j_t	0.182
ˈa	ˈɑ	0.17
ˈo	-	0.167
ɾ	-	0.164
a	a	0.162
z	-	0.154
ˈe	ˈe_j	0.143
d	ð	0.143
s	-	0.136
ɣ	θ	0.125
ɔ	ɔ	0.111
i	i	0.111
ˈa	-	0.106
<#_s	<#	0.105
i	e	0.093
i	-	0.093
ˈa	a	0.085
ˈo	ˈɔ_β	0.083
ˈu	ˈɔ	0.079
p	β	0.074
i	ɾ	0.074
i	j	0.074
ˈɔ	-	0.071
u	o	0.065
b	-	0.062
t	-	0.061
i	ˈi	0.056
i	ˈe_ɾ	0.056
ɾ	ˈe	0.055
ɾ	l	0.055
ˈu	-	0.053
ˈi	-	0.053
k	θ	0.053
