Zeelandic	Zeelandic	probability
ˈɒː	-	1.0
ˈɑu̯	ˈɔː	1.0
ˈæi̯	-	1.0
ˈuːə̯	-	1.0
ˈoː	-	1.0
ˈiːə̯	ˈeː	1.0
ˈeː	-	1.0
ɫ_ə	l	1.0
ə_ɫ	ə_l	1.0
ə_v̥	ˈɪə̯_l	1.0
ə_n	n	1.0
ə_#>	#>	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
w	-	1.0
v̥_#>	f_#>	1.0
v̥	v_ə	1.0
s_x	s_k	1.0
p	p	1.0
n_d̥	n_ə	1.0
m	m	1.0
l	l	1.0
k	k	1.0
iː	j_ɪ	1.0
i	ɪ	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_ə	ə	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_x	<#_ɡ	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_d	<#	1.0
<#	<#_h	1.0
ə	ə	0.962
t	t	0.958
n	n	0.953
v	f	0.913
ɫ	l	0.895
ɾ	r	0.862
z	s	0.84
s	s	0.696
d	d	0.692
ʋ	ʋ	0.583
ˈøː	-	0.571
ˈyː	ˈuː	0.571
ˈuː	ˈuə̯	0.571
ˈæ	ˈɛ	0.533
ˈʊə̯	ˈɪə̯	0.526
ˈɑ	ˈa	0.5
ˈu	ˈɔ	0.5
ˈu	ˈuə̯	0.5
x	χ	0.48
ˈɪ	ˈɪ	0.467
ˈuː	ˈiə̯	0.429
ˈɔ	ˈɔ	0.421
ˈɪə̯	ˈiə̯	0.385
ˈʏ	ˈɪ	0.375
ˈʏ	-	0.375
ˈi	ˈɪ	0.333
x	ɣ	0.32
ˈɪə̯	ˈɪə̯	0.308
d	t	0.308
s	s_k	0.304
ˈɛː	ˈiə̯	0.292
ˈøː	ˈoə̯	0.286
ˈi	ˈiː	0.267
ˈʏ	ˈɔ	0.25
ˈiː	ˈiə̯	0.25
ˈiː	j	0.25
ʋ	v	0.25
ˈʊə̯	ˈoə̯	0.211
ˈɔ	-	0.211
ˈɛː	ˈaː	0.208
ˈɪ	ˈi	0.2
ˈæ	ˈɪ	0.2
ˈi	ˈi	0.2
ˈi	-	0.2
ˈɑ	ˈɔː	0.167
ˈɑ	ˈaː	0.167
ˈɑ	-	0.167
ˈʊə̯	-	0.158
ˈɔ	ˈu	0.158
ˈɪə̯	ˈaː	0.154
ˈɪə̯	-	0.154
ˈøː	ˈy	0.143
ˈyː	ˈyː	0.143
ˈyː	ˈiː	0.143
ˈyː	-	0.143
ɾ	-	0.138
ˈɪ	ˈiː	0.133
ˈɪ	j_ˈɔ	0.133
ˈæ	ˈɛi̯	0.133
ˈæ	-	0.133
ˈɛː	ˈɪə̯	0.125
ˈɛː	-	0.125
ˈiː	ˈɪ	0.125
ˈiː	ˈiː	0.125
ˈiː	j_ˈɪ	0.125
ˈiː	j_ˈuə̯	0.125
x	j	0.12
ˈʊə̯	ˈuː	0.105
ˈɔ	ˈuː	0.105
ˈɔ	ˈoə̯	0.105
v	v	0.087
ˈɛː	ˈø	0.083
ˈɛː	ˈoə̯	0.083
ˈɛː	h_ˈa	0.083
ʋ	ʋ_ˈaː	0.083
ʋ	-	0.083
z	ɕ	0.08
z	z	0.08
x	z	0.08
ˈɪ	ˈøə̯	0.067
ɫ	l_ˈɛː	0.053
ɫ	-	0.053
