Belarusian	Bulgarian	probability
ˈɨ	ˈi	1.0
ˈu	ˈɤ	1.0
ˈi	ˈi	1.0
ˈa	ˈa	1.0
ʦʲ_#>	#>	1.0
ʦʲ	t	1.0
ʦ	ʦ	1.0
ʣʲ	d	1.0
ʐ	ʒ	1.0
ʌ	-	1.0
ʂ	ʃ	1.0
ɫ	ɫ	1.0
ɨ_#>	#>	1.0
ɨ	i	1.0
ɣ	ɡ	1.0
æ	ɛ	1.0
zʲ	z	1.0
z	z	1.0
v_ɨ	f	1.0
v	v	1.0
u	ɐ	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
r_a	r_ɛ	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n	1.0
n_ɨ	ɛ_n	1.0
n	n	1.0
mʲ	m	1.0
lʲ_#>	ɫ_#>	1.0
kʲ_i	ɐ_k	1.0
k	k	1.0
d	d	1.0
b	b	1.0
a_ʦʲ	ɐ_t	1.0
a_r	r	1.0
<#_ʦʲ	<#_t	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_a	<#_ˈɔ	1.0
#>	ɐ_#>	1.0
m	m	0.778
vʲ	v	0.727
e	ɛ	0.667
x	x	0.625
w	ɫ	0.6
ʧ	ʧ	0.571
lʲ	l	0.556
ˈɵ	ˈɤ	0.5
ˈɵ	ˈɛ	0.5
ˈæ	ˈɛ	0.5
ˈe	ˈa	0.476
lʲ	lʲ	0.444
ˈe	ˈɛ	0.429
ʧ	t	0.429
w	f	0.4
a	o	0.4
x	k	0.375
ˈo	ˈɔ	0.342
e	ɐ	0.333
vʲ	vʲ	0.273
ˈæ	ˈa	0.25
ˈæ	ɛ	0.25
ˈo	ˈɤ	0.237
m	-	0.222
a	ɐ	0.2
ˈo	ˈa	0.132
a	ˈɔ	0.114
a	ˈa	0.114
ˈo	o	0.105
ˈe	ˈɤ	0.095
a	ˈɛ	0.086
a	ɛ	0.086
ˈo	ˈɛ	0.079
ˈo	ɐ	0.053
ˈo	-	0.053
