Mecklenburgisch-Vorpommersch	Old West Norse	probability
ˈɔʏ̯	ˈøː	1.0
ˈøː	ˈo	1.0
ˈyː	ˈyː	1.0
ˈeː	ˈɑː	1.0
ˈaɪ̯	-	1.0
ɪ	ɑ	1.0
ɣ̊	ɣ	1.0
ɣ	ˈiː	1.0
ɡ̊	ɡ_r̥	1.0
ŋ_k	kː	1.0
z	s	1.0
w	v	1.0
tʰ	tʰ	1.0
s	s	1.0
r	r	1.0
pʰ	pʰ	1.0
j	ɟ	1.0
f	f	1.0
d_n	ð_ɑ	1.0
d	θ	1.0
b_m	v_ɑ	1.0
b	b	1.0
ae̯	ɑː	1.0
p	p	0.921
h	h	0.878
ˈʊ	ˈu	0.87
m	m	0.86
kʰ	kʰ	0.77
ŋ	ŋ	0.767
t	t	0.767
ˈaː	ˈɑ_r	0.759
l	l	0.746
k	k	0.709
ˈiː	ˈiː	0.597
ˈa	ˈɑ	0.586
ɡ	ɟ	0.581
v	x	0.56
æ	r	0.547
ˈɔ	ˈu	0.529
x	-	0.519
d̥	ð	0.514
ɾ	ð_i	0.504
ˈœ	ˈo	0.5
ˈœ	-	0.5
ɾ	ð	0.496
ˈɪ	ˈi	0.481
x	tː	0.481
ˈɛ	ˈe	0.451
v	v	0.44
n	n	0.44
ˈuː	ˈuː	0.437
ˈoː	-	0.427
ˈʏ	-	0.426
ˈae̯	ˈɛi̯	0.423
ˈɛː	ˈe	0.421
ɡ	ɣ	0.419
ˈɒː	ˈɑː	0.418
ˈoː	ˈɑː	0.41
ˈaʊ̯	ˈoː	0.397
ʃ	s	0.387
ˈɒː	ˈɑ	0.379
v̥	v_r̥	0.371
ˈœː	ˈy	0.366
v̥	v	0.349
ˈɛː	-	0.333
ˈœː	ˈo	0.317
ˈœː	-	0.317
ʃ	s_c	0.311
ˈʏ	ˈy	0.304
ʃ	s_k	0.302
ç	ɣ	0.287
ç	ɡ	0.287
ç	r̥	0.287
ˈae̯	j	0.285
v̥	f_r̥	0.28
ˈɔ	-	0.279
ˈuː	ˈo	0.277
ˈʏ	ˈu	0.27
ˈɛ	-	0.268
ˈiː	j	0.261
ˈɛː	ˈɛ	0.246
ˈaː	ˈɑ	0.241
ˈae̯	-	0.23
kʰ	cʰ	0.23
ˈaʊ̯	ˈɑu̯	0.217
ˈɪ	-	0.211
l	lː	0.209
ˈɒː	ˈo	0.203
ˈɔ	ˈoː	0.192
n	nː	0.183
n	ɑ	0.176
ˈɛ	j_ˈɔ	0.163
ˈoː	ˈɑu̯	0.163
ŋ	ˈuː_ɣ	0.159
d̥	ð_r̥	0.157
k	cː	0.155
ˈuː	ˈu	0.148
ˈiː	ˈyː	0.142
ç	-	0.139
d̥	d_r̥	0.139
d̥	d	0.139
ˈa	-	0.138
ˈuː	-	0.137
k	c	0.136
ˈʊ	-	0.13
ˈɪ	ˈe	0.125
h	ç	0.122
ˈɛ	ˈɑ	0.118
æ	i	0.117
ˈaʊ̯	ˈɑː	0.111
æ	r̥ː	0.108
t	tː	0.105
ˈaʊ̯	ˈɑ	0.104
m	v	0.097
æ	r_i	0.093
ˈa	ˈɑː	0.087
ˈa	ˈɔ	0.082
p	pː	0.079
ŋ	ʝː	0.075
t	-	0.074
ˈɪ	ˈy	0.072
ˈaʊ̯	-	0.07
ˈaʊ̯	ˈɔː	0.068
æ	r̥	0.068
ˈɪ	ˈɛi̯	0.065
ˈae̯	j_ˈuː	0.062
n	n_d	0.059
n	-	0.058
ˈa	ˈɛ	0.054
ˈa	w_ˈɑ	0.053
d̥	r̥	0.051
