Campidanese	Campidanese	probability
β_ɛ	b	1.0
ˈɛ_u	ˈɪ_w	1.0
ˈɔ_ɾ	ˈu	1.0
ˈi_ɾ	ˈi	1.0
ˈi_ɣ	ˈɛ	1.0
ˈi_ð	ˈɪ	1.0
ˈi_s	ˈɪ_l	1.0
ˈa_t	ˈa	1.0
ʧ_ˈi	ɥ	1.0
ʦ_a	s_ɔ	1.0
ɾ_ˈa	ˈa	1.0
ɾ_a	ʀ_ɔ	1.0
ɣ_u	k	1.0
ɛ	-	1.0
ɔ̆	-	1.0
ŋ	ŋ	1.0
ð_a	ɔ	1.0
z_u	lː	1.0
w	-	1.0
u_z	s	1.0
u_#>	#>	1.0
t_u	j	1.0
t_i	j	1.0
s_ˈa	s_ˈa	1.0
s_t	t	1.0
r	ʀ	1.0
p_ˈi	pʲ	1.0
n_ʤ	ɲ	1.0
n_u	ŋ	1.0
n_t	ŋ	1.0
m_i_n_i_#>	m_#>	1.0
ĭ_#>	#>	1.0
i_ɾ	e	1.0
i_#>	#>	1.0
e	-	1.0
b_ɾ	v	1.0
ă	-	1.0
<#_ˈa	<#_ˈã	1.0
<#_ʤ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
f	f	0.857
p	p	0.846
m	m	0.846
ð	d	0.8
ʧ	s	0.75
o	-	0.75
a	ɔ	0.738
ɡ	ɡ	0.714
ɖː	l	0.714
t	t	0.706
l	l	0.684
ɾ	ʀ	0.681
ʃ	s	0.667
ɔ	u	0.667
d	d	0.667
<#_a	<#	0.667
ˈe	ˈe	0.647
ˈa	ˈa	0.64
ŭ	-	0.625
β	b	0.6
ʤ	ʤ	0.6
z	-	0.6
nː	ŋ	0.6
<#_l	<#_l	0.6
ˈu	ˈu	0.586
ɭː	ʎ	0.571
ʒ	s	0.556
ɣ	ʎ	0.556
s	s	0.517
ˈɛ	ˈe	0.5
p_ɾ	p_l	0.5
p_ɾ	p	0.5
k	ʧ	0.486
k	k	0.459
n	ŋ	0.441
ɭː	l	0.429
j	ə	0.429
b	b	0.423
ˈi	ˈi	0.414
n	n	0.412
β	ʤ	0.4
ʤ	-	0.4
nː	-	0.4
<#_l	<#_ʎ	0.4
b	v	0.385
ŭ	ə	0.375
i	ə	0.362
ʒ	z	0.333
ʃ	-	0.333
ɔ	-	0.333
u	ə	0.333
<#_a	<#_ɒ	0.333
ˈo	w_ˈɔ	0.292
ɡ	k	0.286
ɖː	-	0.286
j	ʤ	0.286
j	-	0.286
ˈu	ˈy	0.276
ˈi	ˈɪ	0.276
s	ɪ	0.276
i	-	0.255
ˈɛ	ˈɪ	0.25
ʧ	ʃ	0.25
o	œ	0.25
ˈɔ	ˈœ	0.24
ɣ	ʤ	0.222
ɣ	-	0.222
ˈa	ˈã	0.22
ˈɔ	ˈɔ	0.2
ˈɔ	w	0.2
ð	-	0.2
z	t	0.2
z	s	0.2
d	-	0.2
b	vʲ	0.192
u	-	0.185
ˈɛ	ˈẽ	0.179
t	ʧ	0.176
ˈi	ˈĩ	0.172
l	ˈa_l	0.158
l	-	0.158
p	-	0.154
u	w	0.148
f	fʲ	0.143
ˈi	-	0.138
s	-	0.138
d	j	0.133
a	ɒ	0.131
ˈo	ˈɔ	0.125
ˈo	ˈũ	0.125
ˈo	ˈu	0.125
ˈo	w_ˈɔ̃	0.125
ˈo	w	0.125
ˈɔ	w_ˈɔ	0.12
ˈe	ˈẽ	0.118
ˈe	ˈa	0.118
ˈe	-	0.118
t	-	0.118
ʒ	ʒ	0.111
u	ʎ	0.111
u	j	0.111
ɾ	w	0.106
ˈa	ˈe_j	0.1
n	-	0.088
ɾ	l	0.085
ɾ	-	0.085
i	ʀ_ə	0.085
i	ɔ	0.085
ˈo	ˈœ	0.083
ˈɔ	ˈa_w	0.08
ˈɔ	u	0.08
ˈɔ	-	0.08
m	ʀ	0.077
m	mʲ	0.077
u	y	0.074
ˈɛ	ˈɪ̃	0.071
ˈu	ˈỹ	0.069
ˈu	w	0.069
s	ˈɔ	0.069
i	w	0.064
n	ɲ	0.059
k	k_w	0.054
