Venetian	Franco-Provençal	probability
a	a	0.647
a	ə	0.155
a	-	0.103
b	b	0.945
b	ʒ	0.057
d	d	0.478
d	-	0.352
d	ʒ	0.068
d	v	0.051
e	-	0.61
e	ə	0.179
e	j	0.056
e_r	ə	1.0
e_ɡ	ə	0.239
f	f	1.0
i	-	0.433
i	j	0.152
i	ĩ	0.1
i	ə	0.1
i	i	0.088
i	e	0.076
j	l	0.377
j	j	0.293
j	-	0.2
j	ʎ	0.088
k	k	0.447
k	ʃ	0.397
k	-	0.097
k	t	0.051
k_o	t	0.371
k_o	k	0.181
l	l	0.476
l	ˈoː	0.221
l	-	0.139
l	ʁ	0.097
l	w	0.051
m	m	0.897
m	-	0.062
n	n	0.797
n	-	0.13
o	-	0.577
o	o	0.196
o	l	0.085
p	p	0.914
p	-	0.084
r	ʁ	0.834
r	ʁ_ə	0.072
r	-	0.055
r_e	ʁ	1.0
r_t	ʁ	1.0
s	s	0.743
s	-	0.141
s_o	ʃ	1.0
s_t	t	1.0
t	t	0.603
t	-	0.365
t_o	ˈɛ	0.426
t_o	ˈi	0.102
u	y	0.574
u	oː	0.281
v	v	0.744
v	-	0.13
v	ð	0.073
v_e	f	1.0
w	-	0.394
w	w	0.276
w	ɡ	0.158
w	ɔ	0.111
z	-	0.23
z	z	0.227
z	ð	0.181
z	ʒ	0.171
z	s	0.059
z_e	ʃ	1.0
ŋ	-	0.465
ŋ	ɔ̃	0.141
ŋ	ĩ	0.102
ŋ	ˈɛ̃	0.096
ŋ	ɡ	0.076
ŋ	n	0.069
ŋ_t	ˈɛ̃	1.0
ɡ	-	0.499
ɡ	ɡ	0.405
ɡ	ʃ	0.076
ɡ_o	ˈa	0.891
ɡ_o	k	0.067
ɰ	l	0.963
ɰ_o	ə	0.45
ɰ_o	ˈoː	0.334
ɲ	ɲ	0.618
ɲ	n	0.367
ɲ_o	ˈɛ̃	1.0
ʤ	ʎ	0.298
ʤ	ɡ	0.196
ʤ	ʃ	0.196
ʧ	k	0.74
ʧ	ʎ	0.134
ʧ_o	ʎ	0.803
ʧ_o	j	0.117
ˈa	ˈa	0.36
ˈa	ˈɔ	0.222
ˈa	ˈɛ	0.141
ˈa	-	0.082
ˈa_r	ˈa	0.659
ˈa_r	ˈɛ	0.305
ˈa_s	ˈa	1.0
ˈa_ŋ	ˈɑ̃	0.782
ˈa_ŋ	ˈɛ̃	0.187
ˈe	ˈeː	0.358
ˈe	ˈɛ	0.284
ˈe	ˈi	0.127
ˈe	-	0.077
ˈe_a	ˈɛ	1.0
ˈe_ŋ	ˈɛ̃	1.0
ˈi	ˈi	0.551
ˈi	ˈe	0.199
ˈi	ə	0.076
ˈi	ˈɛ	0.06
ˈi	-	0.052
ˈi_r	ˈi	1.0
ˈi_ŋ	ˈĩ	0.813
ˈi_ŋ	ˈɛ̃	0.186
ˈo	ˈɔ	0.205
ˈo	w	0.173
ˈo	ˈo	0.152
ˈo	ˈu	0.097
ˈo	ˈø	0.089
ˈo	ˈɔ̃	0.069
ˈo	w_ˈeː	0.051
ˈo_z	w	0.117
ˈo_ŋ	ˈɔ̃	1.0
ˈo_ɡ	w	0.239
ˈu	ˈo	0.236
ˈu	ˈu	0.225
ˈu	w	0.132
ˈu	ˈoː	0.129
ˈu	ˈɔ̃	0.112
ˈu	ˈe	0.061
ˈu	ˈɔ	0.056
ˈɔ	ˈoː	0.245
ˈɔ	ˈø	0.163
ˈɔ	ˈu	0.154
ˈɔ	ˈo	0.119
ˈɔ	w	0.086
ˈɔ	w_ˈe	0.08
ˈɔ_s	ˈoː	0.489
ˈɛ	ˈɛ	0.487
ˈɛ	ˈeː	0.208
ˈɛ	ˈi	0.118
ˈɛ	j_ˈø	0.065
