Eastern Lombard	Eastern Lombard	probability
ˈɛ_#>	ˈɛ_#>	1.0
ˈø_l	ˈɔə̯_l	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈa_t	ˈa_t	1.0
ˈa_s	ˈa_s	1.0
ˈa_r	ˈeə̯_r	1.0
ˈa_l	ˈeə̯_l	1.0
ʋ	v	1.0
ø	-	1.0
y	u	1.0
w	v	1.0
u	u	1.0
t_#>	d_#>	1.0
s_#>	z_#>	1.0
p_#>	p_#>	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k_#>	ɡ_#>	1.0
e_#>	#>	1.0
d	d	1.0
b	b	1.0
a_l	ɐ_l	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_ɐ	1.0
<#	<#_v	1.0
k	k	0.957
t	t	0.943
r	r	0.927
a	ɐ	0.926
ɡ	ɡ	0.882
j	j	0.857
ɲ	ɲ	0.8
f	f	0.8
ˈu	ˈou̯	0.722
ŋ	ŋ	0.714
e_r	r	0.667
e	ɐ	0.609
ʧ	ʧ	0.6
i	i	0.6
s	s	0.597
ʤ	ʤ	0.571
o	u	0.562
ˈy	ˈu	0.556
ˈi	ˈi	0.516
z	ð	0.5
#>	r_#>	0.5
ˈɛ	ˈɛə̯	0.462
ˈɛ	ˈɛ	0.462
ʤ	-	0.429
ˈa	ˈʌ̃	0.414
ʧ	t	0.4
i	-	0.4
ˈa	ˈeə̯	0.397
ˈɔ	ˈɔ	0.368
ˈɔ	ˈo	0.368
ˈo	ˈɔə̯	0.364
z	z	0.357
ˈø	ˈo	0.348
e_r	r_ɐ	0.333
ˈe	ˈi	0.32
ˈo	ˈo	0.318
o	-	0.312
s	θ	0.29
ŋ	n	0.286
ˈɔ	ˈɔə̯	0.263
ˈø	ˈɔə̯	0.261
ˈi	ˈeː	0.226
ˈy	ˈo	0.222
ˈy	-	0.222
e	i	0.217
#>	v_#>	0.214
ɲ	-	0.2
ˈo	ˈeə̯	0.182
ˈu	ˈõũ̯	0.167
ˈe	ˈɛ	0.16
ˈa	ˈa	0.155
z	ʤ	0.143
j	-	0.143
#>	ˈõũ̯_#>	0.143
#>	n_#>	0.143
ˈo	ˈou̯	0.136
ˈø	ˈɔ	0.13
ˈø	ˈu	0.13
ˈø	ˈou̯	0.13
e	-	0.13
o	o	0.125
ˈe	ˈẽ_n	0.12
ˈe	ˈẽ	0.12
ˈe	ˈeː	0.12
ɡ	-	0.118
ˈu	ˈɔ	0.111
f	v_ɐ	0.1
f	v	0.1
ˈi	ˈẽ	0.097
ˈi	-	0.097
ˈe	-	0.08
ˈɛ	ˈeː	0.077
ˈi	ˈẽ_j̃	0.065
t	t_ɐ	0.057
