Yiddish	Westphalian	probability
b	b	0.744
b	v	0.144
b	f	0.093
b	-	0.033
d	d	0.719
d	-	0.28
f	f	0.748
f	p	0.168
f	v	0.039
f	b	0.037
h	h	0.933
h	k	0.067
j	j	1.0
k	k	0.668
k	ç	0.19
k	-	0.104
k	ɣ	0.043
l	l	1.0
m	m	0.902
m	v	0.054
m	n	0.051
n	n	0.837
n	-	0.132
n	m	0.03
p	p	1.0
s	t	0.713
s	s	0.285
t	d	0.476
t	t	0.414
t	-	0.1
v	w	0.889
v	s	0.062
v	v	0.052
z	s	0.895
z	z	0.095
ŋ	ŋ	0.907
ŋ	n	0.087
ə	ɐ	0.575
ə	-	0.364
ə	ə	0.059
ɛ	ə	0.241
ɛ_m	m	1.0
ɡ	x	0.424
ɡ	-	0.347
ɡ	ɡ	0.142
ɡ	ŋ	0.045
ɡ	ç	0.04
ɪ	ɪ	1.0
ʀ	-	0.458
ʀ	r	0.385
ʀ	ɐ	0.141
ʁ	-	0.574
ʁ	r	0.282
ʃ	ʃ	0.939
ʃ	-	0.061
ʎ	l	1.0
ʦ	t	1.0
ʧ	ʃ_k	1.0
ˈa	ˈa	0.649
ˈa	ˈɔ	0.106
ˈa	ˈɪɛ̯	0.083
ˈa	ˈaː	0.078
ˈa	ˈɪ	0.036
ˈaɪ̯	ˈiː	0.49
ˈaɪ̯	ˈyː	0.167
ˈaɪ̯	ˈɪ	0.134
ˈaɪ̯	ˈɪə̯	0.077
ˈaɪ̯	ˈø	0.064
ˈi	ˈyːœ̯	0.491
ˈɔ	ˈɔː	0.268
ˈɔ	ˈa	0.233
ˈɔ	ˈaː	0.071
ˈɔ	ˈuːə̯	0.071
ˈɔ	ˈɛ	0.071
ˈɔɪ̯	ˈaʊ̯	0.514
ˈɔɪ̯	ˈuː	0.176
ˈɔɪ̯	ˈʊ	0.099
ˈɔɪ̯	ˈaɪ̯	0.057
ˈɔɪ̯	ˈɔ	0.052
ˈɛ	ˈɛ	0.278
ˈɛ	ˈɪɛ̯	0.247
ˈɛ	ˈaɪ̯	0.133
ˈɛ	ˈɛː	0.091
ˈɛ	ˈʏ	0.052
ˈɛɪ̯	ˈeː	0.613
ˈɛɪ̯	ˈaɪ̯	0.199
ˈɛɪ̯	ˈøː	0.085
ˈɛɪ̯	ˈɪ	0.085
ˈɪ	ˈɪ	0.42
ˈɪ	ˈaɪ̯	0.116
ˈɪ	ˈøː	0.106
ˈɪ	ˈiː	0.076
ˈɪ	ˈɛ	0.068
ˈʊ	ˈoː	0.344
ˈʊ	ˈʊ	0.201
ˈʊ	ˈuːə̯	0.158
ˈʊ	ˈuː	0.07
ˈʊ	ˈaʊ̯	0.062
χ	x	0.432
χ	k	0.432
χ	-	0.066
χ	ç	0.066
χ_t	ç	1.0
