Bellunese	Bellunese	probability
ˈo_v	ˈo	1.0
ˈi_o	ˈe_w	1.0
ˈe_r	e̯ˈa_r	1.0
ˈe_d	e_d	1.0
ʧ_o	kʲ	1.0
ʧ_a	k_e	1.0
ʧ	k	1.0
ʤ	ɡ	1.0
ɲ	-	1.0
w	-	1.0
t_ˈɛ	ʦ	1.0
t_o	p_t	1.0
s_#>	#>	1.0
r_m	r_m	1.0
o_#>	#>	1.0
n_i	nʲ	1.0
n	n	1.0
m	m	1.0
l_a	e̯ˈa	1.0
k_w	p	1.0
k_r	k_r	1.0
k	k	1.0
j_ˈe	ˈe	1.0
e_r	e_r	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ɡ	1.0
#>	e_#>	0.927
ˈi	ˈi	0.9
p	p	0.882
r	r	0.836
b	b	0.833
f	f	0.824
ˈu	ˈu	0.75
ð	ʤ	0.75
t	t	0.72
ˈa	ˈa	0.705
s	s	0.704
a	ə	0.686
l_#>	r_#>	0.667
ɡ	k	0.615
ŋ	n	0.609
ŋ_#>	n_#>	0.6
θ	ʧ	0.562
j	j	0.556
ˈo	ˈu	0.517
z	ʧ	0.5
z	-	0.5
v	v	0.5
v	-	0.5
l	l	0.5
i	i	0.5
i	-	0.5
d	d	0.5
ˈe	ˈe	0.448
j	l	0.444
<#	<#_a	0.429
o	u	0.423
ˈɔ	o̯ˈa	0.417
l	r	0.389
e	e	0.36
l_#>	#>	0.333
ˈɛ	j_ˈe	0.312
ˈe	ˈi	0.31
<#	<#_m	0.286
<#	<#_j	0.286
o	e	0.269
θ	ʦ	0.25
ˈɛ	j	0.25
ˈɔ	ˈo	0.25
ˈu	ˈo	0.25
ð	ʒ	0.25
e	ə	0.24
ɡ	-	0.231
ˈa	ˈɨ	0.227
d	z	0.227
ˈo	o̯ˈa	0.207
ŋ_#>	m_#>	0.2
ŋ_#>	#>	0.2
t	p_t	0.2
θ	-	0.188
ˈɛ	ˈe	0.188
d	t	0.182
f	-	0.176
ˈɔ	ˈu	0.167
ˈɔ	ˈau̯	0.167
b	f_r	0.167
e	i	0.16
e	-	0.16
ɡ	ɡ	0.154
o	o	0.154
s	ʃ_t	0.148
s	ʃ	0.148
ˈo	ˈo	0.138
a	e	0.137
ŋ	-	0.13
ˈɛ	u_m	0.125
ˈɛ	-	0.125
p	-	0.118
l	-	0.111
ˈe	-	0.103
ˈi	-	0.1
d	-	0.091
ŋ	ŋ	0.087
ŋ	m	0.087
ŋ	j_n	0.087
t	-	0.08
e	ˈe	0.08
a	-	0.078
o	w	0.077
o	-	0.077
#>	ə_#>	0.073
ˈo	ˈu_p	0.069
ˈo	ˈo_j	0.069
ˈe	ˈɨ	0.069
ˈe	e	0.069
ˈa	-	0.068
a	a	0.059
r	ˈa_r	0.055
