Ligurian	Ligurian	probability
ˈu_s	ˈu_t	1.0
ˈi	ˈi	1.0
ˈe_j	ˈɛ_ɾ	1.0
ʒ_e	k_ɛ	1.0
ʒ	-	1.0
ʃ	s	1.0
ɥ	a_ð	1.0
ɡ_u	k_u	1.0
ŋ_ɡ	m	1.0
ŋ_k_w	m	1.0
z_u	z_u	1.0
y	u_z	1.0
w_ˈɛː	ˈa	1.0
w	-	1.0
t_r	z	1.0
t	t	1.0
sː	β_j	1.0
s_ˈi	k_ˈi	1.0
r_t	ɾ_t	1.0
r_n	r	1.0
o	-	1.0
l_ˈeː	ˈi_s	1.0
j_ˈaː	ˈɔ_j	1.0
j_a	ɾ_a	1.0
j_#>	z_ɛ̆_#>	1.0
f	f	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_f_ɾ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
k	k	0.944
p	p	0.939
ˈa	ˈa	0.931
m	m	0.931
a	a	0.917
r	ɾ	0.861
u	u	0.843
ˈy	ˈu	0.818
ˈuː	ˈu	0.8
ˈyː	ˈu	0.75
ɡ	k	0.75
ŋ	n	0.736
l	l	0.735
#>	u_#>	0.688
ˈø	ˈɔ	0.667
d	d	0.632
ʧ	p_ɾ	0.6
i	i	0.6
<#	<#_a	0.6
ˈøː	ˈo	0.583
z	ɡ	0.583
s	s	0.577
ˈaː	ˈa_ɾ	0.517
ˈɛ	ˈɛ	0.5
v	b	0.5
e	ɛ	0.5
ˈaː	ˈa	0.483
j	-	0.462
ˈiː	ˈi	0.444
ˈɔ	ˈo	0.429
ˈu	ˈɔ	0.429
ɲ	n_ʣ	0.429
ɲ	-	0.429
ʤ	ʣ	0.421
ˈøː	ˈɔ	0.417
n	nː	0.417
n	n	0.417
ˈɔː	ˈɔ	0.4
ˈɔː	ˈo	0.4
ʧ	k_ɾ	0.4
<#	<#_b	0.4
ˈɛː	ˈa	0.385
j	ɾ	0.385
ˈu	ˈu	0.381
ˈeː	ˈɛ	0.375
ˈeː	ˈe	0.375
ˈø	-	0.333
ˈiː	ˈi_ɾ	0.333
ˈe	ˈi	0.333
ˈe	ˈɛ	0.303
ˈe	ˈe	0.303
v	β	0.294
ˈɔ	ˈɔ	0.286
ˈɔ	-	0.286
i	ɔ̆	0.267
ʤ	k_ɾ	0.263
ˈɛ	a_ɾ	0.25
ˈɛ	-	0.25
ˈyː	ˈu_ɾ	0.25
ɡ	ɣ	0.25
z	-	0.25
ˈɛː	ˈɛ	0.231
ˈɛː	ˈe	0.231
ˈiː	ˈɛ	0.222
ʤ	-	0.211
d	-	0.211
l	ɖː	0.206
ˈɔː	-	0.2
ˈuː	-	0.2
ˈu	ˈo	0.19
#>	n_ɛ_#>	0.188
ˈy	-	0.182
s	i_s	0.173
z	ʣ	0.167
n	ŋ	0.167
d	ð	0.158
ˈɛː	-	0.154
s	k	0.154
j	ɛ	0.154
v	p	0.147
ɲ	ɲ	0.143
e	ɛ_ɾ	0.14
i	-	0.133
ˈeː	ˈi	0.125
ˈeː	ˈe_l	0.125
#>	a_#>	0.125
e	i	0.12
e	-	0.12
ʤ	ɾ	0.105
r	r	0.083
ŋ	nː	0.075
ˈa	-	0.069
m	m_a	0.069
ˈe	t_ɛ	0.061
p	b	0.061
u	ɔ	0.06
v	-	0.059
l	-	0.059
s	ʦ	0.058
ŋ	ŋ	0.057
ŋ	m	0.057
r	-	0.056
k	-	0.056
