Russian	Štokavian	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
dʲ	d	1.0
j	j	1.0
m	m	1.0
n	n	1.0
pʲ	p	1.0
rʲ	r	1.0
s	s	1.0
sʲ	s	1.0
v	ʋ	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ɨ	-	1.0
ʂ	ʒ	1.0
ʐ	ʒ	1.0
ˈu	ûː	1.0
ˈɛ	êː	1.0
ˈɵ	-	1.0
lʲ	l	0.841
mʲ	m_j	0.121
ˈa	a	0.931
nʲ	ɲ	0.062
tʲ	t	0.752
ɪ	eː	0.132
ʨ	ʨ	0.312
ˈe	ê	0.342
ˈi	î	0.642
vʲ	ʋ	0.313
ɪ	e	0.103
ɪ	ě	0.313
ˈo	â	0.153
ˈɨ	î	0.453
r	r	0.944
ɐ	ǒ	0.54
ə	e	0.084
ə	o	0.44
ɫ	-	0.254
ˈe	êː	0.084
ˈo	ô	0.304
k	ɡ	0.055
k	k	0.945
p	b	0.065
p	p	0.935
ɐ	ô	0.225
ɐ	ǎː	0.235
ˈe	e	0.145
ˈe	r̩̂	0.255
ˈo	û	0.055
r	r̩̂ː	0.056
ɫ	l	0.746
ˈe	j_êː	0.116
t	t	0.977
vʲ	ʋ_j	0.687
ə	a	0.447
ɪ	-	0.287
ˈe	a	0.057
ˈo	-	0.067
ˈo	ôː	0.307
ˈɨ	i	0.547
nʲ	n	0.938
tʲ	t_i	0.248
ɡ	ɡ	0.98
ɪ	a	0.088
ʦ	ʦ	0.948
ʨ	ʧ	0.688
ˈi	îː	0.138
lʲ	ʎ	0.159
mʲ	m	0.879
ˈa	â	0.069
ˈi	i	0.219
