Old English	Westphalian	probability
a	-	1.0
b	b	0.89
b	-	0.11
bː	b	1.0
d	d	0.672
d	t	0.241
d	-	0.088
dː	d	1.0
e	ɐ	0.535
e	ə	0.403
e	ˈaʊ̯	0.054
eo̯	-	1.0
f	f	0.777
f	v	0.223
h	h	0.943
h	k	0.057
i	ɪ	0.524
i	-	0.476
iːy̯	aɪ̯	1.0
j	x	0.344
j	ç	0.307
j	j	0.13
j	ˈiɛ̯	0.076
j	ŋ	0.06
j	-	0.058
k	k	0.867
k	-	0.092
kː	k	1.0
l	l	0.975
lː	ə	0.714
lː	l	0.286
l̥	l	1.0
m	m	1.0
mː	m	1.0
n	n	0.865
n	-	0.117
nː	ˈyə̯	0.659
nː	n	0.341
o	ɐ	0.811
o	-	0.189
p	p	0.945
p	b	0.055
pː	p	1.0
r	ɐ	0.39
r	r	0.312
r	-	0.299
rː	ç	0.531
rː	n	0.469
r̥	r	1.0
s	s	0.792
s	ʃ	0.208
t	t	0.994
tː	t	1.0
u	ə	1.0
v	v	0.812
v	m	0.124
v	p	0.064
w	w	0.672
w	-	0.235
w	v	0.058
x	x	0.556
x	ç	0.33
x	-	0.115
z	z	0.927
z	s	0.073
ç	x	0.742
ç	ç	0.258
ð	-	0.599
ð	d	0.246
ð	n	0.155
ŋ	ŋ	1.0
ɑ	-	0.859
ɑ	ə	0.141
ɡ	x	0.656
ɡ	-	0.344
ɣ	ɡ	0.431
ɣ	ɣ	0.419
ɣ	ŋ	0.1
ɣ	x	0.051
ɫ	l	0.903
ɫ	-	0.097
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	w	1.0
ʤ	k	0.333
ʤ	ç	0.333
ʤ	ɡ	0.333
ʤː	ɡ	1.0
ʧ	k	1.0
ʧː	k	1.0
ˈe	ˈɛ	0.371
ˈe	-	0.229
ˈe	ˈɪɛ̯	0.213
ˈe	ˈɛː	0.146
ˈeo̯	ˈɪɛ̯	0.524
ˈeo̯	ˈɛː	0.36
ˈeo̯	ˈʏ	0.078
ˈeː	ˈøː	0.418
ˈeː	ˈiː	0.252
ˈeː	ˈɪ	0.142
ˈeː	ɐ	0.098
ˈeː	ˈaʊ̯	0.089
ˈeːo̯	ˈaɪ̯	0.483
ˈeːo̯	ˈɪ	0.114
ˈeːo̯	ˈø	0.071
ˈeːo̯	ˈiː	0.061
ˈeːo̯	ˈeː	0.057
ˈeːo̯	ˈuːə̯	0.057
ˈi	ˈɪ	0.686
ˈi	ˈɛ	0.112
ˈiy̯	ˈɪə̯	0.46
ˈiy̯	ˈa	0.386
ˈiy̯	ˈɪ	0.154
ˈiː	ˈiː	0.893
ˈiː	ˈɪ	0.068
ˈiːy̯	ˈaɪ̯	0.402
ˈiːy̯	ˈœː	0.253
ˈiːy̯	ˈøː	0.233
ˈiːy̯	ˈyː	0.074
ˈo	ˈuːə̯	0.347
ˈo	ˈœː	0.213
ˈo	ˈøː	0.129
ˈo	ˈɔ	0.091
ˈo	ˈɔː	0.084
ˈo	ˈyːœ̯	0.059
ˈoː	ˈoː	0.567
ˈoː	ˈɔː	0.236
ˈoː	ˈaʊ̯	0.077
ˈoː	ˈa	0.057
ˈu	ˈʊ	0.678
ˈu	-	0.097
ˈu	ˈuːə̯	0.097
ˈu	ˈuə̯	0.075
ˈu	ˈa	0.053
ˈuː	ˈuː	0.623
ˈuː	ˈʊ	0.265
ˈuː	ˈaʊ̯	0.112
ˈy	ˈʏ	0.599
ˈy	ˈuːə̯	0.208
ˈy	ˈyː	0.193
ˈyː	ˈuː	0.43
ˈyː	ˈyː	0.327
ˈyː	ˈʏ	0.242
ˈæ	ˈa	0.61
ˈæ	ˈaː	0.313
ˈæ	ˈɛː	0.077
ˈæɑ̯	ˈa	0.752
ˈæɑ̯	ˈɔ	0.127
ˈæɑ̯	ˈaː	0.121
ˈæː	ˈɔː	0.765
ˈæː	ˈaɪ̯	0.14
ˈæː	ˈeː	0.054
ˈæːɑ̯	ˈaʊ̯	0.582
ˈæːɑ̯	ˈɔː	0.38
ˈɑ	ˈa	0.73
ˈɑ	ˈɒː	0.108
ˈɑ	ˈaː	0.071
ˈɑ	ˈɔː	0.069
ˈɑː	ˈeː	0.726
ˈɑː	ˈaɪ̯	0.082
ˈɑː	ˈɪ	0.058
ˈɑː	ˈoː	0.056
ˈɑː	ˈɔː	0.052
ˈɛ	ˈø	1.0
θ	d	0.748
θ	t	0.216
