Old English	North Frisian	probability
a	-	1.0
b	b	0.98
bː	v	1.0
d	d	0.631
d	dʲ	0.154
d	-	0.149
d	t	0.066
dː	d	1.0
e	ə	0.618
e	ˈøː	0.315
e	i	0.053
eo̯	-	1.0
f	f	0.856
f	v	0.068
h	h	1.0
i	i	0.835
i	-	0.165
iː	i	1.0
iːy̯	ɛi̯	1.0
j	ˈɛi̯	0.3
j	j	0.273
j	ɡ	0.221
j	ŋ	0.098
j	-	0.058
k	k	0.956
kː	k	1.0
l	l	0.919
lː	l	1.0
l̥	l	1.0
m	m	0.97
mː	m	1.0
n	n	0.776
n	nʲ	0.146
n	ŋ	0.067
nː	n	1.0
o	ə	0.951
p	p	0.845
p	b	0.128
pː	p	1.0
r	r	0.967
rː	r	1.0
r̥	r	1.0
s	s	0.958
t	t	0.65
t	tʲ	0.203
t	d	0.102
tː	t	1.0
v	v	0.735
v	-	0.265
w	v	0.821
w	-	0.091
w	ˈɔu̯	0.055
x	x	0.844
x	-	0.156
z	s	0.715
z	z	0.285
ç	x	0.805
ç	k	0.195
ð	d	1.0
ŋ	ŋ	1.0
ɑ	ə	1.0
ɡ	ɡ	0.709
ɡ	-	0.291
ɣ	j	0.49
ɣ	w	0.444
ɣ	-	0.066
ɫ	l	0.725
ɫ	lʲ	0.187
ɫ	ə_l	0.088
ʃ	ʃ	0.925
ʃ	s	0.075
ʃː	ʃ	1.0
ʍ	v	1.0
ʤ	w	0.669
ʤ	-	0.331
ʤː	d	1.0
ʧ	k	0.582
ʧ	ʃ	0.208
ʧ	w	0.106
ʧ	s	0.104
ʧː	k	1.0
ˈe	-	0.324
ˈe	ˈɛː	0.237
ˈe	ˈeː	0.144
ˈe	ˈi	0.112
ˈe	ˈɔː	0.08
ˈe	ˈiː	0.052
ˈe	ˈa	0.051
ˈeo̯	ˈa	0.249
ˈeo̯	ˈɛ	0.249
ˈeo̯	ˈøː	0.175
ˈeo̯	j_ˈa	0.111
ˈeo̯	ˈɔː	0.1
ˈeo̯	ˈeː	0.096
ˈeː	ˈeː	0.336
ˈeː	ˈɛi̯	0.246
ˈeː	ˈɛ	0.227
ˈeː	ˈʊ	0.108
ˈeː	ˈiː	0.058
ˈeːo̯	ˈiː	0.578
ˈeːo̯	j	0.094
ˈeːo̯	-	0.082
ˈeːo̯	ˈa	0.082
ˈeːo̯	ˈyː	0.054
ˈi	ˈʊ	0.193
ˈi	ˈi	0.155
ˈi	ˈai̯	0.132
ˈi	ˈœ	0.095
ˈi	ˈa	0.09
ˈi	ˈaː	0.08
ˈi	ˈiː	0.076
ˈi	ˈɛ	0.059
ˈiy̯	ˈɒː	0.68
ˈiy̯	ˈeː	0.259
ˈiy̯	ˈi	0.061
ˈiː	ˈi	0.657
ˈiː	ˈiː	0.246
ˈiː	ˈyː	0.096
ˈiːy̯	ˈiː	0.761
ˈiːy̯	ˈøː	0.142
ˈiːy̯	ˈɛi̯	0.057
ˈo	ˈɔ	0.645
ˈo	ˈɔː	0.119
ˈo	ˈɔu̯	0.108
ˈo	ˈuː	0.079
ˈoː	ˈɔu̯	0.544
ˈoː	ˈœ	0.281
ˈoː	ˈuː	0.104
ˈoː	ˈɛi̯	0.071
ˈu	ˈʊ	0.629
ˈu	ˈaː	0.109
ˈu	ˈyː	0.076
ˈu	ˈɔː	0.075
ˈu	ˈœ	0.072
ˈuː	ˈyː	0.609
ˈuː	ˈøː	0.272
ˈuː	ˈʏ	0.078
ˈy	ˈeː	0.263
ˈy	ˈi	0.22
ˈy	ˈœ	0.15
ˈy	-	0.146
ˈy	ˈʊ	0.082
ˈy	ˈʏ	0.082
ˈy	ˈa	0.056
ˈyː	ˈyː	0.581
ˈyː	ˈa	0.217
ˈyː	ˈiː	0.131
ˈyː	ˈøː	0.071
ˈæ	-	0.281
ˈæ	ˈɒː	0.241
ˈæ	ˈɛː	0.178
ˈæ	ˈeː	0.107
ˈæ	ˈa	0.097
ˈæ	ˈɒ	0.097
ˈæɑ̯	ˈa	0.463
ˈæɑ̯	ˈuː	0.145
ˈæɑ̯	ˈɒ	0.133
ˈæɑ̯	ˈeː	0.1
ˈæɑ̯	ˈyː	0.051
ˈæː	ˈɔi̯	0.259
ˈæː	ˈɛː	0.211
ˈæː	ˈɒː	0.17
ˈæː	ˈɛi̯	0.154
ˈæː	ˈeː	0.109
ˈæː	ˈiː	0.098
ˈæːɑ̯	ˈuː	0.484
ˈæːɑ̯	ˈyː	0.334
ˈæːɑ̯	-	0.069
ˈæːɑ̯	ˈɛi̯	0.063
ˈɑ	ˈœ	0.449
ˈɑ	ˈʊ	0.189
ˈɑ	ˈɒː	0.171
ˈɑ	ˈɔː	0.165
ˈɑː	ˈiː	0.54
ˈɑː	ˈʊ	0.111
ˈɑː	ˈɒ	0.095
ˈɑː	-	0.077
ˈɑː	ˈai̯	0.067
ˈɑː	ˈyː	0.05
ˈɛ	ˈeː	1.0
θ	t	0.345
θ	d	0.272
θ	tʲ	0.181
θ	s	0.106
θ	z	0.051
