Brazilian Portuguese	Walloon	probability
f	f	1.0
ɦ	-	1.0
ʎ	-	1.0
ʒ	ʤ	1.0
e	a	0.091
h	ʀ	0.901
i	-	0.361
i	ˈa	0.501
j	ˈɛ	0.301
s	s	0.681
z	s	0.251
ɾ	-	0.311
ˈe	w	0.351
ˈẽ	ˈẽ	0.361
ˈo	ˈuː	0.141
ˈo	ˈɔ	0.21
ˈɐ̃	ˈa	0.101
ˈɔ	ˈoː	0.341
b	-	0.082
k	k	0.392
o	ɔ	0.882
t	t	0.672
u	ˈɛ	0.062
u	ˈa	0.782
ɡ	-	0.712
ʃ	n	0.292
ʤ	-	0.862
ˈe	-	0.082
ˈĩ	ˈɛ̃	0.632
ˈo	ˈɔː	0.052
ˈõ	ˈɔ̃	0.822
ˈɔ	ˈuː	0.132
ˈɔ	w	0.2
ˈɛ	j	0.282
a	ɛ	0.263
a	a	0.503
e	-	0.353
m	m_w	0.053
p	p	0.903
v	v	0.673
ɐ	j	0.663
ˈa	ˈiː	0.113
ˈe	ɛ	0.073
ˈe	ˈi	0.083
ˈũ	ˈɔ̃	0.643
ˈɐ̃	-	0.053
ˈɛ	ˈiː	0.253
j	t	0.054
j̃	ɲ	0.534
n	n	0.694
s	-	0.084
ʃ	s	0.574
ʧ	t	0.084
ˈe	ˈeː	0.054
ˈẽ	ˈɛ̃	0.344
ˈo	w	0.224
ˈu	ˈuː	0.344
a	ɔː	0.055
d	d	0.465
d	-	0.535
l	-	0.255
l	l	0.745
s	ʃ	0.235
ˈe	ˈiː	0.125
ˈẽ	ˈɛ	0.295
ˈɐ̃	ˈɛ	0.055
ˈɐ̃	ˈɔ̃	0.105
e	ɛ	0.556
j	j	0.216
j̃	-	0.466
n	-	0.306
w	-	0.726
ʧ	-	0.916
ˈa	ˈɔː	0.326
ˈe	ˈɛ	0.126
ˈi	ˈɛ	0.546
ˈo	ˈu	0.166
p	-	0.097
u	-	0.07
u	j	0.087
v	f	0.067
ɐ	-	0.337
ʃ	ʃ	0.087
ˈa	-	0.467
ˈu	ˈøː	0.257
ˈũ	ˈu	0.357
ˈɛ	ˈɛ	0.237
a	-	0.18
b	b	0.918
i	i	0.138
k	-	0.118
m	m	0.738
o	-	0.118
t	-	0.328
w	j	0.248
ʤ	d	0.138
ˈi	ˈiː	0.078
ˈĩ	ˈẽ	0.368
ˈo	ˈoː	0.208
ˈõ	ˈɔ	0.178
ˈɐ̃	ˈɛ̃	0.198
ˈɔ	w_ˈa	0.138
h	-	0.099
j	-	0.429
k	ʧ	0.49
m	-	0.209
v	-	0.259
z	-	0.749
ɡ	k	0.089
ɡ	ɡ	0.199
ɾ	ʀ	0.689
ˈi	ˈi	0.29
ˈu	ˈy	0.399
ˈɐ̃	ˈɑ̃	0.489
ˈɔ	ɔ	0.09
ˈɔ	ˈøː	0.099
ˈɛ	j_ˈɛ	0.229
