Lower Sorbian	Polish	probability
a	a	1.0
b	b	1.0
d	d	1.0
e	ɛ	1.0
i	i	1.0
k	k	1.0
kʲ	k	1.0
l	l	1.0
m	m	1.0
mʲ	m_j	1.0
n	n	1.0
pʲ	p_j	1.0
r	r	1.0
rʲ	ʐ	1.0
t	t	1.0
w	w	1.0
x	x	1.0
ɛ	ɛ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʐ	ʐ	1.0
ʑ	ʥ	1.0
ʨ	ʨ	1.0
ˈe	ˈɛ	1.0
ˈi	ˈi	1.0
ˈɨ	ˈɨ	1.0
j	-	0.191
ɨ	ɨ	0.921
ˈɛ	ˈa	0.051
ˈɪ	ˈɛ	0.551
vʲ	v	0.122
ˈu	ˈu	0.772
ˈɔ	ˈu	0.242
ˈa	ˈɛ	0.3
ˈɔ	ˈɛ	0.113
ˈɛ	ɔ	0.073
s	ɕ	0.464
z	w̃_z	0.244
ʦ	ʦ	0.634
p	m_p	0.125
p	p	0.875
ɔ	ɛ	0.065
ʂ	w̃_ʂ	0.095
ʂ	r	0.905
ˈɔ	ˈɔ	0.645
s	s	0.536
v	v	0.966
ɕ	ʨ	0.556
ʦ	ʈ͡ʂ	0.366
ɔ	ɔ	0.917
ˈa	ˈa	0.7
vʲ	v_j	0.878
z	ʑ	0.558
ɕ	ʂ	0.108
ɕ	ɲ_ʨ	0.308
ˈu	ˈɔ	0.228
ˈɛ	ˈɛ	0.198
ˈɛ	ˈɔ	0.678
j	j	0.809
z	z	0.199
ɨ	ɛ	0.079
ˈɪ	ˈa	0.449
