Western Lombard	Western Lombard	probability
ˈɛ_#>	j_#>	1.0
ˈɔ	ˈɔ	1.0
ˈɑː_d	ˈɛ	1.0
ˈɑː_#>	ˈe_#>	1.0
ˈøː_l	ˈi	1.0
ˈy	ˈu	1.0
ˈoː	w	1.0
ˈĩ	ˈi_n	1.0
ˈiː_l	ˈi_l	1.0
ˈi_#>	ˈi_#>	1.0
ˈẽ	ˈɛ_n	1.0
ˈa_s	ˈa_s	1.0
ˈa_#>	ˈe_#>	1.0
ɲ	ɲ	1.0
ɛ	-	1.0
z	ʒ	1.0
y	o	1.0
w	-	1.0
u	o	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_#>	#>	1.0
r	r	1.0
p_j	p_l	1.0
p_#>	p_#>	1.0
p	p	1.0
m	m	1.0
l_t	w_t	1.0
k_r	k_r	1.0
ĩ	i	1.0
f_j	f	1.0
f_#>	#>	1.0
f	f	1.0
ẽ	e_n	1.0
e_r	r_e	1.0
b	b	1.0
a_r	a_r	1.0
a_#>	#>	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
a	a	0.969
t	t	0.938
n	n	0.9
l	l	0.898
v	v	0.875
ɡ	ɡ	0.867
ˈyː	ˈu	0.857
d	d	0.84
ˈøː	w_ˈɛ	0.818
ˈã	ˈa_n	0.8
ˈa	ˈa	0.786
ˈu	ˈo	0.75
ˈiː	ˈi	0.75
ʒ	ʒ	0.75
ˈe	ˈe	0.714
e	e	0.714
<#_ˈa	<#_ˈa	0.714
ˈɛ	ˈɛ	0.71
ˈũ	ˈo_n	0.667
ˈuː	ˈo_w	0.6
ˈi	ˈi	0.6
ʤ	ʥ	0.6
ˈɑː	ˈa	0.579
ˈeː	ˈe_j	0.571
k	k	0.553
s	s	0.516
i	e	0.5
i	-	0.5
j	j	0.455
ˈɑː	ˈɛ	0.421
ˈuː	ˈo	0.4
ˈi	ˈe	0.4
ʤ	-	0.4
k	ʨ	0.383
j	l	0.364
ˈũ	ˈɔ_n	0.333
#>	m_#>	0.333
#>	e_s_#>	0.333
#>	a_#>	0.333
s	ʃ	0.323
ˈeː	j_ˈɛ	0.286
ˈe	ˈɛ	0.286
<#_ˈa	<#	0.286
ˈu	ˈɔ	0.25
ˈiː	ˈe_j	0.25
ʧ	-	0.25
ʒ	-	0.25
ˈɛ	ˈe	0.226
ˈa	-	0.214
ˈã	ˈa_ŋ	0.2
e	-	0.19
ʧ	ʨ	0.188
ʧ	ʧ	0.188
ʧ	d_l	0.188
ˈøː	ˈɔ	0.182
j	-	0.182
ˈyː	-	0.143
ˈeː	-	0.143
ɡ	-	0.133
ʧ	k_l	0.125
v	-	0.125
s	ʦ	0.113
n	-	0.1
e	i	0.095
d	d_ˈe	0.08
d	-	0.08
ˈɛ	ˈe_j	0.065
k	ŋ_k	0.064
ʧ	ʤ	0.062
t	d	0.062
l	-	0.061
