Upper Sorbian	Štokavian	probability
ˈo_n	n	1.0
ʧ	ʧ	1.0
ʥ	d	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʀ_ɪ	a_r	1.0
ɦ	ɡ	1.0
z̥	-	1.0
z	z	1.0
xʲ_i	x	1.0
w_ˈɔ	ǒ	1.0
w_ˈu	û	1.0
w_ˈa	l_â	1.0
w_a	ʋ_a	1.0
u	u	1.0
t_ˈɔ	t_ôː	1.0
t	t	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
o	ô	1.0
n	n	1.0
m	m	1.0
kʲ_i	a_k	1.0
k	k	1.0
j	-	1.0
i	i	1.0
e	ê	1.0
d_w	l	1.0
d	d	1.0
b̥	uː	1.0
bʲ	b	1.0
b	b	1.0
a	a	1.0
x	x	0.855
ʀʲ	r	0.802
ʀ	r	0.788
ɲ	n	0.761
ˈɔ_ʀ	r̩̂ː	0.737
ɪ	-	0.713
mʲ	m	0.696
n_ɪ	n	0.662
ʦ	ʦ	0.622
d̥	d	0.622
ʨ	t	0.62
ɔ	o	0.591
ʃ	r	0.544
ɥ	ʋ	0.534
ˈi	î	0.531
ˈɛ	-	0.491
ɛ	e	0.489
ɥ	ʋ_j	0.466
ˈɪ	-	0.459
ʃ	ʃ	0.456
ˈu	ûː	0.444
l	ʎ	0.426
ˈo	ôː	0.418
w	l	0.418
l	l	0.392
ˈa	â	0.388
ʨ	t_i	0.38
ʦ	ʨ	0.378
d̥	êː_d	0.378
w	ʋ	0.353
ˈɪ	î	0.341
n_ɪ	a_n	0.338
ˈɛ	ě	0.318
ˈɔ	ô	0.317
ˈe	-	0.308
ˈu	ǔː	0.304
ˈo	ô	0.304
mʲ	m_j	0.304
ɛ	-	0.282
ˈa	-	0.281
ˈi	îː	0.28
ˈe	ê	0.269
ˈɔ_ʀ	r̩̂	0.263
ˈe	êː	0.254
ɔ	e	0.248
ɲ	ɲ	0.239
ɛ	ě	0.229
ˈa	âː	0.225
ʀ	r̩̂ː	0.212
ˈɪ	îː	0.2
ʀʲ	r_a	0.198
ˈɛ	e	0.191
ɪ	a	0.191
ˈu	-	0.19
ˈi	ǐː	0.19
l	-	0.182
ɔ	-	0.161
ˈɔ	-	0.157
x	k_a	0.145
ˈo	âː	0.139
ˈo	-	0.139
ˈɔ	ǒ	0.126
w	-	0.122
ˈɔ	a	0.112
ˈe	j_êː	0.107
ˈa	êː	0.106
ˈɔ	ôː	0.1
ɪ	iː	0.095
ˈɔ	â	0.074
w	ûː	0.07
ˈɔ	ě	0.067
ˈe	j_ěː	0.063
ˈu	ǔ	0.062
