Zeelandic	Old High German	probability
ˈɒː	ˈɑ	1.0
ˈɑu̯	ˈɑ_l	1.0
ˈɑ	ˈɑ	1.0
ˈæi̯	ˈei̯	1.0
ˈæ_ɾ	ˈɑ_r	1.0
ˈuːə̯	ˈuo̯	1.0
ˈuː	ˈuo̯	1.0
ˈoː	ˈo	1.0
ˈiːə̯	ˈɛ_h	1.0
ɾ_ə	r	1.0
z̥	s	1.0
z_ə	s_ɑ	1.0
z	s	1.0
x_t	x_t	1.0
w	w	1.0
v̥	i_f	1.0
v_ə	b_ɑ	1.0
s_t	s_t	1.0
m	m	1.0
l	l	1.0
k_ə	xː_ɑ	1.0
iː	ɛ_h	1.0
i	ɑ	1.0
d̥	t	1.0
d_ə	ɑ	1.0
b	b	1.0
ʋ	w	0.98
ɾ	r	0.971
ɫ	l	0.955
ˈyː	ˈuː	0.873
n	n	0.873
d	d	0.834
v	f	0.83
ˈøː	ˈu	0.695
ˈɪ	ˈi	0.667
s	s	0.645
ˈu	ˈu	0.644
ˈi	ˈi	0.611
ŋ	ŋ	0.606
ˈɪə̯	ˈei̯	0.588
ˈiː	ˈio̯	0.588
ə	ɑ	0.582
ˈʏ	ˈu	0.574
j	-	0.574
ˈɔ	ˈu	0.552
ˈeː	ˈɛ	0.545
ˈæ	ˈɛ	0.531
k	kː	0.509
ˈɛː	ˈɑː	0.5
x	ɡ	0.492
k	k	0.491
j	j	0.426
ˈʊə̯	ˈoː	0.423
ŋ	ŋ_ɡ	0.394
ˈi	ˈiː	0.389
p	f	0.369
ˈu	ˈuo̯	0.356
s	s_k	0.355
p	p͡f	0.349
t	s̻ː	0.325
ˈøː	ˈo	0.305
t	ʦ	0.305
x	k	0.288
ˈʊə̯	ˈo	0.284
ˈɛː	ˈɑ	0.272
ˈeː	-	0.267
ˈæ	ˈe	0.263
ˈʊə̯	ˈou̯	0.255
ˈʏ	ˈo	0.25
ˈiː	ˈiu̯	0.234
ˈɔ	ˈo	0.232
ˈɪə̯	-	0.226
ˈɪ	-	0.222
x	kː	0.22
ˈɔ	-	0.217
ˈæ	ˈi	0.206
ˈeː	ˈi	0.189
ˈɪə̯	ˈeː	0.186
ˈʏ	-	0.176
v	b	0.17
d	t	0.166
t	s̻	0.145
p	fː	0.144
t	t	0.142
p	p	0.138
ˈɛː	ˈɛ	0.134
ˈyː	-	0.127
ˈɪ	ˈu	0.11
ə	i	0.103
ˈiː	-	0.1
ˈɛː	ˈɑ_h	0.094
ə	u	0.088
n	nː	0.085
t	ʦː	0.083
ˈiː	ˈie̯	0.078
ə	e_n	0.064
ə	ɛ	0.057
