Sicilian	French	probability
a	-	0.775
a	a	0.182
b	b	0.882
b	-	0.063
b	v	0.063
c	-	0.667
c	j	0.232
c	p_l	0.084
d	-	0.488
d	d	0.422
d	ʒ	0.083
d_ɪ	a	1.0
f	f	1.0
i	-	0.372
i	ə	0.233
i	a	0.142
i	ɛ	0.086
i	j	0.065
i	e	0.056
i	i	0.052
j	ʒ	0.509
j	-	0.395
j	i	0.064
k	ʃ	0.353
k	k	0.349
k	-	0.291
k_ʊ	ø	0.752
k_ʊ	k	0.242
l	l	0.82
l	-	0.165
m	m	0.705
m	-	0.261
n	n	0.794
n	-	0.187
n_t	t	0.513
n_ɪ	d	0.67
n_ɪ	ɛ̃	0.12
n_ɪ	ɔ̃	0.105
n_ʊ	ɔ̃	0.263
o	ɔ	0.513
p	p	0.809
p	-	0.086
p	v	0.06
r	ʁ	0.919
r	-	0.081
r_ʊ	ʁ	1.0
s	s	0.685
s	-	0.283
s_k	k	1.0
s_t	t	1.0
t	-	0.672
t	t	0.275
t_ɪ	i	0.446
t_ɪ	s	0.06
t_ʊ	i	0.488
t_ʊ	ɛ̃	0.288
t_ʊ	a	0.06
t_ˈa	e	0.263
u	ɔ	0.412
u	u	0.281
u	ɔ̃	0.122
u	e	0.087
u	-	0.064
v	v	0.677
v	-	0.215
v_ʊ	f	1.0
w	ɔ	0.404
w	-	0.276
w	a	0.133
w	o	0.133
w_ˈa	a	1.0
z	-	0.74
z	z	0.147
ç	f_l	0.53
ç	ʁ	0.461
ŋ	ɛ̃	0.517
ŋ	-	0.19
ŋ	ɑ̃	0.19
ɕ	s	0.473
ɕ	z	0.279
ɕ	-	0.224
ɕ_ɪ	a	0.437
ɕ_ɪ	ʒ	0.324
ɕ_ɪ	d	0.107
ɕ_ɪ	s	0.068
ɕ_ˈi	s	1.0
ɖ	-	0.759
ɖ	l	0.237
ɟ	-	0.452
ɟ	j	0.426
ɟ	s	0.12
ɡ	ɡ	0.662
ɡ	-	0.17
ɡ	ʃ	0.095
ɪ	-	0.869
ɪ	a	0.062
ɪ_ɾ	e	0.53
ɪ_ɾ	ʁ	0.312
ɲ	-	0.491
ɲ	ɛ̃	0.284
ɲ	ɲ	0.21
ɲ_ʊ	ɛ̃	0.263
ɲ_ʊ	e	0.069
ɽ	ʁ	0.263
ɽ_ʊ	ʁ	1.0
ɾ	ʁ	0.715
ɾ	-	0.266
ɾ_i	ʁ	0.263
ɾ_n	ʁ	1.0
ɾ_ɪ	ʁ	1.0
ɾ_ʊ	ʁ	0.85
ɾ_ʊ	ø	0.132
ɾ_ˈa	ʁ	0.263
ʃ	-	0.746
ʃ	t	0.253
ʈ	t	1.0
ʈ_ɽ	ʁ	1.0
ʊ	-	0.956
ʐ	ʁ	0.803
ʐ	-	0.158
ʤ	ʒ	0.585
ʤ	-	0.241
ʤ	z	0.081
ʦ	-	0.662
ʦ	s	0.116
ʦ	d	0.095
ʦ	ʁ	0.095
ʧ	t	0.5
ʧ	-	0.379
ʧ	ɥ	0.077
ˈa	ɛ	0.513
ˈa	a	0.224
ˈa	-	0.098
ˈa	o	0.067
ˈa_n	ɑ̃	0.485
ˈa_n	ɛ̃	0.484
ˈa_r	e	0.626
ˈa_r	o	0.351
ˈa_t	e	0.683
ˈa_t	a	0.231
ˈa_w	o	1.0
ˈa_ŋ	ɑ̃	0.263
ˈa_ɾ	e	0.594
ˈa_ɾ	a	0.392
ˈe	w	0.683
ˈe	ɛ	0.231
ˈi	w	0.301
ˈi	i	0.299
ˈi	ɛ	0.262
ˈi	-	0.058
ˈi_n	ɛ̃	0.761
ˈi_n	ɑ̃	0.232
ˈi_ɟ	i	0.513
ˈi_ɾ	w	1.0
ˈo	ɔ̃	0.594
ˈo	u	0.392
ˈo_n	ɔ̃	0.263
ˈu	y	0.288
ˈu	u	0.23
ˈu	w	0.146
ˈu	œ	0.146
ˈu	ɥ	0.092
ˈu_n	ɔ̃	0.59
ˈu_n	w	0.18
ˈu_n	ɛ̃	0.175
ˈu_t	u	1.0
ˈɔ	ɔ	0.344
ˈɔ	œ	0.212
ˈɔ	-	0.164
ˈɔ	u	0.105
ˈɔ	ɥ	0.097
ˈɔ_c	u	1.0
ˈɔ_k	w	0.135
ˈɔ_s	o	1.0
ˈɛ	ɛ	0.665
ˈɛ	i	0.171
ˈɛ	j	0.066
ˈɛ	w	0.054
ˈɛ_n	ɑ̃	1.0
ˈɛ_ɖ	o	1.0
ˈɛ_ʦ	i	1.0
