Romanian	Eastern Lombard	probability
f	f	1.0
kʲ	ʧ	1.0
o	o	1.0
u	o	1.0
w	-	1.0
ɨ	-	1.0
ʃ	s	1.0
ˈɨ	ˈa	1.0
b	-	0.231
b	b	0.731
d	d	0.891
i	i	0.561
n	n	0.741
p	p	0.811
ʤ	z	0.761
e̯ˈa	ˈi	0.172
k	-	0.12
m	-	0.212
o̯ˈa	ˈo	0.112
o̯ˈa	ˈu	0.312
z	-	0.092
ɡ	-	0.142
ˈa	ˈa	0.612
ˈi	-	0.352
ˈu	ˈɔ	0.072
ˈu	ˈu	0.32
l	l	0.793
s	-	0.053
ŋ	n	0.483
ʒ	z	0.43
ʦ	s	0.543
ˈa	ˈo	0.053
ˈi	ˈe	0.283
a	ˈa	0.144
ʧʲ	t	0.514
ˈe	-	0.214
ˈo	ˈɔ	0.364
ˈu	ˈo	0.174
j	ɲ	0.075
l	j	0.165
r	-	0.405
t	-	0.275
ə	-	0.215
ə	a	0.785
ʧ	s	0.455
ˈe	ˈɛ	0.345
ˈe	ˈe	0.395
ˈo	ˈu	0.085
ˈo	ˈø	0.385
a	a	0.836
e	e	0.316
k	k	0.836
n	ɲ	0.106
o̯ˈa	ˈɔ	0.576
t	d	0.086
ʧʲ	-	0.486
ˈi	ˈø	0.06
ˈo	ˈo	0.166
ˈu	ˈø	0.236
d	-	0.067
e	-	0.277
j	ˈi	0.057
r	r	0.517
s	s	0.947
ŋ	-	0.517
ʒ	-	0.57
ʦ	z	0.257
ʧ	-	0.447
ˈa	ˈɛ	0.307
ˈi	ˈi	0.117
e̯ˈa	ˈe	0.828
j	j	0.058
m	m	0.788
n	-	0.118
p	-	0.138
t	t	0.638
z	d	0.908
ɡ	ɡ	0.858
ʧ	ʧ	0.098
ˈi	ˈɛ	0.168
ˈu	ˈy	0.198
e	a	0.359
i	e	0.439
j	-	0.809
r	l	0.079
ʤ	ʤ	0.119
ʤ	-	0.119
ʦ	-	0.199
