Aragonese	Piedmontese	probability
d	d	1.0
f	f	1.0
r	r	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʃ	-	1.0
ʧ	ʤ	1.0
b	v	0.781
l	-	0.081
o	ˈɔ	0.11
ɡ	-	0.051
ɡ	k	0.091
ɣ	v	0.071
ɣ	-	0.771
ˈa	-	0.171
ˈe	ˈɛ	0.281
ˈu	ˈu	0.181
β	b	0.111
a	-	0.102
e	ˈe	0.152
j	-	0.282
o	i	0.122
t	s	0.312
ɾ	-	0.132
ɾ	r	0.532
e	e	0.073
e	u	0.083
j	j	0.43
l	j_l	0.093
l	j	0.13
o	a	0.073
w	-	0.293
ð	d	0.173
ʝ	d	0.853
ˈi	ˈi	0.953
β	v	0.723
θ	s	0.523
e	a	0.164
m	m	0.964
n	n	0.414
u	ˈu	0.344
ʎ	j	0.854
ˈa	ˈa	0.824
a	a	0.85
e	-	0.235
i	e	0.175
i	i	0.265
o	-	0.325
p	v	0.115
p	p	0.885
ˈe	ˈi	0.105
ˈe	-	0.195
ˈo	ˈɔ	0.305
ˈo	ˈu	0.695
e	ə	0.056
i	-	0.56
t	t	0.656
u	u	0.656
ʎ	l	0.146
e	i	0.237
l	l	0.697
o	u	0.37
w	w	0.707
ʝ	-	0.147
β	-	0.167
θ	z	0.477
j	e	0.288
k	k	0.958
n	ŋ	0.448
s	s	0.798
ð	-	0.478
ɡ	ɡ	0.858
ɣ	ɡ	0.158
ɾ	j	0.128
b	b	0.219
n	-	0.069
s	-	0.189
ð	t	0.349
ɾ	e	0.169
ˈe	ˈe	0.39
ˈu	ˈy	0.819
