Middle High German	Old English	probability
ˈɑː_n	ˈoː_n	1.0
ˈɑ_x	ˈi_ç	1.0
ˈɑ_n	ˈoː	1.0
ˈøː	ˈiːy̯	1.0
ˈøy̯	ˈiːy̯	1.0
ˈæː	ˈiːy̯	1.0
ˈyə̯	ˈeː	1.0
ˈu_n	ˈuː	1.0
ˈoː	ˈæːɑ̯	1.0
ˈeː	ˈɑː_w	1.0
ˈe	ˈe	1.0
ʦː	tː	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ɡ̊	ɣ̊	1.0
ɡ_ə	j	1.0
ɛ_h	iːy̯	1.0
ɑː	ˈæːɑ̯	1.0
ɑ	ɑ	1.0
ŋ	ŋ	1.0
tː	dː	1.0
t_ə	d_e	1.0
t_r	d_r	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ə	z_e	1.0
s_t	s_t	1.0
s	s	1.0
rː	rː	1.0
r_n	r_n	1.0
p	p	1.0
oː	ɑ	1.0
ou̯	ˈæːɑ̯	1.0
nː	nː	1.0
n_ə	n_e	1.0
mː	mː	1.0
m	m	1.0
lː	ɫː	1.0
kː_ə	ʤ	1.0
k	k	1.0
j	j	1.0
i	i	1.0
fː	p	1.0
d̥	d	1.0
d_ə	d_ɑ	1.0
r	r	0.939
n	n	0.936
w	w	0.931
v	f	0.909
ˈei̯	ˈɑː	0.896
ˈi	ˈi	0.867
ˈuː	ˈuː	0.866
xː	ʧ	0.866
ˈiː	ˈiː	0.822
ˈuə̯	ˈoː	0.821
ˈiə̯	ˈeːo̯	0.816
h	h	0.798
d	θ	0.787
ˈou̯	ˈæːɑ̯	0.773
ˈu	ˈu	0.768
x	x	0.747
b	b	0.729
f	p	0.728
r_ə	r_e	0.713
t	d	0.708
kʰ	k	0.667
ˈo	ˈo	0.641
ˈɑː	ˈæː	0.593
l	l	0.564
ˈy	ˈy	0.533
ɡ	ɡ	0.529
ʃ	ʃ	0.525
ʃ	s	0.475
ˈy	-	0.467
ˈɛ	ˈeo̯	0.454
ə	ɑ	0.438
l	ɫ	0.415
ˈɑː	ˈæːɑ̯	0.407
ˈɑ	ˈɑ	0.39
kː	ʧː	0.343
kː	kː	0.343
kʰ	ʧ	0.333
kː	-	0.315
ɡ	ɣ	0.311
ˈɛ	ˈe	0.308
r_ə	r	0.287
ˈo	ˈu	0.286
ˈɑ	ˈæɑ̯	0.282
f	f	0.272
t	t	0.257
b	v	0.256
x	k	0.253
ˈyː	ˈyː	0.25
ˈyː	ˈiːy̯	0.25
ˈyː	ˈeːo̯	0.25
ˈyː	-	0.25
ə	e	0.241
ˈou̯	-	0.227
ˈɑ	ˈæ	0.221
d	ð	0.213
h	-	0.202
ˈiə̯	ˈeːo̯_w	0.184
ˈuə̯	-	0.179
ˈiː	ˈeːo̯	0.178
ɡ	j	0.16
ə	o	0.139
ˈɛ	-	0.134
ˈuː	-	0.134
xː	xː	0.134
ə	-	0.131
ˈu	ˈy	0.128
ˈɛ	ˈi	0.105
ˈu	ˈo	0.104
ˈei̯	ˈæː	0.104
v	-	0.091
ˈi	-	0.084
ˈɑ	-	0.075
ˈo	-	0.073
w	h_w	0.069
n	-	0.064
