Saterland Frisian	Northern Low Saxon	probability
a	ˈeɪ̯	0.525
a	n	0.475
b	b	0.933
b	m	0.054
d	d	0.795
d	-	0.1
f	f	1.0
h	h	0.933
h	-	0.067
i	aɪ̯	1.0
j	-	0.594
j	ɡ	0.199
j	ʒ	0.097
j	ˈeː	0.089
k	k	0.481
k	ɡ	0.277
k	kʰ	0.198
l	l	0.991
m	m	0.937
m	-	0.063
n	n	0.898
p	b	0.783
p	p	0.15
p	pʰ	0.067
r	ɐ	0.477
r	r	0.417
r	-	0.054
s	s	0.391
s	z	0.331
s	ʃ	0.235
t	d	0.636
t	t	0.165
t	tʰ	0.114
t	-	0.085
v	v	0.849
v	-	0.125
w	f	0.571
w	m	0.286
w	v	0.143
x	ç	0.502
x	x	0.375
x	f	0.08
z	z	1.0
ŋ	ŋ	0.951
ə	-	0.995
ɡ	ɡ	1.0
ɣ	ɡ	0.548
ɣ	-	0.298
ɣ	x	0.086
ɪ	ɪ	0.479
ɪ	-	0.417
ɪ	i	0.104
ɫ	l	1.0
ˈa	ˈɔ	0.344
ˈa	ˈa	0.254
ˈa	ˈeː	0.224
ˈa	ˈœː	0.178
ˈaː	ˈa	0.805
ˈaː	ˈeɪ̯	0.127
ˈaː	ˈɛɪ̯	0.068
ˈaːi̯	ˈɛ	0.444
ˈaːi̯	ˈoː	0.323
ˈaːi̯	ˈa	0.233
ˈaːu̯	ˈaɪ̯	0.714
ˈaːu̯	ˈɔ	0.286
ˈeː	ˈɔʏ̯	0.352
ˈeː	ˈeː	0.248
ˈeː	ˈaɪ̯	0.23
ˈeː	ˈeɪ̯	0.084
ˈeːu̯	ˈeː	1.0
ˈi	ˈiː	0.511
ˈi	ˈeɪ̯	0.121
ˈi	ˈeː	0.104
ˈi	ˈɪ	0.089
ˈi	-	0.082
ˈiː	ˈɪ	0.327
ˈiː	ˈoː	0.196
ˈiː	ˈiː	0.193
ˈiː	ˈɛɪ̯	0.122
ˈiː	ˈaɪ̯	0.109
ˈiː	ˈeː	0.054
ˈoː	ˈaʊ̯	0.631
ˈoː	ˈoː	0.195
ˈoː	ˈaː	0.078
ˈoː	ˈøː	0.06
ˈoːu̯	ˈaʊ̯	0.336
ˈoːu̯	ˈa	0.251
ˈoːu̯	ˈoː	0.229
ˈoːu̯	ˈaʊ̯_ɐ	0.062
ˈoːu̯	ˈʊ	0.053
ˈu	ˈyː	0.368
ˈu	ˈaʊ̯	0.326
ˈu	ˈuː	0.197
ˈu	ˈʊ	0.109
ˈuː	ˈyː	0.208
ˈuː	ˈuː	0.2
ˈuː	ˈʊ	0.123
ˈuː	ˈaʊ̯_d	0.121
ˈuː	ˈoː	0.106
ˈuː	ˈøː	0.074
ˈuː	ˈa	0.052
ˈyː	ˈyː	0.599
ˈyː	ˈʏ	0.401
ˈøː	ˈuː	1.0
ˈœː	ˈɔʏ̯	1.0
ˈɔ	ˈa	0.379
ˈɔ	ˈʊ	0.21
ˈɔ	ˈœː	0.144
ˈɔ	ˈʏ	0.139
ˈɔ	ˈɔ	0.129
ˈɔː	ˈoː	0.456
ˈɔː	ˈa	0.177
ˈɔː	ˈɔ	0.145
ˈɔː	ˈøː	0.092
ˈɔː	ˈɪ	0.086
ˈɔːɪ̯	ˈaɪ̯	1.0
ˈɛ	ˈœ	0.314
ˈɛ	ˈɛ	0.181
ˈɛ	ˈɪ	0.181
ˈɛ	ˈoː	0.119
ˈɛ	ˈø	0.085
ˈɛ	ˈa	0.06
ˈɛ	ˈʏ	0.06
ˈɛɪ̯	ˈɔʏ̯	0.356
ˈɛɪ̯	ˈoː	0.261
ˈɛɪ̯	ˈaɪ̯	0.177
ˈɛɪ̯	ˈiː	0.086
ˈɛɪ̯	ˈuː	0.068
ˈɛɪ̯	ˈeː	0.052
ˈɛː	ˈʏ	0.607
ˈɛː	-	0.245
ˈɛː	ˈa	0.148
ˈɪ	ˈɪ	0.915
ˈɪ	ˈø	0.085
ˈʊ	ˈʊ	0.655
ˈʊ	ˈɛ	0.114
ˈʊ	ˈʏ	0.066
ˈʊ	ˈoː	0.058
