Icelandic	Icelandic	probability
ˈʏː	-	1.0
ˈɛi̯	ˈiː	1.0
ˈɔː	ˈaː	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈu	ˈʊ	1.0
ˈi	-	1.0
ˈeːi̯	ˈiː	1.0
ʰt͡n̥	ˈɒː_d	1.0
ʰp	p	1.0
ʰk	ŋ_k	1.0
ʰc	k	1.0
ɲ	ˈʊ	1.0
ɣ_ʏ	ˈɛi̯	1.0
ɣ	-	1.0
ɡ̊ː	-	1.0
ɡ̊_ʏ	ə	1.0
ɛ	-	1.0
ɑu̯	i	1.0
ð_ʏ	d_ə	1.0
ð_ɪ	d_ə	1.0
ç	h	1.0
x	-	1.0
v_ʏ	v̥	1.0
u	-	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
tʰ	t	1.0
t_ʏ	tʲ	1.0
sː	s	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_c	ʃ	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ɪ	ə	1.0
r_t͡n̥	ʀ	1.0
pʰ	p	1.0
p	p	1.0
n̥	n	1.0
nː	n	1.0
n	n	1.0
m	m	1.0
l̥	l	1.0
kʰ	k	1.0
k	k	1.0
j_ˈɛː_r̥_#>	ˈɛ_#>	1.0
j_ˈuː	ˈiː	1.0
j_ˈoːu̯	ˈiː	1.0
f	f	1.0
cʰ	k	1.0
b̥	b	1.0
aːu̯	ɛi̯	1.0
a_#>	#>	1.0
a	ə	1.0
<#_ˈa	<#_ˈeː	1.0
<#_v	<#_v	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#	1.0
r	ʀ	0.943
ʏ_r̥_#>	#>	0.93
h	h	0.895
d̥	d	0.812
l	l	0.783
ˈɛːi̯	ˈiː	0.778
ŋ	ŋ	0.778
θ	t	0.727
ˈɛː	-	0.714
r̥	ʀ	0.714
n_d̥	n	0.7
t	t	0.679
v	v	0.667
ʰt	t	0.625
ʏ	ə	0.6
ɟ̊	ɡ	0.6
ˈuː	ˈʏ	0.583
ˈiː	ˈi	0.579
ˈaːi̯	ˈɛ	0.571
ˈœːy̯	ˈyː	0.556
r̥_#>	#>	0.542
ˈɔu̯	x	0.5
ˈɔu̯	-	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	-	0.5
ˈɑu̯	ˈɒ	0.5
ˈɑu̯	-	0.5
ˈaːu̯	ˈyː	0.5
ˈaːu̯	-	0.5
ˈaː	-	0.5
ˈau̯	ˈeː	0.5
ˈau̯	-	0.5
ˈai̯	ˈɛi̯	0.5
ˈai̯	-	0.5
ɪ	ə	0.5
ɪ	-	0.5
<#	<#_v	0.5
<#	<#_j	0.5
r̥_#>	ʀ_#>	0.458
ˈoːu̯	ˈœ	0.455
ˈɑːu̯	-	0.444
ˈœːy̯	ˈuː	0.444
j	-	0.438
ˈɪː	-	0.429
ˈaːi̯	-	0.429
ˈʏ	ˈʊ	0.417
#>	n_#>	0.417
ð	d̥	0.409
ˈɛ	-	0.4
ɡ̊	-	0.4
ɟ̊	-	0.4
ʰt	x	0.375
ð	dʲ	0.364
ˈʏ	-	0.333
ˈɪ	ˈi	0.333
ˈɑːu̯	ˈiː	0.333
ˈa	ˈa	0.333
v	-	0.333
ˈiː	-	0.316
ˈaː	ˈɒː	0.3
n_d̥	nʲ	0.3
ˈɪː	ˈaː	0.286
ˈɪː	ˈa	0.286
ˈɛː	ˈɛː	0.286
r̥	ç	0.286
θ	d	0.273
ˈa	ˈœ	0.267
ˈʏ	ˈœː	0.25
ˈɪ	ˈʏ	0.25
ˈɪ	ˈa	0.25
ɡ̊	ɡ	0.25
#>	nʲ_#>	0.25
ˈɛːi̯	-	0.222
ˈɑːu̯	ˈuː	0.222
ŋ	ˈʊ	0.222
ˈɛ	ˈa	0.2
ˈaː	ˈeː	0.2
ʏ	n	0.2
ʏ	-	0.2
j	ˈɛː	0.188
j	ˈɔː	0.188
j	j	0.188
d̥	-	0.188
ˈoːu̯	ˈɔu̯	0.182
ˈoːu̯	ˈœi̯	0.182
ˈoːu̯	ˈiː	0.182
ˈɪ	-	0.167
ˈuː	ˈœː	0.167
ˈuː	-	0.167
#>	ʀ_#>	0.167
#>	s_#>	0.167
ɡ̊	j	0.15
t	tʲ	0.143
ð	-	0.136
ˈɛ	ˈi	0.133
ˈɛ	ˈeː	0.133
ˈɛ	j_ˈa	0.133
ˈa	ˈʊ	0.133
ˈa	ˈɒ	0.133
ˈa	ˈuː	0.133
l	l_ə	0.13
t	-	0.107
ˈiː	ˈœː	0.105
h	h_ˈœ	0.105
ɡ̊	ŋ	0.1
ɡ̊	j_ə	0.1
ð	z̥	0.091
l	lʲ	0.087
ˈuː	w	0.083
t	d	0.071
ʏ_r̥_#>	t_#>	0.07
r	ˈa_ʀ	0.057
